term_id,wc_name,catimg
85,Aluminium Composite,Alu_Comp_Cat.jpg
86,Anti Graffiti Laminates,Anti_Graffiti_Lam_Cat.jpg
60,Application Tapes,Application-Tape.webp
58,Application Tools,Application-Tools.jpg
36,Applications,Applications.jpg
92,ArtWrap Canvas Making System,ArtWrap-Cat.jpg
76,ASLAN 85K :: Universal Stencil Film,85K_Cat.jpg
153,ASLAN Blockout Films,W15_Blockout_Cat.jpg
338,ASLAN C118 - 7 Year Sign Vinyl,C118-Cat.jpg
128,ASLAN C118 - 7 Year Sign Vinyl,C118-Cat.jpg
40,ASLAN CA23 MetalEffect Films,CA23-Cat.png
41,ASLAN CA24 MetalColour Films,Aslan_CA24.png
43,ASLAN CA25 MetalShadow Films,ASLAN_CA25_Cat.jpg
42,ASLAN CA30 PrintMetal Films,CA30_Cat.jpg
46,ASLAN CRA31 rPET Metallised Films,CRA31_Cat.jpg
98,ASLAN CT113 Coloured Transparent,CT113_Cat.png
100,ASLAN Dry Apply Glass Etch,Dry_Apply_Etch_Cat.jpg
53,ASLAN Holographic Films,ASLAN_SE72_Cat.jpg
181,ASLAN S41 :: Stencil Film for Uneven Surfaces,S41_Cat.jpg
105,ASLAN S62 :: 600 micron Heavy Duty Sandblasting Stencil,S62_Cat.jpg
106,ASLAN S62HT :: 600 micron High Tack Heavy Duty Sandblasting Stencil,S62HT_Cat.jpg
182,ASLAN S64 :: 330 micron Heavy Duty Sandblasting Stencil,S64_Cat.png
183,ASLAN S66 :: 250 micron Heavy / Medium Duty Sandblasting Stencil,S66-Cat.png
184,ASLAN S68 :: 180 micron Medium Duty Sandblasting Stencil,S68_Cat.png
108,ASLAN S69 :: 80 micron Light Duty Sandblasting Stencil,ASLAN_S69.jpg
185,ASLAN S79 :: Stencil Film for Smooth Surfaces,ASLAN_S79_Cat.jpg
35,ASLAN SC123 Sparkle Colour,ASLAN_SC123.jpg
47,ASLAN SE50 MetalLux Films,MetalLux_Cat.png
113,ASLAN Translucent Films,Aslan_Diffuser_Cat.jpg
187,Automotive Window Tint Films,Automotive_Tint.jpg
152,Banner Finishing & Fixing,Banner-Finishing.jpg
172,Banner Ups,Banner_Ups_Cat.jpg
62,Blockout Heat Transfer Vinyl,Blockout_Flex.png
127,Bumper Feet,Bumper_Cat.jpg
70,Cleaners & Cleaning tools,Cleaning.jpg
79,Clear Application Tapes,Clear_App_Tape.jpg
96,Colour Selectors,Colour_Selectors.png
133,Cover Styl Colour,Cover_Styl'_Solid_Colour.png
132,Cover Styl Concrete,Cover_Styl'_Natural_Stone.png
130,Cover Styl Glitter,Cover-Styl'-Glitter.jpg
83,Cover Styl Steel,Cover_Styl'_Metallic.png
131,Cover Styl Stone,Cover_Styl'_Marble.png
84,Cover Styl Textile,Cover_Styl'_Fabric.png
81,Cover Styl Wood,Cover_Styl'_Wood.png
80,Cover Styl' Smart Interior Design,Cover-Styl'.png
51,Decorative Window Films,Decorative-Window-Films.jpg
48,Dichroic Colour Change Films,Dichroic_Cat.png
111,Digital Print Backlit Film,Digital_Backlit_Cat.jpg
147,Digital Print Banner,Printed_Banners.jpg
154,Digital Print Fabric,DVF.jpg
167,Digital Print Garment Flex,Image_Flex_Cat.png
78,Digital Print Magnetic & Ferrous,Digital_Mag_Cat.jpg
19,Digital Print Media,digital-print-media.jpg
156,Digital Print Metallised Films,Digital_Print_Metallized_Cat.jpg
148,Digital Print Paper,DVP.jpg
114,Digital Print Vinyl,digital-print-vinyl.jpg
54,Digital Print Window Film,DPWF_Cat.jpg
135,Doro-Bond 894 :: 0.5mm Acrylic Bonding Tape,895.jpg
136,Doro-Bond 895 :: 1mm Acrylic Bonding Tape,895.jpg
137,Doro-Fix 3900 :: Thin PET Tape,3900.jpg
138,Doro-Fix 420 :: Tissue Tape,420.png
139,Doro-Fix 4402 :: Cloth Tape,4402_Cat.png
140,Doro-Fix 465 :: PET Tape,465.png
141,Doro-Fix 470 :: PVC Tape,470.jpg
150,Doro-Mount 866 :: 0.8mm Foam Tape,866.png
151,Doro-Mount 867 :: 0.8mm Foam Tape,867.jpg
134,Double Sided Tapes,Double_Sided_Cat.jpg
149,Double-sided Tape :: Doro-Mount 865,866.png
94,Dry Wipe Laminates,Dry-Wipe-Lam-Cat.jpg
117,Dusted Glass Etch,Dusted_Etch_Cat.jpg
165,Equipment,equipment.jpg
99,Etch Glass Vinyl,Etch_Cat.jpg
29,Flock,Flock_Cat.png
144,Floor Graphic Films,Floor_Graphics.jpg
101,Floor Laminates,Floor_Lam_Cat.jpg
170,Foamed PVC,Foam_PVC_Cat.jpg
22,Garment Decoration Films,garment-decoration-films.webp
73,Gemstone Metallic Vinyl,Gemstone-Cat.jpg
64,Glitter Heat Transfer Vinyl,Glitter-Flex.png
34,Glitter Vinyl,Glitter.jpg
109,Gloss Laminates,Gloss_laminate_Cat.jpg
173,Gold Films,Gold-Films.jpg
142,High Performance Digital Print Vinyl (5-7yr),DVLT.jpg
