"id","name","status","xmultisite","bannermid","bannergroup","sortorder","linktype","linkid","linkanchor","mainbannersupgroup"
"DEMO-SKINWIDGET-SIDEMENU2-1","Skin Widget SideMenu Call Us","1","","Call-Us.jpg","SIDEMENU2","40","ecom.catshow","","",""
"DEMO-SKINWIDGET-SIDEMENU2-EMAIL-US","Skin Widget SideMenu Email Us","1","","Email-Us.jpg","SIDEMENU2","30","EXTERNALURL","https://www.dorotape.co.uk/Contact","",""
"DEMO-SKINWIDGET-SIDEMENU2-FIND-US","Skin Widget SideMenu Find Us","1","","Find-Us.jpg","SIDEMENU2","20","EXTERNALURL","https://goo.gl/maps/bEnLj","",""
"DEMO-SKINWIDGET-SIDEMENU2-HELP-ADVICE","Demo Skin Widget SideMenu 3 Help & Advice","1","","Help-Advice.jpg","SIDEMENU3","40","cms.display","Problem-Solving","",""
"DEMO-SKINWIDGET-SIDEMENU2-PRICE-GUIDE","Skin Widget SideMenu 2 Price Guide","0","","Price-Guide-2016.jpg","SIDEMENU4","20","cms.display","media/ecom/pdfs/Doro-Price-Guide-2016.pdf","",""
"DEMO-SKINWIDGET-SIDEMENU3","Demo Skin Widget SideMenu 3 Application Videos","0","","Application-Videos-tv.jpg","SIDEMENU4","10","cms.display","Application_Videos","",""
"DEMO-SKINWIDGET-SIDEMENU3-2","Demo Skin Widget SideMenu 6 Environment","0","","Environmentally_Friendly_Materials.jpg","SIDEMENU6","60","ecom.catshow","Environmentally_Friendly_Materials","",""
"SIDE-MENU-SALE","SideMenu 1 Sale","0","","Sale.jpg","SIDEMENU6","50","ecom.catshow","Sale-Items","",""
"SIDE-MENU-STAY-CONNECTED","Stay Connected","0","","Stay-Connected.jpg","FOOTER","10","cms.display","EmailList","",""
"SKINWIDGET-DELIVERY-ALL","Skin Widget SideMenu 5 Delivery All","0","","Delivery-All.jpg","SIDEMENU5","35","cms.display","delivery","",""
"SKINWIDGET-DELIVERY-MAINLAND","Skin Widget SideMenu 5 Delivery Mainland","1","","Delivery-Mainland.jpg","SIDEMENU5","30","cms.display","delivery","",""
"SKINWIDGET-PVC-FREE","Skin Widget SideMenu 7 PVC Free","0","","PVC_Free.jpg","SIDEMENU7","50","ecom.catshow","PVC_Free_Media","",""
