"id","name","status","xmultisite","bannermid","bannerthin","bannerwide","bannergroup","sortorder","linktype","linkid","linkanchor"
"	Doro_Banner_Find_Us","Doro Banner Find Us","1","","Find_Us.jpg","Find_Us.jpg","Find_Us.jpg","FIND","10","","",""
"Blog-Application-Tape","Blog Application Tape","1","DEFAULT","Application_Tape.jpg","","","BLOGBANNERAPPTAPE","1","ecom.catshow","https://www.dorotape.co.uk/Category/Application-Tape",""
"Blog-Banner-Main","Blog Splash Banner","1","DEFAULT","stand-out-with-stunning-finishes.webp","","","BLOGBANNERSTEPS","1","","",""
"Blog-Etch-Apply","Blog Etch Apply","1","DEFAULT","Etch-Apply.jpg","","","BLOGBANNERETCHAPPLY","1","","",""
"Blog-Going-for-Gold","Blog ASLAN Gold Distributor","1","DEFAULT","Gold_Distributor.jpg","","","BLOGBANNERGOLDDISTRIBUTOR","1","","",""
"Blog-Platinum","Blog Platinum Series","1","DEFAULT","Platinum.jpg","","","BLOGBANNERPLATINUM","1","","",""
"Blog-Reflective-HTV","Blog Reflective HTV","1","DEFAULT","Reflective_HTV.jpg","","","BLOGBANNERREFLECTIVEHTV","1","ecom.catshow","https://www.dorotape.co.uk/Category/Application-Tape",""
"Case-Studies-Main","Case Studies Main","1","DEFAULT","turn-heads-with-eye-catching-finishes.webp","","","CASESTUDIESMAIN","10","","",""
"CS-About_Banner_Welcome_pic","CS About Banner Welcome with Pic","0","CRAFTSTICK","Welcome 700 x 191px (2).jpg","Welcome 500 x 136px (2).jpg","Welcome 1903 x 300px (2).jpg","CS-ABOUT","10","cms.display","About_Us",""
"CS-Banner_Bundles","CS Splash Banner Bundles","0","CRAFTSTICK","VINYL_BUNDLES.png","VINYL_BUNDLES.png","VINYL_BUNDLES.png","SPLASH","30","cms.display","Category/CS-BUNDLES",""
"CS-Banner_Packaging","CS Splash Banner Packaging","1","CRAFTSTICK","Packaging.png","Packaging.png","packaging.jpg","SPLASH","30","cms.display","Packaging_Policy",""
"CS-Splash_Banner_Autumn","CS Splash Banner Autumn","0","CRAFTSTICK","Autumn 700 x 191px.jpg","Autumn 500 x 136px.jpg","Autumn 1903 x 300px.jpg","SPLASH","20","ecom.catshow","CS-Autumn",""
