"id","formid","name","section","defaultvalue","isemailfield","description","required","type","fieldinclude","fieldorder","list_1","list_2","list_3","list_4","list_5","list_6","list_7","list_8","list_9","list_10","list_11","list_12","list_13","list_14","list_15","list_16","list_17","list_18","list_19","list_20"
"Bespoke_Description","Contact-Us-Bespoke","Brief description of what you are looking for","Info","","0","","1","TEXTAREA-SMALL","","5","","","","","","","","","","","","","","","","","","","",""
"Client-description","Sign-Me-Up","Which of the following best describes you?","Info","","0","","1","SELECT-CUSTOM","","5","Signmaker / vehicle graphics","Large format digital printer","Retail display / graphic designer / project manager","Architectural / interior designer","Garment decorator / printer","Industrial masking / stencils","Other","","","","","","","","","","","","",""
"Client-description2","samplreq-christmas","Which of the following best describes you?","Info","","0","","0","SELECT-CUSTOM","","6","I'd rather not say","Signmaker / vehicle graphics","Large format digital printer","Retail display / graphic designer / project manager","Architectural / interior designer","Garment decorator / printer","Industrial masking / stencils","","","","","","","","","","","","",""
"Company","Contact-Us","Company","Info","","0","","0","TEXTBOX-REG","","2","","","","","","","","","","","","","","","","","","","",""
"Company-Getintouch","Contact-Us-Bespoke","Company","Info","","0","","1","TEXTBOX-REG","","2","","","","","","","","","","","","","","","","","","","",""
"Email","Contact-Us","Email","Info","","1","","1","TEXTBOX-REG","","3","","","","","","","","","","","","","","","","","","","",""
"Email-Getintouch","Contact-Us-Bespoke","Email","Info","","1","","1","TEXTBOX-REG","","3","","","","","","","","","","","","","","","","","","","",""
"First-Name","Sign-Me-Up","First Name","Info","","0","","1","TEXTBOX-REG","","1","","","","","","","","","","","","","","","","","","","",""
"Found-us","Sign-Me-Up","How did you hear about us?","Info","","0","","1","SELECT-CUSTOM","","6","Instagram","LinkedIn","Web search","Existing customer","Exhibition","Trade press","Word of mouth","Other - please specify in the next field","","","","","","","","","","","",""
"Found-us2","samplreq-christmas","How did you hear about us?","Info","","0","","0","SELECT-CUSTOM","","7","I'd rather not say","Instagram","LinkedIn","Web search","Existing customer","Exhibition","Trade press","Word of mouth","","","","","","","","","","","",""
"Last-Name","Sign-Me-Up","Last Name","Info","","0","","1","TEXTBOX-REG","","2","","","","","","","","","","","","","","","","","","","",""
"Message","Contact-Us","Message","Info","","0","","1","TEXTAREA-SMALL","","5","","","","","","","","","","","","","","","","","","","",""
"Name-Contact","Contact-Us","Name","Info","","0","","1","TEXTBOX-REG","","1","","","","","","","","","","","","","","","","","","","",""
"Name-Getintouch","Contact-Us-Bespoke","Name","Info","","0","","1","TEXTBOX-REG","","1","","","","","","","","","","","","","","","","","","","",""
"OTHER","Sign-Me-Up","Please specify 'Other' from above two boxes here:","Info","","0","","0","TEXTAREA-SMALL","","7","","","","","","","","","","","","","","","","","","","",""
"Phone-Getintouch","Contact-Us-Bespoke","Phone","Info","","0","","1","TEXTBOX-REG","","4","","","","","","","","","","","","","","","","","","","",""
"Phone-number","Contact-Us","Phone","Info","","0","","1","TEXTBOX-REG","","4","","","","","","","","","","","","","","","","","","","",""
"samplreq-christmas.address","samplreq-christmas","Address","Contact Information","","0","Enter your address (including your post code/zip).","1","TEXTAREA-SMALL","","30","","","","","","","","","","","","","","","","","","","",""
"samplreq-christmas.company","samplreq-christmas","Company","Contact Information","","0","Enter your company name.","1","TEXTBOX-REG","","20","","","","","","","","","","","","","","","","","","","",""
"samplreq-christmas.email","samplreq-christmas","Email Address","Contact Information","","1","Enter your email address.","1","TEXTBOX-REG","","60","","","","","","","","","","","","","","","","","","","",""
"samplreq-christmas.name","samplreq-christmas","Name","Contact Information","","0","Enter your name.","1","TEXTBOX-REG","","10","","","","","","","","","","","","","","","","","","","",""
"samplreq-christmas.telephone","samplreq-christmas","Telephone Number","Contact Information","","0","Enter your telephone number.","1","TEXTBOX-REG","","40","","","","","","","","","","","","","","","","","","","",""
"Sign-me-up-company","Sign-Me-Up","Company","Info","","0","","0","TEXTBOX-REG","","3","","","","","","","","","","","","","","","","","","","",""
"Sign-me-up-email","Sign-Me-Up","Email","Info","","1","","1","TEXTBOX-REG","","4","","","","","","","","","","","","","","","","","","","",""
"Subscribe","samplreq-christmas","Email List","Info","Message","0","","0","CHECKBOX-CUSTOM","","9","Sign me up to receive great online-only deals and keep me up to date.","","","","","","","","","","","","","","","","","","",""
"Subscribe2","Sign-Me-Up","Email List","Info","Message","0","","0","CHECKBOX-CUSTOM","","8","Sign me up to receive great online-only deals and keep me up to date.","","","","","","","","","","","","","","","","","","",""
"Verification","Contact-Us","Image Verification","Info","","0","","1","CAPTCHA","","10","","","","","","","","","","","","","","","","","","","",""
"Verification-Getintouch","Contact-Us-Bespoke","Image Verification","Info","","0","","1","CAPTCHA","","10","","","","","","","","","","","","","","","","","","","",""
