"cid","cowner","cname","ctype","cnumeric","crequired","cinsdisplaytype","cinsdisplaydata","cinsdisplayinclude","cinsdefaultvalue","cupddisplaytype","cupddisplaydata","cupddisplayinclude","cbackendlist","cdescription","csection"
"cms_banneradverts.bannergroup","SYSTEM","Group","text","100","1","TEXTBOX-REG","","","SIDEBAR","TEXTBOX-REG","","","1","This group is used to group banner advert items into the same banner advert slot to enable transitions/rotations.","Placement and Link"
"cms_banneradverts.bannermid","SYSTEM","Advert Image","text","100","1","FILE-UPLOAD","{PUBLIC}/media/cms/banneralt","","","FILE-UPLOAD","{PUBLIC}/media/cms/banneralt","","0","This image is used for this banner advert item in all display modes.","Image"
"cms_banneradverts.id","SYSTEM","Identifier","text","180","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Enter a unique identifier for this banner advert item.  Because this identifier is used in XHTML elements, do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the dash and underscore characters.","Banner Advert Item"
"cms_banneradverts.linkanchor","SYSTEM","Link Anchor","text","200","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","If you have selected a link type which is not an external URL, enter an optional link anchor id here to link to a particular anchor on the page.","Placement and Link"
"cms_banneradverts.linkid","SYSTEM","Link Reference Identifier or External URL","text","200","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","If you have selected a link type, enter the reference identifier for the item you wish to target for your link. For example, if you have selected to target an HTML page, enter the reference identifier for that HTML page here.  If you have selected an external URL link type, enter a full external URL in this field.","Placement and Link"
"cms_banneradverts.linktype","SYSTEM","Link Type","text","50","0","SELECT-CUSTOM","cms.bannerslink","","","SELECT-CUSTOM","cms.bannerslink","","0","Select the link type for this banner advert item.  If you do not specify a link type, a link will not be used for this banner.","Placement and Link"
"cms_banneradverts.mainbannersupgroup","SYSTEM","Main Banner Group Suppression","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter a single or comma-delimited list of Main Banner groups which, when being presented, will suppress display of this Banner Advert.","Banner Advert Item"
"cms_banneradverts.name","SYSTEM","Display Name","text","200","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This is the banner advert item display name.  It is used to identify the banner advert item.","Banner Advert Item"
"cms_banneradverts.sortorder","SYSTEM","Sort Order","integer","10","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","1","The sort order numeric allows display of banner advert items in a particular order.  Banner advertisements are sorted in ascending order based on this numeric indicator.","Placement and Link"
"cms_banneradverts.status","SYSTEM","Active Status","integer","1","1","SELECT-BOOL","","","1","SELECT-BOOL","","","1","Select below whether to activate this banner (true), or deactivate it (false).","Banner Advert Item"
"cms_banneradverts.xmultisite","SYSTEM","MultiSite Limit","clob","","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","1","If MultiSite is active, you can select to display this banner advert item on only the MultiSites selected.  If you make no selection, this banner advert item will be available on all MultiSites.","MultiSite"
"cms_bannermain.bannergroup","SYSTEM","Group","text","100","1","TEXTBOX-REG","","","SPLASH","TEXTBOX-REG","","","1","This group is used to group main banners for presentation in different areas.","Placement and Link"
"cms_bannermain.bannermid","SYSTEM","Mid Display Mode (Tablet) Image","text","100","1","FILE-UPLOAD","{PUBLIC}/media/cms/bannermainmid","","","FILE-UPLOAD","{PUBLIC}/media/cms/bannermainmid","","0","This mid display mode (tablet) image is used to display this main banner in mid display mode (tablet), and is used as a default when alternate thin (mobile) and/or wide (desktop) display mode images are not specified.","Images"
