"id","type","name","data","xns"
"cms.managedynform.AUDITIOND","TABLE","AUDITIOND","Audition Form","cms.managedynform"
"cms.managedynform.AUDITIONNS","TABLE","AUDITIONNS","dynform","cms.managedynform"
"cms.managedynform.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","cms.managedynform"
"cms.managedynform.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","cms.managedynform"
"cms.managepages.AUDITIOND","TABLE","AUDITIOND","Audition Page","cms.managepages"
"cms.managepages.AUDITIONNS","TABLE","AUDITIONNS","display","cms.managepages"
"cms.managepages.DISABLEDEL.companyinfo","ID","DISABLEDEL","companyinfo","cms.managepages"
"cms.managepages.DISABLEDEL.cookieinfo","ID","DISABLEDEL","cookieinfo","cms.managepages"
"cms.managepages.DISABLEDEL.splash","ID","DISABLEDEL","splash","cms.managepages"
"cms.managepages.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","cms.managepages"
"cms.managepages.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","cms.managepages"
"cms.managexmodarticles.AUDITIOND","TABLE","AUDITIOND","Audition Article","cms.managexmodarticles"
"cms.managexmodarticles.AUDITIONNS","TABLE","AUDITIONNS","xmodarticle","cms.managexmodarticles"
"cms.managexmodarticles.createdate.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","createdate","cms.managexmodarticles"
"cms.managexmodarticles.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","cms.managexmodarticles"
"cms.managexmodarticles.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","cms.managexmodarticles"
"cms.managexmodarticlescat.AUDITIOND","TABLE","AUDITIOND","Audition Category","cms.managexmodarticlescat"
"cms.managexmodarticlescat.AUDITIONNS","TABLE","AUDITIONNS","xmodarticlescat","cms.managexmodarticlescat"
"cms.managexmodarticlescat.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","cms.managexmodarticlescat"
"core.altrdbms.COLSPECIAL1D","TABLE","COLSPECIAL1D","Test","core.altrdbms"
"core.altrdbms.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","altrdbmstest","core.altrdbms"
"core.altrdbms.COLSPECIAL2D","TABLE","COLSPECIAL2D","Configure","core.altrdbms"
"core.altrdbms.COLSPECIAL2NS","TABLE","COLSPECIAL2NS","altrdbmsconfig","core.altrdbms"
"core.altrdbms.DBOVERCUSTTEXT","TABLE","DBOVERCUSTTEXT","Use the interface below to manage alternate database connections. Alternate database connections are used within this software to provide access to database accounts other than the primary account configured during installation. Alternate connections allow for data management and are required by some import and upgrade modules.  If you would like to change the settings for the primary database connection used by this software, access the installer script you used to install the software on this webserver account.","core.altrdbms"
"core.altrdbms.TBLSPECIAL1D","TABLE","TBLSPECIAL1D","Configure New Connection","core.altrdbms"
"core.altrdbms.TBLSPECIAL1NS","TABLE","TBLSPECIAL1NS","altrdbmspick","core.altrdbms"
"core.managecountries.DISABLEDEL.Not Listed","ID","DISABLEDEL","Not Listed","core.managecountries"
"core.manageemaillist.id.COLFORMATEMAIL","COLUMN","COLFORMATEMAIL","id","core.manageemaillist"
"core.manageemaillist.TBLDELETEMODPROC","TABLE","TBLDELETEMODPROC","emaillistdbdelete","core.manageemaillist"
"core.manageemaillist.TBLINSERTMODPROC","TABLE","TBLINSERTMODPROC","emaillistdbinsert","core.manageemaillist"
"core.manageemaillist.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","emaillistdbupdate","core.manageemaillist"
