"id","form","app","section","name","description","required","type","typeparam","defaultvalue","maxlength","fieldorder","custominclude"
"core.accountmaint.addone","core.accountmaint","core","Billing Address","Address: Line 1","","1","TEXTBOX-REG","","{SESSION:addone}","150","6",""
"core.accountmaint.addtwo","core.accountmaint","core","Billing Address","Address: Line 2","","0","TEXTBOX-REG","","{SESSION:addtwo}","150","7",""
"core.accountmaint.city","core.accountmaint","core","Billing Address","City","","1","TEXTBOX-REG","","{SESSION:city}","150","8",""
"core.accountmaint.company","core.accountmaint","core","Contact Information","Company Name","","0","TEXTBOX-REG","","{SESSION:company}","150","3",""
"core.accountmaint.country","core.accountmaint","core","Billing Address","Country","","1","TEXTBOX-REG","","{SESSION:country}","0","10","core:formfield_country.php"
"core.accountmaint.fname","core.accountmaint","core","Contact Information","First Name","","1","TEXTBOX-REG","","{SESSION:fname}","150","1",""
"core.accountmaint.lname","core.accountmaint","core","Contact Information","Last Name","","1","TEXTBOX-REG","","{SESSION:lname}","150","2",""
"core.accountmaint.phone","core.accountmaint","core","Contact Information","Telephone Number","","1","TEXTBOX-REG","","{SESSION:phone}","150","4",""
"core.accountmaint.postalcode","core.accountmaint","core","Billing Address","Post Code","","1","TEXTBOX-REG","","{SESSION:postalcode}","20","11",""
"core.accountmaint.rescom","core.accountmaint","core","Billing Address","Residential/Commercial","","1","SELECT-TABLE","SELECT {COLS} FROM core_rescom","{SESSION:rescom}","0","12",""
"core.accountmaint.stateprov","core.accountmaint","core","Billing Address","Region","Select your Region.  Select Not Applicable if you reside in a country that does not have counties.","1","TEXTBOX-REG","","{SESSION:stateprov}","0","9","core:formfield_stateprov.php"
"core.addbookins.addone","core.addbookins","core","Delivery Address: Location","Address: Line 1","","1","TEXTBOX-REG","","","150","14",""
"core.addbookins.addtwo","core.addbookins","core","Delivery Address: Location","Address: Line 2","","0","TEXTBOX-REG","","","150","15",""
"core.addbookins.city","core.addbookins","core","Delivery Address: Location","City","","1","TEXTBOX-REG","","","150","16",""
"core.addbookins.company","core.addbookins","core","Delivery Address: Contact","Company Name","","0","TEXTBOX-REG","","","150","13",""
"core.addbookins.country","core.addbookins","core","Delivery Address: Location","Country","","1","TEXTBOX-REG","","","0","18","core:formfield_countryship.php"
"core.addbookins.fname","core.addbookins","core","Delivery Address: Contact","First Name","","1","TEXTBOX-REG","","","150","11",""
"core.addbookins.lname","core.addbookins","core","Delivery Address: Contact","Last Name","","1","TEXTBOX-REG","","","150","12",""
"core.addbookins.phone","core.addbookins","core","Delivery Address: Contact","Telephone Number","","1","TEXTBOX-REG","","","20","35",""
"core.addbookins.postalcode","core.addbookins","core","Delivery Address: Location","Post Code","","1","TEXTBOX-REG","","","20","19",""
"core.addbookins.rescom","core.addbookins","core","Delivery Address: Location","Residential/Commercial","","1","SELECT-TABLE","SELECT {COLS} FROM core_rescom","","0","20",""
"core.addbookins.stateprov","core.addbookins","core","Delivery Address: Location","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","1","TEXTBOX-REG","","","0","17","core:formfield_stateprovship.php"
"core.addbookupd.addone","core.addbookupd","core","Delivery Address: Location","Address: Line 1","","1","TEXTBOX-REG","","","150","14",""
"core.addbookupd.addtwo","core.addbookupd","core","Delivery Address: Location","Address: Line 2","","0","TEXTBOX-REG","","","150","15",""
"core.addbookupd.city","core.addbookupd","core","Delivery Address: Location","City","","1","TEXTBOX-REG","","","150","16",""
"core.addbookupd.company","core.addbookupd","core","Delivery Address: Contact","Company Name","","0","TEXTBOX-REG","","","150","13",""
"core.addbookupd.country","core.addbookupd","core","Delivery Address: Location","Country","","1","TEXTBOX-REG","","","0","18","core:formfield_countryship.php"
"core.addbookupd.fname","core.addbookupd","core","Delivery Address: Contact","First Name","","1","TEXTBOX-REG","","","150","11",""
"core.addbookupd.lname","core.addbookupd","core","Delivery Address: Contact","Last Name","","1","TEXTBOX-REG","","","150","12",""
"core.addbookupd.phone","core.addbookupd","core","Delivery Address: Contact","Telephone Number","","1","TEXTBOX-REG","","","20","35",""
"core.addbookupd.postalcode","core.addbookupd","core","Delivery Address: Location","Post Code","","1","TEXTBOX-REG","","","20","19",""
"core.addbookupd.rescom","core.addbookupd","core","Delivery Address: Location","Residential/Commercial","","1","SELECT-TABLE","SELECT {COLS} FROM core_rescom","","0","20",""
"core.addbookupd.stateprov","core.addbookupd","core","Delivery Address: Location","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","1","TEXTBOX-REG","","","0","17","core:formfield_stateprovship.php"
"core.affpaymentdo.affil","core.affpaymentdo","core","Affiliate and Payment","Affiliate Account ID","This is the affiliate you selected.  This is the affiliate's account identifier (email address), not their affiliate id.","1","DISPLAY-REG","","","0","2",""
"core.affpaymentdo.amount","core.affpaymentdo","core","Affiliate and Payment","Payment Amount","This is the amount of the payment.  This amount is stored and should be entered in the system base currency.","1","TEXTBOX-REG","","","0","3",""
"core.affpaymentdo.id","core.affpaymentdo","core","Payment Reference Information","Payment Reference Number","This is the payment reference number for this payment.  Use a check number or some other unique identifier.","1","TEXTBOX-REG","","","0","1",""
"core.altrdbmsconfig.dbname","core.altrdbmsconfig","core","Connection Parameters","Database Name","Enter the name of the database.","1","TEXTBOX-REG","","","0","5",""
"core.altrdbmsconfig.dbpassword","core.altrdbmsconfig","core","Connection Parameters","Database Password","Enter the password for the username entered above.  This is the password which will be used by this software to connect to the database.","1","TEXTBOX-PASS","","","0","7",""
"core.altrdbmsconfig.dbtype","core.altrdbmsconfig","core","Hidden","Database Type","","1","HIDDEN-REG","","","0","2",""
"core.altrdbmsconfig.hostname","core.altrdbmsconfig","core","Connection Parameters","Database Hostname","Enter the hostname of the server where the database resides.  Typically 
this is set to 'localhost' if the database resides on the same server as this software installation.","1","TEXTBOX-REG","","","0","4",""
"core.altrdbmsconfig.id","core.altrdbmsconfig","core","Hidden","Database Connection ID","","1","HIDDEN-REG","","","0","1",""
"core.altrdbmsconfig.name","core.altrdbmsconfig","core","Connection Display Information","Connection Name","Enter a name for this connection.  This name is used within backend interface displays.","1","TEXTBOX-REG","","","0","3",""
"core.altrdbmsconfig.username","core.altrdbmsconfig","core","Connection Parameters","Database Username","Enter the username for the database.  This is the username which will be used by this software to connect to the database.","1","TEXTBOX-REG","","","0","6",""
"core.altrdbmsconfigs.dbname","core.altrdbmsconfigs","core","Connection Parameters","Database Name","The path below is the path to the SQLite database file used by this connection.  This file is automatically created for you.  If at any time you wish to back up your SQLite database, simply obtain a copy of this file.","0","DISPLAY-REG","","","0","5",""
"core.altrdbmsconfigs.dbpassword","core.altrdbmsconfigs","core","Hidden","Database Password","","1","HIDDEN-REG","","","0","7",""
"core.altrdbmsconfigs.dbtype","core.altrdbmsconfigs","core","Hidden","Database Type","","1","HIDDEN-REG","","","0","2",""
"core.altrdbmsconfigs.hostname","core.altrdbmsconfigs","core","Hidden","Database Hostname","","1","HIDDEN-REG","","","0","4",""
"core.altrdbmsconfigs.id","core.altrdbmsconfigs","core","Hidden","Database Connection ID","","1","HIDDEN-REG","","","0","1",""
"core.altrdbmsconfigs.name","core.altrdbmsconfigs","core","Connection Display Information","Connection Name","Enter a name for this connection.  This name is used within backend interface displays.","1","TEXTBOX-REG","","","0","3",""
"core.altrdbmsconfigs.username","core.altrdbmsconfigs","core","Hidden","Database Username","","1","HIDDEN-REG","","","0","6",""
"core.altrdbmspick.dbtype","core.altrdbmspick","core","Database Type Selection","Database Type","Select the type of database for which you intend to set up an alternate connection. The types listed below are all fully supported by the database module.","1","SELECT-CUSTOM","core.altrdbms.dbtype","","0","1",""
"core.beaccountmaint.fname","core.beaccountmaint","core","Contact Information","First Name","","1","TEXTBOX-REG","","{SESSION:fname}","150","1",""
"core.beaccountmaint.lname","core.beaccountmaint","core","Contact Information","Last Name","","1","TEXTBOX-REG","","{SESSION:lname}","150","2",""
"core.bechangeemail.emailnew1","core.bechangeemail","core","New Email Address Selection","New Email Address","","1","TEXTBOX-REG","","","150","1",""
"core.bechangeemail.emailnew2","core.bechangeemail","core","New Email Address Selection","New Email Address (Confirm Entry)","","1","TEXTBOX-REG","","","150","2",""
"core.bechangepass.passnew1","core.bechangepass","core","New Password Selection","New Password","","1","TEXTBOX-PASS","","","150","1",""
"core.bechangepass.passnew2","core.bechangepass","core","New Password Selection","New Password (Confirm Entry)","","1","TEXTBOX-PASS","","","150","2",""
"core.bechangeusername.usernamenew1","core.bechangeusername","core","New Username Selection","New Username","","1","TEXTBOX-REG","","","150","1",""
"core.bechangeusername.usernamenew2","core.bechangeusername","core","New Username Selection","New Username (Confirm Entry)","","1","TEXTBOX-REG","","","150","2",""
"core.belogin.password","core.belogin","core","Login Information","Password","","1","TEXTBOX-PASS","","","150","2",""
"core.belogin.user","core.belogin","core","Login Information","Email Address or Username","","1","TEXTBOX-REG","","{SESSION:email}","150","1",""
"core.beloginchangepass.passnew1","core.beloginchangepass","core","New Password Selection","New Password","","1","TEXTBOX-PASS","","","150","1",""
"core.beloginchangepass.passnew2","core.beloginchangepass","core","New Password Selection","New Password (Confirm Entry)","","1","TEXTBOX-PASS","","","150","2",""
"core.belogindevauth.kcodeauth","core.belogindevauth","core","Device Authorization","Device Authorization Code","","1","TEXTBOX-REG","","","20","1",""
"core.beresetpass.passnew1","core.beresetpass","core","New Password Selection","New Password","","1","TEXTBOX-PASS","","","150","1",""
"core.beresetpass.passnew2","core.beresetpass","core","New Password Selection","New Password (Confirm Entry)","","1","TEXTBOX-PASS","","","150","2",""
"core.beresetpassreq.user","core.beresetpassreq","core","Account Information","Email Address or Username","","1","TEXTBOX-REG","","{SESSION:email}","150","1",""
"core.changeemail.emailnew1","core.changeemail","core","New Email Address Selection","New Email Address","","1","TEXTBOX-REG","","","150","1",""
"core.changeemail.emailnew2","core.changeemail","core","New Email Address Selection","New Email Address (Confirm Entry)","","1","TEXTBOX-REG","","","150","2",""
"core.changepass.passnew1","core.changepass","core","New Password Selection","New Password","","1","TEXTBOX-PASS","","","150","1",""
"core.changepass.passnew2","core.changepass","core","New Password Selection","New Password (Confirm Entry)","","1","TEXTBOX-PASS","","","150","2",""
"core.changeusername.usernamenew1","core.changeusername","core","New Username Selection","New Username","","1","TEXTBOX-REG","","","150","1",""
"core.changeusername.usernamenew2","core.changeusername","core","New Username Selection","New Username (Confirm Entry)","","1","TEXTBOX-REG","","","150","2",""
"core.contact.emaillist","core.contact","core","Stay Connected","Email List","","0","CHECKBOX-CUSTOM","core.emaillist","","0","800",""
"core.contact.email_address","core.contact","core","Contact Information","Email Address","","1","TEXTBOX-REG","","{SESSION:email}","150","4",""
"core.contact.fname","core.contact","core","Contact Information","First Name","","1","TEXTBOX-REG","","{SESSION:fname}","150","1",""
"core.contact.lname","core.contact","core","Contact Information","Last Name","","1","TEXTBOX-REG","","{SESSION:lname}","150","2",""
"core.contact.message","core.contact","core","Contact Message","Message","","1","TEXTAREA-REG","","","0","5",""
"core.contact.phone","core.contact","core","Contact Information","Telephone Number","","0","TEXTBOX-REG","","{SESSION:phone}","150","3",""
"core.contact.termsandconditions","core.contact","core","Terms and Conditions","Terms and Conditions Agreement","<p>When you agree to the Terms and Conditions, you consent to our use of your personal information to provide you services and products as requested. To see how to control your personal data, please see our Privacy Policy.</p>","1","CHECKBOX-CUSTOM","core.termsandconditions","","0","850",""
"core.contact.verify","core.contact","core","Image Verification","Image Verification","","1","CAPTCHA","","","150","900",""
"core.createaccount.addone","core.createaccount","core","Billing Address","Address: Line 1","","1","TEXTBOX-REG","","{SESSION:addone}","150","12",""
"core.createaccount.addtwo","core.createaccount","core","Billing Address","Address: Line 2","","0","TEXTBOX-REG","","{SESSION:addtwo}","150","13",""
"core.createaccount.city","core.createaccount","core","Billing Address","City","","1","TEXTBOX-REG","","{SESSION:city}","150","14",""
"core.createaccount.company","core.createaccount","core","Contact Information","Company Name","","0","TEXTBOX-REG","","{SESSION:company}","150","9",""
"core.createaccount.country","core.createaccount","core","Billing Address","Country","","1","TEXTBOX-REG","","{SESSION:country}","0","16","core:formfield_country.php"
"core.createaccount.emaillist","core.createaccount","core","Stay Connected","Email List","","0","CHECKBOX-CUSTOM","core.emaillist","","0","800",""
"core.createaccount.emailnew1","core.createaccount","core","Login Information","Email Address","","1","TEXTBOX-REG","","{SESSION:email}","150","1",""
"core.createaccount.emailnew2","core.createaccount","core","Login Information","Email Address (Confirm Entry)","","1","TEXTBOX-REG","","{SESSION:email}","150","2",""
"core.createaccount.fname","core.createaccount","core","Contact Information","First Name","","1","TEXTBOX-REG","","{SESSION:fname}","150","7",""
"core.createaccount.lname","core.createaccount","core","Contact Information","Last Name","","1","TEXTBOX-REG","","{SESSION:lname}","150","8",""
"core.createaccount.passnew1","core.createaccount","core","Login Information","Password","","1","TEXTBOX-PASS","","","150","5",""
"core.createaccount.passnew2","core.createaccount","core","Login Information","Password (Confirm Entry)","","1","TEXTBOX-PASS","","","150","6",""
