"id","app","name","description","nspost","outputtype"
"core.accountmaint","core","Account Maintenance Form","Please complete the information below to update your account profile.  Your email address, username and password cannot be updated using this form.  If you wish to change your email address, username, or password, use the Change Email Address, Change Username, or Change Password account menu options.","accountmaint_proc","DEFAULT"
"core.addbookins","core","Address Book Add Form","Please complete the information below to add an entry to your delivery address book.","addbookinsp","DEFAULT"
"core.addbookupd","core","Address Book Update Form","Please complete the information below to updated the delivery address book entry you selected.","addbookupdp","DEFAULT"
"core.affpaymentdo","core","Management Interface: Generate Affiliate Payment","Use the form below to generate a commission payment for the affiliate you selected.  In the event that you enter an amount greater that the commission amount owed, the commission amount owed will be paid.  All amounts should be entered in the system base currency.","affpaymentdop","DEFAULT"
"core.altrdbmsconfig","core","Management Interface: Database Configuration Form: All Other","Complete the following database connection information to configure an alternate database connection.","altrdbmsconfigp","DEFAULT"
"core.altrdbmsconfigs","core","Management Interface: Database Configuration Form: SQLite","Complete the following database connection information to configure an alternate database connection.","altrdbmsconfigp","DEFAULT"
"core.altrdbmspick","core","Management Interface: Database Select Form","Use the form below to select the type of database you wish to connect to.","altrdbmsconfig","DEFAULT"
"core.beaccountmaint","core","Management Interface: Account Maintenance Form","Please complete the information below to update your account profile.  Your email address, username and password cannot be updated using this form.  If you wish to change your email address, username or password, use the Change Email Address, Change Username, or Change Password account menu options.","beaccountmaint_proc","DEFAULT"
"core.bechangeemail","core","Management Interface: Change Email Address Form","Please complete the information below to change your email address.","bechangeemail_proc","DEFAULT"
"core.bechangepass","core","Management Interface: Change Password Form","Please complete the information below to change your password.","bechangepass_proc","DEFAULT"
"core.bechangeusername","core","Management Interface: Change Username Form","Please complete the information below to change your username.","bechangeusername_proc","DEFAULT"
"core.belogin","core","Management Interface: Login","Please complete the form below to login.  If you were directed to this login form due to an access restriction, you will be redirected back to the original page you requested after you successfully login.","belogin_proc","DEFAULT"
"core.beloginchangepass","core","Management Interface: Change Password Required","Please complete the information below to change your password.","beloginchangepass_proc","DEFAULT"
"core.belogindevauth","core","Management Interface: Device Authorization","Please enter the authorization code you received to authorize this device.","belogindevauth_proc","DEFAULT"
"core.beresetpass","core","Management Interface: Reset Password","Please complete the information below to create a new password for your account.","beresetpass_proc","DEFAULT"
"core.beresetpassreq","core","Management Interface: Reset Password Request","Enter your email address or username below to receive an email containing instructions for creating a new password for your account.","beresetpassreq_proc","DEFAULT"
