"id","app","name","textincid","usexhtml","xhtmlincid","defaultsender","defaultto","defaultsubject","prependsubject","appendsubject","addlto","addlcc","addlbcc","interface"
"core.accountcreated","core","Account Created Message","<?php

$account_url   = $this->link_namespace('core','login');

$email_address = $this->globals('core_mail.email_address');
$username      = $this->globals('core_mail.username');
$password      = $this->globals('core_mail.password');

$site_name     = $this->globals('core_settings.core.site_name');

?>

A new account has been created for you on the <?php print $site_name; ?> Internet site.  Here is the login information for your new account:

Email Address:  <?php print $email_address; ?>

Username:       <?php print $username; ?>

Password:       <?php print $password; ?>

You can access your account by logging in at the link below:

<?php print $account_url; ?>","1","<?php

$account_url   = $this->link_namespace('core','login');

$email_address = $this->xhtml_encode($this->globals('core_mail.email_address'));
$username      = $this->xhtml_encode($this->globals('core_mail.username'));
$password      = $this->xhtml_encode($this->globals('core_mail.password'));

$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>A new account has been created for you on the <?php print $site_name; ?> Internet site.  Here is the login information for your new account:</p>

<div style=""margin-bottom: .25em;""><strong>Email Address</strong>:</div>
<div style=""margin-bottom: 1em;""><?php print $email_address; ?></div>

<div style=""margin-bottom: .25em;""><strong>Username</strong>:</div>
<div style=""margin-bottom: 1em;""><?php print $username; ?></div>

<div style=""margin-bottom: .25em;""><strong>Password</strong>:</div>
<div style=""margin-bottom: 1em;""><?php print $password; ?></div>

<p>You can access your account by logging in at the link below:</p>

<p><a href=""<?php print $account_url; ?>"" title=""Login"">Click here to login.</a></p>

<p>Have you subscribed to our newsletter yet?<br>It's a great way to keep up to date with news, views and offers too!</p>

<p>Just <a href=""https://www.dorotape.co.uk/Sign-Me-Up"" target=""_blank""><font color=""#d7328a""><b>click here</a></b></font> to sign up and check out our privacy policy.</p>
","sales@dorotape.co.uk","{SESSION:email}","New Account Created","","","","","",""
"core.bechangepassalert","core","Management Interface: Password Change Alert","<?php

$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

The password for your <?php print $site_name; ?> account has been changed.  If you did not change your password, or create a new password, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>","1","<?php

$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>The password for your <?php print $site_name; ?> account has been changed.  If you did not change your password, or create a new password, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>","sales@dorotape.co.uk","{SESSION:email}","Account Password Changed","","","","","","BackEnd"
"core.bedevauthalert","core","Management Interface: Device Authorization Alert","<?php

$deviceinfo    = $this->globals('core_mail.deviceinfo');
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

A new device has been authorized to access your <?php print $site_name; ?> account.  If you did not authorize this device, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

The following information is available about this newly authorized device:

<?php print $deviceinfo; ?>","1","<?php

$deviceinfo    = $this->xhtml_encode($this->globals('core_mail.deviceinfo'));
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>A new device has been authorized to access your <?php print $site_name; ?> account.  If you did not authorize this device, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>The following information is available about this newly authorized device:</p>

<p><?php print $deviceinfo; ?></p>","sales@dorotape.co.uk","{SESSION:email}","Device Authorized","","","","","","BackEnd"
"core.belockalert","core","Management Interface: Account Lock Alert","<?php

$deviceinfo    = $this->globals('core_mail.deviceinfo');
$site_name     = $this->globals('core_settings.core.site_name');

?>

Your <?php print $site_name; ?> account has been locked due to too many failed login attempts.  Your account will be automatically unlocked in fifteen minutes, at which point you will be able to login again.

The following information is available about device used on the last failed attempt:

<?php print $deviceinfo; ?>","1","<?php

$deviceinfo    = $this->xhtml_encode($this->globals('core_mail.deviceinfo'));
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>Your <?php print $site_name; ?> account has been locked due to too many failed login attempts.  Your account will be automatically unlocked in fifteen minutes, at which point you will be able to login again.</p>

<p>The following information is available about device used on the last failed attempt:</p>

<p><?php print $deviceinfo; ?></p>","sales@dorotape.co.uk","{SESSION:email}","Account Locked","","","","","","BackEnd"
"core.belogindevauth","core","Management Interface: Device Authorization","<?php

$kcodeauth     = $this->globals('core_mail.kcodeauth');
$deviceinfo    = $this->globals('core_mail.deviceinfo');
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

This message is in response to a request made on the <?php print $site_name; ?> Internet site to log into your account.  The device used needs to be authorized using the code below.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

To authorize your device, enter the following Device Authorization Code within one hour.  After one hour, this code will no longer work.

Device Authorization Code: <?php print $kcodeauth; ?>

The following information is available for the device pending authorization:

<?php print $deviceinfo; ?>","1","<?php

$kcodeauth     = $this->xhtml_encode($this->globals('core_mail.kcodeauth'));
$deviceinfo    = $this->xhtml_encode($this->globals('core_mail.deviceinfo'));
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>This message is in response to a request made on the <?php print $site_name; ?> Internet site to log into your account.  The device used needs to be authorized using the code below.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>To authorize your device, enter the following Device Authorization Code within one hour.  After one hour, this code will no longer work.</p>

<p><strong>Device Authorization Code</strong>: <?php print $kcodeauth; ?></p>

<p>The following information is available for the device pending authorization:</p>

<p><?php print $deviceinfo; ?></p>","sales@dorotape.co.uk","{SESSION:email}","Device Authorization Code","","","","","","BackEnd"
"core.beresetpassreq","core","Management Interface: New Password Instructions","<?php

$ktokenauth    = $this->globals('core_mail.ktokenauth');
$resetpass_url = $this->link_namespace('core','beresetpass',$ktokenauth);
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

This message is in response to a request made on the <?php print $site_name; ?> Internet site to create a new password for your account.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

To create a new password for your account, access the link below within one hour.  After one hour, this link will no longer work:

<?php print $resetpass_url; ?>","1","<?php

$ktokenauth    = $this->globals('core_mail.ktokenauth');
$resetpass_url = $this->link_namespace('core','beresetpass',$ktokenauth);
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>This message is in response to a request made on the <?php print $site_name; ?> Internet site to create a new password for your account.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>To create a new password for your account, access the link below within one hour.  After one hour, this link will no longer work:</p>

<p><a href=""<?php print $resetpass_url; ?>"" title=""Create New Password"">Click here to create a new password for your account.</a></p>","sales@dorotape.co.uk","{SESSION:email}","New Password Instructions","","","","","","BackEnd"
"core.changepassalert","core","Password Change Alert","<?php

$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

The password for your <?php print $site_name; ?> account has been changed.  If you did not change your password, or create a new password, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>","1","<?php

$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>The password for your <?php print $site_name; ?> account has been changed.  If you did not change your password, or create a new password, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>","sales@dorotape.co.uk","{SESSION:email}","Account Password Changed","","","","","",""
"core.contact","core","Contact Message","<?php

$eol           = $this->globals('core.eol');
$display       = $this->globals('core_mail.display');
$site_name     = $this->globals('core_settings.core.site_name');

?>

The following information was just submitted via the <?php print $site_name; ?> Internet site Contact form.

<?php 

foreach ($display as $name => $value) {

     print $name . ':' . $eol . $value . $eol . $eol;

} // End of foreach statement.

?>","1","<?php

$eol           = $this->globals('core.eol');
$display       = $this->globals('core_mail.display');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>The following information was just submitted via the <?php print $site_name; ?> Internet site Contact form.</p>

<?php 

foreach ($display as $name => $value) {

     $name  = $this->xhtml_encode($name);
     $value = $this->xhtml_encode($value);

     print '<p class=""strong"">' . $name . ':</p>' . $eol;
     print '<p>' . $value . '</p>' . $eol . $eol;

} // End of foreach statement.

?>","{SESSION:email}","sales@dorotape.co.uk","Contact Message","","","","","",""
"core.createaccountauth","core","New Account Authorization","<?php

$kcodeauth     = $this->globals('core_mail.kcodeauth');
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

This message is in response to a request made on the <?php print $site_name; ?> Internet site to create a new account using this email adrress.  The new account needs to be authorized using the code below.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

To create a new account, enter the following Authorization Code.

New Account Authorization Code: <?php print $kcodeauth; ?>","1","<?php

$kcodeauth     = $this->xhtml_encode($this->globals('core_mail.kcodeauth'));
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>This message is in response to a request made on the <?php print $site_name; ?> Internet site to create a new account using this email adrress.  The new account needs to be authorized using the code below.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>To create a new account, enter the following Authorization Code.</p>

<p><strong>New Account Authorization Code</strong>: <?php print $kcodeauth; ?></p>","mick.ingram@dorotape.co.uk","{SESSION:email}","New Account Authorization Code","","","","","",""
"core.devauthalert","core","Device Authorization Alert","<?php

$deviceinfo    = $this->globals('core_mail.deviceinfo');
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

A new device has been authorized to access your <?php print $site_name; ?> account.  If you did not authorize this device, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

The following information is available about this newly authorized device:

<?php print $deviceinfo; ?>","1","<?php

$deviceinfo    = $this->xhtml_encode($this->globals('core_mail.deviceinfo'));
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>A new device has been authorized to access your <?php print $site_name; ?> account.  If you did not authorize this device, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>The following information is available about this newly authorized device:</p>

<p><?php print $deviceinfo; ?></p>","sales@dorotape.co.uk","{SESSION:email}","Device Authorized","","","","","",""
