"id","app","stringmsg","msgtype","stringdisp","interface"
"cms.dynformconf","cms","dynformconf","CONFIRM","Thank you for contacting us, it really means a lot!  If your message requires a reply, one of our well versed team will come back to you shortly.",""
"cms.dynformfail","cms","dynformfail","ERROR","There was an error processing your form request.  Please try again later.",""
"core.accountmaint_confirm","core","accountmaint_confirm","CONFIRM","Thank you.  The information you entered has been used to update your account.",""
"core.addbookdel","core","addbookdel","CONFIRM","Thank you.  The address you selected has been deleted from your delivery address book.",""
"core.addbookins","core","addbookins","CONFIRM","Thank you.  The address you entered has been added to your delivery address book.",""
"core.addbookupd","core","addbookupd","CONFIRM","Thank you.  Your delivery address book has been updated.",""
"core.affpayconf","core","affpayconf","CONFIRM","Thank you.  The payment information you entered has been used to create an affiliate payment.  The affiliate's account has been updated.","BackEnd"
"core.affpayerror","core","affpayerror","ERROR","An error was encountered while attempting to create the affiliate payment you requested.  Please check the information you're submitting and try again.","BackEnd"
"core.altrdbmsconf","core","altrdbmsconf","CONFIRM","Thank you.  The alternate database connection was successfully tested.","BackEnd"
"core.altrdbmsconfail","core","altrdbmsconfail","ERROR","There was an error making a connection using the parameters submitted.  The error returned was:","BackEnd"
"core.altrdbmsfail","core","altrdbmsfail","ERROR","There was an error retrieving information on the alternate database connection selected.","BackEnd"
"core.altrdbmssqlite","core","altrdbmssqlite","ERROR","There was an error creating the SQLite database file required to configure a connection to SQLite.","BackEnd"
"core.auth_locked","core","auth_locked","ERROR","Your account is currently locked because of too many failed authorization attempts.  Your account will be unlocked within the next fifteen minutes.",""
"core.auth_lockset","core","auth_lockset","ERROR","Your account has been locked because of too many failed authorization attempts.  Your account will be unlocked in fifteen minutes.",""
"core.autologout","core","autologout","ERROR","You have been automatically logged out due to a period of inactivity and cannot access the page requested.  Please login again to access the requested page.",""
"core.changeemail_confirm","core","changeemail_confirm","CONFIRM","Thank you.  Your account has been updated.  Use the new email address you entered to access your account in the future.",""
"core.changeemail_failfound","core","changeemail_failfound","ERROR","The email addresses you entered is already associated with an account.  Please choose a different email address.",""
"core.changeemail_failmatch","core","changeemail_failmatch","ERROR","The email addresses you entered did not match.  In order to change your email address, both entries must match.",""
"core.changeusername_confirm","core","changeusername_confirm","CONFIRM","Thank you.  Your account has been updated.  Use the username you entered to access your account in the future.",""
"core.changeusername_failfound","core","changeusername_failfound","ERROR","The username you entered is already associated with an account.  Please choose a different username.",""
"core.changeusername_failmatch","core","changeusername_failmatch","ERROR","The usernames you entered did not match.  In order to change your username, both entries must match.",""
"core.cntsrvfail","core","cntsrvfail","ERROR","An error was returned by the central server while processing a request.  The central server replied to the request with the following response:","BackEnd"
"core.contact_confirm","core","contact_confirm","CONFIRM","Thank you.  The information you submitted has been sent.  Your message will be reviewed immediately and you will receive a reply if required.",""
"core.cookieinfoaccept","core","cookieinfoaccept","CONFIRM","Thank you.  You can change your cookie settings at any time by visiting our cookies page.",""
"core.createaccountauthmax_error","core","createaccountauthmax_error","ERROR","The authorization code your entered could not be validated.  To create a new account, please start over.",""
"core.createaccountauth_error","core","createaccountauth_error","ERROR","The authorization code your entered could not be validated.  To create a new account, please try again.",""
"core.createaccount_auth","core","createaccount_auth","NOTIFY","Thank you.  Your new account information has been validated.  Please authorize your account by following the instructions on this page.",""
"core.createaccount_confirm","core","createaccount_confirm","CONFIRM","Thank you.  Your new account has been created.",""
"core.createaccount_failem","core","createaccount_failem","ERROR","The email addresses you entered did not match.  In order to create a new account, both entries must match.",""
"core.createaccount_failemunmatch","core","createaccount_failemunmatch","ERROR","The email address and username you entered were the same.  In order to create a new account, these two items must be different.",""
"core.createaccount_failfound","core","createaccount_failfound","ERROR","The email address you entered is already associated with an account.  Please choose a different email address.",""
"core.createaccount_failfoundun","core","createaccount_failfoundun","ERROR","The username you entered is already associated with an account.  Please choose a different username.",""
"core.createaccount_failli","core","createaccount_failli","ERROR","You are currently logged into an account.  In order to create an account you need to logout.",""
"core.createaccount_failpassstrength","core","createaccount_failpassstrength","ERROR","The password you entered does not meet security requirements.  To continue, please enter a password at least ten characters long, which contains at least one uppercase letter, one lowercase letter, and one number.",""
"core.createaccount_failpw","core","createaccount_failpw","ERROR","The passwords you entered did not match.  In order to create a new account, both entries must match.",""
"core.createaccount_failun","core","createaccount_failun","ERROR","The usernames you entered did not match.  In order to create a new account, both entries must match.",""
"core.csvexport_norows","core","csvexport_norows","ERROR","There are no rows available to export to a CSV file based on the criteria you selected.","BackEnd"
"core.csvimport_confirm","core","csvimport_confirm","CONFIRM","The CSV file you uploaded was successfully loaded and used to import data into the selected table.","BackEnd"
"core.csvimport_failread","core","csvimport_failread","ERROR","The CSV file you uploaded could not be read.  It does not appear to be a properly formatted CSV file that can be used by this import function.  Review the CSV File Information section for information on how this file should be formatted and make sure all of the table columns were represented on the first line of the file.","BackEnd"
"core.currencyactive","core","currencyactive","CONFIRM","Thank you.  The currency you selected is now active.",""
"core.dbdelconfirm","core","dbdelconfirm","CONFIRM","Thank you.  The item you selected has been deleted.","BackEnd"
"core.dbdelfail","core","dbdelfail","ERROR","An error was encountered while deleting an item.","BackEnd"
"core.dbemailformatfail","core","dbemailformatfail","ERROR","The following fields, which must validate as email addresses, were submitted in an invalid format.  Check for special characters or spaces:","BackEnd"
"core.dbfailure","core","dbfailure","ERROR","There was a problem producing the database driven page requested.  More information is available in the debugger.","BackEnd"
"core.dbinsconfirm","core","dbinsconfirm","CONFIRM","Thank you.  The item you submitted has been created.","BackEnd"
"core.dbinsfail","core","dbinsfail","ERROR","An error was encountered while adding a row to the database table selected.","BackEnd"
"core.dbpkfail","core","dbpkfail","ERROR","The primary key contained in your request exists already.  To create a new item, the primary key you select must be unique.","BackEnd"
"core.dbseourlfail","core","dbseourlfail","ERROR","Either the primary key or the search engine optimized URL contained in your request exists already as a search engine optimized URL.","BackEnd"
"core.dbspcharfail","core","dbspcharfail","ERROR","The following fields, which must not contain special characters, were submitted with values which contain special characters:","BackEnd"
"core.dbuniquefail","core","dbuniquefail","ERROR","The following fields, which must be unqiue, were submitted with values which are not unique:","BackEnd"
"core.dbupdconfirm","core","dbupdconfirm","CONFIRM","Thank you.  The item has been updated with the information you submitted.","BackEnd"
"core.dbupdfail","core","dbupdfail","ERROR","An error was encountered while updating a row in the database table selected.","BackEnd"
"core.demofail","core","demofail","ERROR","The action requested cannot be executed in demo mode.","BackEnd"
"core.dir_fail","core","dir_fail","ERROR","The directory selected does not exist.","BackEnd"
"core.faildelete","core","faildelete","ERROR","The item you selected could not be deleted.","BackEnd"
"core.failinsert","core","failinsert","ERROR","An error was encountered while creating an item.","BackEnd"
"core.failmailsend","core","failmailsend","ERROR","There was an error encountered when trying to send your email message.  Perhaps an invalid email address was entered.  Please try again.",""
"core.failupdate","core","failupdate","ERROR","The item you selected could not be updated with the information you submitted.","BackEnd"
"core.failupload","core","failupload","ERROR","The file you uploaded could not be located.  There appears to have been an error saving the file to the server.  Check the debugger for more information.","BackEnd"
"core.failuploadfe","core","failuploadfe","ERROR","An error was encountered while uploading a file.  The file selected was either too large, or may not be a valid file type.  Please try again.","FrontEnd"
"core.filedel_confirm","core","filedel_confirm","CONFIRM","The file you selected has been deleted from the filesystem.","BackEnd"
"core.filedel_fail","core","filedel_fail","ERROR","There was a problem deleting the file you selected from the filesystem.","BackEnd"
"core.fileop_fail","core","fileop_fail","ERROR","There was a problem processing the file operations needed to completed your request.","BackEnd"
"core.filesave_fail","core","filesave_fail","ERROR","There was a problem saving the file created to the filesystem.","BackEnd"
"core.generic_error","core","generic_error","ERROR","An error was encountered while processing your request.  Please try again.","BackEnd"
"core.generic_idnotfound","core","generic_idnotfound","ERROR","The identifier submitted could not be located.  Please try again.","BackEnd"
"core.install_confirm","core","install_confirm","CONFIRM","Thank you.  The installation process has successfully completed.","BackEnd"
"core.invalid_email","core","invalid_email","ERROR","The email address you entered is invalid.  Please try again.",""
"core.logindevauth_badcode","core","logindevauth_badcode","ERROR","The authorization code you entered could not be validated.  Please check the authorization code you were provided to be sure you are entering it correctly, and try again.",""
"core.logindevauth_confirm","core","logindevauth_confirm","CONFIRM","Thank you.  This device has been authorized to access your account.",""
"core.login_confirm","core","login_confirm","CONFIRM","Thank you.  Your login information has been validated.",""
"core.login_fail","core","login_fail","ERROR","The login information you entered could not be validated.  Please check to be sure you are entering both your email address, or username, and password correctly, and try again.",""
"core.login_groupexclude","core","login_groupexclude","ERROR","Your login information was validated, however your account is not allowed to login using this site.  Please login using a different account, or contact us.",""
"core.logout_confirm","core","logout_confirm","CONFIRM","Thank you.  You have successfully logged out of your account.",""
"core.module_inactive","core","module_inactive","ERROR","The module controlling the resource you requested is inactive.",""
"core.noaccess","core","noaccess","ERROR","The page requested is not accessible using the credentials supplied.  Please login to access the requested page.",""
