"id","app","namespace","name","pointer","funcparams","active","interface","type","groupallow","groupdeny","backendgroup","backendmenudisp","disprecback","becommon","demoallow","seourl"
"cms.display","cms","display","Web Page","CMS_Content::display()","","1","FrontEnd","CGI","*","","","0","1","0","1","/{SEOURL:cms_html}"
"cms.dynform","cms","dynform","Dynamic Form","CMS_DynForm::dynform_disp()","","1","FrontEnd","CGI","*","","","0","0","0","1","/Form/{SEOURL:cms_dynforms}"
"cms.dynformint","cms","dynformint","Dynamic Form Interal","CMS_DynForm::dynform_int()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"cms.dynform_proc","cms","dynform_proc","Dynamic Form - Process","CMS_DynForm::dynform_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"cms.managebanneradverts","cms","managebanneradverts","Banner Adverts","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_banneradverts","1","BackEnd","CGI","superuser, admin","*","Content","1","1","0","1",""
"cms.managebannermain","cms","managebannermain","Main Banners","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_bannermain","1","BackEnd","CGI","superuser, admin","*","Content","1","1","0","1",""
"cms.managedynform","cms","managedynform","Dynamic Forms","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_dynforms","1","BackEnd","CGI","superuser, admin","*","Dynamic Forms","1","1","0","1",""
"cms.managedynformfields","cms","managedynformfields","Dynamic Form Fields","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_dynformfields","1","BackEnd","CGI","superuser, admin","*","Dynamic Forms","1","1","0","1",""
"cms.managepages","cms","managepages","Webpages","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_html","1","BackEnd","CGI","superuser, admin","*","Content","1","1","0","1",""
"cms.managexmodarticles","cms","managexmodarticles","Articles","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_xmodarticles","1","BackEnd","CGI","superuser, admin","*","Articles","1","1","0","1",""
"cms.managexmodarticlescat","cms","managexmodarticlescat","Article Categories","CORE_BackEnd::CORE_BackEnd_db::db_manager()","cms_xmodarticlescat","1","BackEnd","CGI","superuser, admin","*","Articles","1","1","0","1",""
"cms.managexmodarticlesprod","cms","managexmodarticlesprod","Article Related Products","CORE_BackEnd::CORE_BackEnd_db::db_manager()","ecom_prod","1","BackEnd","CGI","superuser, admin","*","Articles","0","0","0","1",""
"cms.pagesubmenu","cms","pagesubmenu","Web Page","CMS_Content::pagesubmenu()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"cms.pingapp","cms","pingapp","Component Ping","CMS::pingapp()","","1","","INTERNAL","*","","","0","0","0","1",""
"cms.xmodarticle","cms","xmodarticle","Articles","XMOD_Articles::article()","","1","FrontEnd","CGI","*","","","0","1","0","1","/Article/{SEOURL:cms_xmodarticles}"
"cms.xmodarticles","cms","xmodarticles","Articles","XMOD_Articles::splash()","","1","FrontEnd","CGI","*","","","0","1","0","1","/Articles"
"cms.xmodarticlescat","cms","xmodarticlescat","Articles","XMOD_Articles::cat()","","1","FrontEnd","CGI","*","","","0","1","0","1","/ArticlesCategory/{SEOURL:cms_xmodarticlescat}"
"cms.xmodarticlescatlist","cms","xmodarticlescatlist","Article Category Listing","XMOD_Articles::articlescatlist()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"cms.xmodarticlesfeed","cms","xmodarticlesfeed","Articles Feed","XMOD_Articles::articlesfeed()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"cms.xmodarticleshort","cms","xmodarticleshort","Article Short Display","XMOD_Articles::articleshort()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"cms.xmodarticleslist","cms","xmodarticleslist","Articles Listing","XMOD_Articles::articleslist()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"cms.xmodarticlessearchp","cms","xmodarticlessearchp","Search Results","XMOD_Articles::searchp()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"cms.xmodarticlessearchref","cms","xmodarticlessearchref","Search Results","XMOD_Articles::searchref()","","1","FrontEnd","CGI","*","","","0","0","0","1","/ArticleSearch/{ID}"
"core.about","core","about","About This Software","about.php","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.accountconf","core","accountconf","Account Overview","accountconf.php","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","1","/Account"
"core.accountmaint","core","accountmaint","Update Account Profile","CORE_FrontEnd::CORE_FrontEnd_accounts::accountmaint_disp()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","1","0","1","/AccountUpdate"
"core.accountmaint_proc","core","accountmaint_proc","Update Account Profile - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::accountmaint_proc()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","1",""
"core.acctaffiliate","core","acctaffiliate","Affiliate Account Information","CORE_FrontEnd::CORE_FrontEnd_accounts::acctaffiliate()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","1","0","1","/AccountAffiliateInfo"
"core.acctolpdata","core","acctolpdata","Payment Cards","acctolpdata.php","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","1","0","1","/PaymentCards"
"core.acctolpdatadelp","core","acctolpdatadelp","Payment Cards: Delete Payment Card - Process","CORE_FrontEnd::CORE_FrontEnd_olpdata::olpdatadelp()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","1","/PaymentCardDelete/{ID}"
"core.acctwholesale","core","acctwholesale","Wholesale Account Information","CORE_FrontEnd::CORE_FrontEnd_accounts::acctwholesale()","","1","FrontEnd","CGI","superuser, admin, reports, wholesale, reseller","*","","0","1","0","1","/AccountWholesaleInfo"
