"id","reqtarget","reqref","redirtarget","redirref","createdate"
"cms.display.Aslan-C114-MET-1220","cms.display","Aslan-C114-MET-1220","ecom.catshow","Aslan_C114","1558699266"
"cms.display.Aslan-C114-MET-610","cms.display","Aslan-C114-MET-610","ecom.catshow","Aslan_C114","1558699322"
"cms.display.https://www.dorotape.co.uk/Category/Glitter-HTV","cms.display","https://www.dorotape.co.uk/Category/Glitter-HTV","cms.display","https://www.craftstick.co.uk/Category/Glitter-Craft-HTV","1571829011"
"cms.xmodarticlescat.ASLAN-Mirror-Films","cms.xmodarticlescat","ASLAN-Mirror-Films","cms.xmodarticlescat","Mirror-Films","1752155714"
"ecom.catshow.Aslan-Mirror-Films","ecom.catshow","Aslan-Mirror-Films","ecom.catshow","ASLAN-Mirror-Films","1738684344"
"ecom.catshow.Aslan_C114_BW","ecom.catshow","Aslan_C114_BW","ecom.catshow","Aslan_C114","1557483091"
"ecom.catshow.Aslan_C114_BW_M","ecom.catshow","Aslan_C114_BW_M","ecom.catshow","Aslan_C114","1557483137"
"ecom.catshow.Aslan_C114_C","ecom.catshow","Aslan_C114_C","ecom.catshow","Aslan_C114","1557483193"
"ecom.catshow.Aslan_C114_C_M","ecom.catshow","Aslan_C114_C_M","ecom.catshow","Aslan_C114","1557483215"
"ecom.catshow.Aslan_C114_Gloss","ecom.catshow","Aslan_C114_Gloss","ecom.catshow","Aslan_C114","1557483281"
"ecom.catshow.Aslan_C114_M","ecom.catshow","Aslan_C114_M","ecom.catshow","Aslan_C114","1557483246"
"ecom.catshow.Aslan_C114_Matt","ecom.catshow","Aslan_C114_Matt","ecom.catshow","Aslan_C114","1557483324"
"ecom.catshow.Aslan_C118_BW","ecom.catshow","Aslan_C118_BW","ecom.catshow","Aslan_C118","1557482546"
"ecom.catshow.Aslan_C118_C","ecom.catshow","Aslan_C118_C","ecom.catshow","Aslan_C118","1557482559"
"ecom.catshow.Aslan_C118_M","ecom.catshow","Aslan_C118_M","ecom.catshow","Aslan_C118","1557482573"
"ecom.catshow.CS-APP-ADVICE","ecom.catshow","CS-APP-ADVICE","cms.display","CS-APP-ADVICE","1616064638"
"ecom.catshow.Metal-Effect-Vinyl","ecom.catshow","Metal-Effect-Vinyl","ecom.catshow","CS-SAV-MET","1571070526"
"ecom.catshow.Metallized_Indoor","ecom.catshow","Metallized_Indoor","ecom.catshow","Metallized_Vinyl","1700055443"
"ecom.catshow.Metallized_Outdoor","ecom.catshow","Metallized_Outdoor","ecom.catshow","Metallized_Vinyl","1700055460"
"ecom.catshow.O_RANGE_BW","ecom.catshow","O_RANGE_BW","ecom.catshow","Ritrama_O_Range","1557482466"
