"id","app","name","filename","hascsv"
"core.dashstats","core","Dashboard Statistics","reportsadv_dashstats.php","1"
"core.pageviewsally","core","Pageview Totals: Yearly","reportsadv_pageviewsally.php","1"
"core.pageviewslast15d","core","Pageview Totals: Recent","reportsadv_pageviewslast15d.php","1"
"core.pageviewslast24m","core","Pageview Totals: Last 24 Months","reportsadv_pageviewslast24m.php","1"
"core.pageviewslast30d","core","Pageview Totals: Last 30 Days","reportsadv_pageviewslast30d.php","1"
"ecom.creditnumslast30d","ecom","Credits Created: Recent","reportsadv_creditnumslast30d.php","1"
"ecom.credittotalslast30d","ecom","Credit Totals: Recent","reportsadv_credittotalslast30d.php","1"
"ecom.customersordnumstop20","ecom","Customers by Orders Placed: Top 20","reportsadv_customersordnumstop20.php","1"
"ecom.customersordtotalstop20","ecom","Customers by Order Total: Top 20","reportsadv_customersordtotalstop20.php","1"
"ecom.ordernumsally","ecom","Orders Placed: Yearly","reportsadv_ordernumsally.php","1"
"ecom.ordernumslast12m","ecom","Orders Placed: Last 12 Months","reportsadv_ordernumslast12m.php","1"
"ecom.ordernumslast15d","ecom","Orders Placed: Recent","reportsadv_ordernumslast15d.php","1"
"ecom.ordernumslast24m","ecom","Orders Placed: Last 24 Months","reportsadv_ordernumslast24m.php","1"
"ecom.ordernumslast30d","ecom","Orders Placed: Last 30 Days","reportsadv_ordernumslast30d.php","1"
"ecom.ordernumslast6m","ecom","Orders Placed: Last 6 Months","reportsadv_ordernumslast6m.php","1"
"ecom.ordertotalsally","ecom","Order Totals: Yearly","reportsadv_ordertotalsally.php","1"
"ecom.ordertotalslast12m","ecom","Order Totals: Last 12 Months","reportsadv_ordertotalslast12m.php","1"
"ecom.ordertotalslast15d","ecom","Order Totals: Recent","reportsadv_ordertotalslast15d.php","1"
"ecom.ordertotalslast24m","ecom","Order Totals: Last 24 Months","reportsadv_ordertotalslast24m.php","1"
"ecom.ordertotalslast30d","ecom","Order Totals: Last 30 Days","reportsadv_ordertotalslast30d.php","1"
"ecom.ordertotalslast6m","ecom","Order Totals: Last 6 Months","reportsadv_ordertotalslast6m.php","1"
"ecom.xmodamazoninvdetail","ecom","Channel Amazon: Inventory Detail","xmodamazoninvdetail.php","1"
"ecom.xmodebayinvdetail","ecom","Channel eBay: Inventory Detail","xmodebayinvdetail.php","1"
