"id","app","selectid","selectname","selectvalue","selectorder"
"cms.bannerslink.cms.display","cms","cms.bannerslink","HTML Page","cms.display","1"
"cms.bannerslink.ecom.catshow","cms","cms.bannerslink","Category","ecom.catshow","2"
"cms.bannerslink.ecom.manuscat","cms","cms.bannerslink","Manufacturer","ecom.manuscat","3"
"cms.bannerslink.ecom.prodshow","cms","cms.bannerslink","Product Offer","ecom.prodshow","4"
"cms.bannerslink.EXTERNALURL","cms","cms.bannerslink","External URL","EXTERNALURL","99"
"cms.dynformtypes.0","cms","cms.dynformtypes","Textbox","TEXTBOX-REG","1"
"cms.dynformtypes.1","cms","cms.dynformtypes","Textarea: Regular","TEXTAREA-REG","2"
"cms.dynformtypes.2","cms","cms.dynformtypes","Textarea: Small","TEXTAREA-SMALL","3"
"cms.dynformtypes.3","cms","cms.dynformtypes","Selection List (List)","SELECT-CUSTOM","4"
"cms.dynformtypes.4","cms","cms.dynformtypes","Checkboxes (List)","CHECKBOX-CUSTOM","5"
"cms.dynformtypes.5","cms","cms.dynformtypes","Radio Buttons (List)","RADIO-CUSTOM","6"
"cms.dynformtypes.6","cms","cms.dynformtypes","Hidden Field","HIDDEN-REG","7"
"cms.dynformtypes.7","cms","cms.dynformtypes","Captcha (Image Verification) Field","CAPTCHA","8"
"cms.dynformtypes.8","cms","cms.dynformtypes","File Upload","FILE-UPLOAD","9"
"cms.htmlview.A","cms","cms.htmlview","Everyone","A","1"
"cms.htmlview.L","cms","cms.htmlview","Specific User Groups Only","L","2"
"cms.htmlview.N","cms","cms.htmlview","Not Viewable By Anyone","N","4"
"cms.xmodarticlecatview.A","cms","cms.xmodarticlecatview","Everyone","A","1"
"cms.xmodarticlecatview.L","cms","cms.xmodarticlecatview","Specific User Groups Only","L","2"
"cms.xmodarticlecatview.N","cms","cms.xmodarticlecatview","Not Viewable By Anyone","N","4"
"cms.xmodarticlescatlistnum.2","ecom","cms.xmodarticlescatlistnum","Two per Row","2","2"
"cms.xmodarticlescatlistnum.3","ecom","cms.xmodarticlescatlistnum","Three per Row","3","3"
"cms.xmodarticlescatlistnum.4","ecom","cms.xmodarticlescatlistnum","Four per Row","4","4"
"cms.xmodarticlescatshowtype.DESCIMG","ecom","cms.xmodarticlescatshowtype","Description and Image","DESCIMG","1"
"cms.xmodarticlescatshowtype.DESCONLY","ecom","cms.xmodarticlescatshowtype","Description Only","DESCONLY","2"
"cms.xmodarticlescatshowtype.NONE","ecom","cms.xmodarticlescatshowtype","Do Not Display","NONE","3"
"cms.xmodarticleslistpg.10","ecom","cms.xmodarticleslistpg","10","10","10"
"cms.xmodarticleslistpg.20","ecom","cms.xmodarticleslistpg","20","20","20"
"cms.xmodarticleslistpg.30","ecom","cms.xmodarticleslistpg","30","30","30"
"cms.xmodarticleslistpg.40","ecom","cms.xmodarticleslistpg","40","40","40"
"cms.xmodarticleslistpg.50","ecom","cms.xmodarticleslistpg","50","50","50"
"cms.xmodarticleview.A","cms","cms.xmodarticleview","Everyone","A","1"
"cms.xmodarticleview.L","cms","cms.xmodarticleview","Specific User Groups Only","L","2"
"cms.xmodarticleview.N","cms","cms.xmodarticleview","Not Viewable By Anyone","N","4"
"core.ajaxposition.LEFT","core","core.ajaxposition","Left Side","LEFT","1"
"core.ajaxposition.RIGHT","core","core.ajaxposition","Right Side","RIGHT","2"
"core.altrdbms.dbtype.0","core","core.altrdbms.dbtype","MySQL (All Versions)","mysql","1"
"core.altrdbms.dbtype.1","core","core.altrdbms.dbtype","MySQL PHP Improved (Min Version: 4.1.3)","mysqli","2"
"core.altrdbms.dbtype.2","core","core.altrdbms.dbtype","PostgreSQL (Min Version: 7.4)","pgsql","3"
"core.altrdbms.dbtype.5","core","core.altrdbms.dbtype","SQLite (All Versions)","sqlite","4"
"core.billshipadd.BILL","core","core.billshipadd","Deliver items to my Billing Address entered above","BILL","1"
"core.billshipadd.SHIP","core","core.billshipadd","Deliver items to a different Delivery Address","SHIP","2"
"core.columndefs.fieldtype.0","core","core.columndefs.fieldtype","Variable Length Character","text","1"
"core.columndefs.fieldtype.1","core","core.columndefs.fieldtype","Integer","integer","2"
"core.columndefs.fieldtype.2","core","core.columndefs.fieldtype","Floating Point Integer","float","3"
"core.columndefs.fieldtype.3","core","core.columndefs.fieldtype","Character Large Object (CLOB)","clob","4"
"core.createaccountform.core.createaccount","core","core.createaccountform","Billing Fields Only","core.createaccount","1"
"core.createaccountform.core.createaccountship","core","core.createaccountform","Billing and Delivery Fields","core.createaccountship","2"
"core.cron.days.0","core","core.cron.days","One Day","86400","1"
"core.cron.days.1","core","core.cron.days","Two Days","172800","2"
"core.cron.days.10","core","core.cron.days","Forever","0","11"
"core.cron.days.2","core","core.cron.days","Three Days","259200","3"
"core.cron.days.3","core","core.cron.days","Four Days","345600","4"
"core.cron.days.4","core","core.cron.days","Five Days","432000","5"
"core.cron.days.5","core","core.cron.days","Ten Days","864000","6"
"core.cron.days.6","core","core.cron.days","Fifteen Days","1296000","7"
"core.cron.days.7","core","core.cron.days","Twenty Days","1728000","8"
"core.cron.days.8","core","core.cron.days","Twenty Five Days","2160000","9"
"core.cron.days.9","core","core.cron.days","Thirty Days","2592000","10"
"core.cron.months.0","core","core.cron.months","One Month","2592000","1"
"core.cron.months.1","core","core.cron.months","Two Months","5184000","2"
"core.cron.months.2","core","core.cron.months","Three Months","7776000","3"
"core.cron.months.3","core","core.cron.months","Six Months","15552000","4"
"core.cron.months.4","core","core.cron.months","Nine Months","23328000","5"
"core.cron.months.5","core","core.cron.months","Twelve Months","31104000","6"
"core.cron.months.6","core","core.cron.months","Forever","0","7"
"core.cron.years.0","core","core.cron.years","One Year","31104000","1"
"core.cron.years.1","core","core.cron.years","Two Years","62208000","2"
"core.cron.years.2","core","core.cron.years","Three Years","93312000","3"
"core.cron.years.3","core","core.cron.years","Four Years","124416000","4"
"core.cron.years.4","core","core.cron.years","Five Years","155520000","5"
"core.cron.years.5","core","core.cron.years","Forever","0","6"
"core.currency.AUD","core","core.currency","Australian Dollars","AUD","6"
"core.currency.CAD","core","core.currency","Canadian Dollars","CAD","3"
"core.currency.CHF","core","core.currency","Swiss Francs","CHF","7"
"core.currency.EUR","core","core.currency","Euros","EUR","4"
"core.currency.GBP","core","core.currency","Great Britain Pounds","GBP","2"
"core.currency.JPY","core","core.currency","Japanese Yen","JPY","5"
"core.currency.USD","core","core.currency","US Dollars","USD","1"
"core.datetime.format.0","core","core.datetime.format","US Format (m/d/Y h:i:s A)","m/d/Y h:i:s A","1"
"core.datetime.format.1","core","core.datetime.format","International Format (d/m/Y H:i:s)","d/m/Y H:i:s","2"
"core.datetime.format.2","core","core.datetime.format","RFC 2822 (Internet Message Format)","r","3"
"core.datetime.format.3","core","core.datetime.format","Unix-Style (Seconds Since Epoch)","U","4"
"core.datetime.incdec.0","core","core.datetime.incdec","Do Not Adjust Server Time","0","1"
"core.datetime.incdec.1","core","core.datetime.incdec","Add To Server Time","1","2"
"core.datetime.incdec.2","core","core.datetime.incdec","Subtract From Server Time","2","3"
"core.dbcountpp.0","core","core.dbcountpp","50","50","1"
"core.dbcountpp.1","core","core.dbcountpp","100","100","2"
"core.dbcountpp.2","core","core.dbcountpp","150","150","3"
"core.dbcountpp.3","core","core.dbcountpp","200","200","4"
"core.dbcountpp.4","core","core.dbcountpp","250","250","5"
"core.dbops.0","core","core.dbops","Contains String","LIKE","1"
"core.dbops.1","core","core.dbops","Is Equal To","EQUAL","2"
"core.dbops.2","core","core.dbops","Is Not Equal To","NOTEQUAL","3"
"core.dbops.3","core","core.dbops","Is Greater Than","GREATER","4"
"core.dbops.4","core","core.dbops","Is Less Than","LESS","5"
"core.dbops.5","core","core.dbops","Is Blank","ISBLANK","6"
"core.dbops.6","core","core.dbops","Is Not Blank","NOTBLANK","7"
"core.dboverview.count.0","core","core.dboverview.count","50","50","1"
"core.dboverview.count.1","core","core.dboverview.count","100","100","2"
"core.dboverview.count.2","core","core.dboverview.count","150","150","3"
