"id","name","app","section","displaytype","displaydata","displayinclude","required","value","description"
"cms.banneradverts_delay","Advert Banners: Transition Delay","cms","Banners","TEXTBOX-REG","","","1","5000","This is the delay in miliseconds between banner transitions for the banner adverts.  1000 miliseconds is equal to 1 second."
"cms.bannermain_controls","Main Banner: Display Slider Controls","cms","Banners","SELECT-BOOL","","","1","1","Set to true (1) to display slider controls for the main banner, or false (0) to suppress controls."
"cms.bannermain_delay","Main Banner: Transition Delay","cms","Banners","TEXTBOX-REG","","","1","7500","This is the delay in miliseconds between banner transitions for the main banner.  1000 miliseconds is equal to 1 second."
"cms.xmodarticlesactive","Activate Articles Extension Module","cms","Extension Module: Articles","SELECT-BOOL","","","1","1","This status indicator allows you to turn the Articles module on (true) or off (false)."
"cms.xmodarticlescatlistdesc","Article Category List: Display Description","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display article category descriptions in listings, when enabled for each article category."
"cms.xmodarticlescatlistnum","Article Category List: Display per Row","cms","Extension Module: Articles","SELECT-CUSTOM","cms.xmodarticlescatlistnum","","1","3","This setting controls how many article categories are displayed horizontally per row in wide (desktop) display mode."
"cms.xmodarticlescatshowtype","Article Category Header: Display Type","cms","Extension Module: Articles","SELECT-CUSTOM","cms.xmodarticlescatshowtype","","1","NONE","Select the type for the article category header.  You can select description only, image and descripiton, or to disable the display."
"cms.xmodarticlesfeatname","Splash Page: Featurted Articles Name","cms","Extension Module: Articles","TEXTBOX-REG","","","1","Featured Blogs","When presenting a featured article listing on the articles splash page, this name is used to present a heading."
"cms.xmodarticlesfeedcount","Article Feed: Articles Number","cms","Extension Module: Articles","TEXTBOX-REG","","","1","5","If the Article Feed is included in a page, this is the number of recent articles to include articles list.  Enter from 0-10."
"cms.xmodarticlesfeedname","Article Feed: Heading Name","cms","Extension Module: Articles","TEXTBOX-REG","","","1","Recent Blogs","If the Article Feed is included in a page, this is the name used in the heading above the articles list."
"cms.xmodarticlesfoot","Article Display: Footer","cms","Extension Module: Articles","TEXTAREA-WYSIWYG","","","0","","If you would like to display a footer on all article pages, enter the footer here.  This footer can contain XHTML tags."
"cms.xmodarticleslistpg","Article Listing: Display per Page","cms","Extension Module: Articles","SELECT-CUSTOM","cms.xmodarticleslistpg","","1","10","Select how many articles should be displayed per page in article listings."
"cms.xmodarticlesname","Display Name","cms","Extension Module: Articles","TEXTBOX-REG","","","1","Blogs","This display name is used to reference the Articles section."
"cms.xmodarticlesprodname","Related Products: Heading Name","cms","Extension Module: Articles","TEXTBOX-REG","","","1","Products Featured in this Blog","If there are related products to display for an article, this name is used to present a heading."
"cms.xmodarticlesprodslider","Related Products: Activate Slider","cms","Extension Module: Articles","SELECT-BOOL","","","1","1","If there are related products for an offer, choose true (1) to activate a slider control for those products, or false (0) to suppress the slider."
"cms.xmodarticlesrelname","Related Articles: Heading Name","cms","Extension Module: Articles","TEXTBOX-REG","","","1","Related Blogs","If there are related articles to display for an article, this name is used to present a heading for the listing."
"cms.xmodarticlesrssactive","Activate Articles RSS Feed","cms","Extension Module: Articles","SELECT-BOOL","","","1","1","This status indicator allows you to turn the RSS feed for the Articles module on (true) or off (false)."
"cms.xmodarticlesrsscount","RSS Feed: Articles Number","cms","Extension Module: Articles","TEXTBOX-REG","","","1","10","Enter the number of articles to display in the RSS feed.  If the RSS feed is active, and this number is greater than zero, and articles are available, this sets the maximum number printed to the feed."
"cms.xmodarticlesrssdesc","RSS Feed: Channel Description","cms","Extension Module: Articles","TEXTAREA-SMALL","","","1","News and updates for our website.","Enter a channel description for the RSS feed."
"cms.xmodarticlesrssname","RSS Feed: Channel Name","cms","Extension Module: Articles","TEXTBOX-REG","","","1","News Blogs and Updates","Enter a channel name for the RSS feed."
"cms.xmodarticlessocial_facebook","Social Sharing: Facebook","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display a Facebook like button for articles, or false to suppress the button."
"cms.xmodarticlessocial_googleplus","Social Sharing: Google Plus","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display a Google plus button for articles, or false to suppress the button."
"cms.xmodarticlessocial_linkedin","Social Sharing: LinkedIn Share","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display a LinkedIn share button for articles, or false to suppress the button."
"cms.xmodarticlessocial_pinterest","Social Sharing: Pinterest","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display a Pinterest pinit button for articles, or false to suppress the button."
"cms.xmodarticlessocial_rss","Social Sharing: RSS Feed Link","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display a RSS feed link for the Articles section RSS feed on article pages.  This link will appear if the RSS feed is active and has been generated."
"cms.xmodarticlessocial_twitter","Social Sharing: Twitter","cms","Extension Module: Articles","SELECT-BOOL","","","1","0","Select true to display a Twitter tweet button for articles, or false to suppress the button."
"cms.xmodarticlessplashbanner","Splash Page: Banner Advertisement Group","cms","Extension Module: Articles","TEXTBOX-REG","","","0","BLOGBANNERSTEPS","Enter a banner advertisement group name if you would like to display banner advertisements for the article splash page. Leave blank to suppress banner advertisements. If a group name is entered, a main banner advertisement must have this group name in order to display a banner advertisement."
"cms.xmodarticlessplashhead","Splash Page: Header","cms","Extension Module: Articles","TEXTAREA-WYSIWYG","","","0","<h2 style=color:#009ee3;"">Our blogs<span style=""color:#d7328a; font-weight:bold; font-size: 1.5em;"">.</span></h2>

<p>Our industry is forever changing and our customer base is varied and wide. Read on for a mixed bag of news, views, industry insights and
standout projects.</p>

","If you would like to display a header on the articles splash page, enter the header here.  This header can contain XHTML tags."
"cms.xmodarticlessplashsearchdo","Splash Page: Display Search Form","cms","Extension Module: Articles","SELECT-BOOL","","","1","1","Select true (1) to display a search form on the Articles splash page, or false (0) to suppress the search form."
"cms.xmodarticleswidgetbreadshome","Skin Widget: Breadcrumbs Home","cms","Extension Module: Articles","TEXTBOX-REG","","","1","Home","Enter the text to be displayed for the link to the homepage in the Articles Breadcrumbs Skin Widget."
"cms.xmodarticleswidgetfeednum","Skin Widget: Article Feed Number","cms","Extension Module: Articles","TEXTBOX-REG","","","1","5","Enter the number of recent articles to display in the Articles Feed Skin Widget.  If the widget is active, and this number is greater than zero, and articles are available, this sets the maximum number displayed in the widget.  Enter from 0-10."
"cms.xmodarticleswidgetrecentnum","Skin Widget: Recent Articles Number","cms","Extension Module: Articles","TEXTBOX-REG","","","1","5","Enter the number of recent articles to display in the Recent Articles Skin Widget.  If the widget is active, and this number is greater than zero, and articles are available, this sets the maximum number displayed in the widget.  Enter from 0-10."
"core.accountenableajax","Enable Account Section Ajax Updates","core","Ajax Settings","SELECT-BOOL","","","1","1","Select true to enable ajax updates for the account section."
"core.accountenableajaxcreate","Enable Create Account Ajax Updates","core","Ajax Settings","SELECT-BOOL","","","1","1","Select true to enable ajax updates for users when creating accounts.  This setting is only valid when you choose to enable ajax updates for the account section.  This setting should be disabled on sites where menus used in the display skin contain account-specific links."
"core.accountenableajaxlogin","Enable Login Ajax Updates","core","Ajax Settings","SELECT-BOOL","","","1","1","Select true to enable ajax updates for users when logging in.  This setting is only valid when you choose to enable ajax updates for the account section.  This setting should be disabled on sites where menus used in the display skin contain account-specific links."
"core.affilactive","Affiliate System Status","core","Affiliate System Settings","SELECT-BOOL","","","1","0","Select below to activate the affiliate system.  A true value activates the system and a false value deactivates the system.  If you activate the affiliate system, be sure to add commissions to e-commerce component products and product options."
"core.banned_ips","Banned IP Addresses","core","Security","TEXTAREA-SMALL","","","0","91.241.19.84, 91.121.88.210, 5.188.62.214","If you would like to ban IP addresses from accessing resources and components controlled by this software, enter a single or comma delimited list of IP addresses below.  You can ban a single IP address or all IP addresses in a domain.  To ban a single IP address, enter the full address (Example: 192.168.1.1 would ban the address 192.168.1.1).  To ban all IP addresses in a domain, enter a partial address (Example: 192.168. would ban all IP addresses matching 192.168.x.x)."
"core.basecurrency","System Base Currency","core","Currency, Weight and Dimensional Settings","SELECT-CUSTOM","core.currency","","1","GBP","Select the system base currency to be used by this software to perform currency conversions.  This system base currency is used as the default entry currency for all currency amounts."
"core.basedimension","Dimensional Unit","core","Currency, Weight and Dimensional Settings","SELECT-CUSTOM","core.dimensions","","1","CM","Select the dimensional unit used by this software.  All dimensions (length, width and height) entered should be made in this dimensional unit.  Dimensional conversions are done based on this unit selection to accurately retrieve realtime shipping rate quotes."
"core.baseweight","Weight Unit","core","Currency, Weight and Dimensional Settings","SELECT-CUSTOM","core.weights","","1","KGS","Select the weight unit used by this software.  All weights entered should be made in this weight unit.  Weight conversions are done based on this unit selection to accurately retrieve realtime shipping rate quotes."
"core.contact_googlemapdo","Contact Page: Google Map Embed Status","core","Site Information","SELECT-BOOL","","","1","1","Choose true (1) to embed a Google Map on the Contact Page.  When activated, a map URL is automatically generated. Enter a Google Map Exact Embed URL to fine tune the map location.  Choose false (0) to disable this feature."
