"id","carrier","name"
"parcelforce-1","Parcelforce","Parcelforce - UK (England & Wales, Scotland Mainland)"
"parcelforce-10","Parcelforce","Parcelforce - United States, Canada"
"parcelforce-11","Parcelforce","Parcelforce - Middle East, Asia, South Pacific"
"parcelforce-12","Parcelforce","Parcelforce - International Unassigned"
"parcelforce-2","Parcelforce","Parcelforce - UK (Highlands & Islands Scotland)"
"parcelforce-3","Parcelforce","Parcelforce - UK (Northern Ireland, Isle of Man)"
"parcelforce-4","Parcelforce","Parcelforce - UK (Channel Islands)"
"parcelforce-5","Parcelforce","Parcelforce - Ireland"
"parcelforce-6","Parcelforce","Parcelforce - Belgium, Netherlands, Luxembourg"
"parcelforce-7","Parcelforce","Parcelforce - Denmark, France, Germany, Monaco"
"parcelforce-8","Parcelforce","Parcelforce - Greece, Italy, Portugal, Spain"
"parcelforce-9","Parcelforce","Parcelforce - Europe Unassigned"
"royalmail-1","Royal Mail","Royal Mail - Europe (Excluding United Kingdom)"
"royalmail-2","Royal Mail","Royal Mail - International Unassigned"
"royalmail-3","Royal Mail","Royal Mail - United Kingdom"
