"id","abb","taxrate","taxship","usecon","usedel","country","sortorder","region"
"Aberdeenshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Alabama","AL","4.000","0","1","1","United States","100","OTHER"
"Alaska","AK","0.000","0","1","1","United States","100","OTHER"
"Alberta","AB","0.000","0","1","1","Canada","200","OTHER"
"Anglesey","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Angus","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Argyll","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Argyll and Bute","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Arizona","AZ","5.000","0","1","1","United States","100","OTHER"
"Arkansas","AR","4.625","0","1","1","United States","100","OTHER"
"Armed Forces Africa","AE","0.000","0","1","1","","300","OTHER"
"Armed Forces Americas","AA","0.000","0","1","1","","300","OTHER"
"Armed Forces Canada","AE","0.000","0","1","1","","300","OTHER"
"Armed Forces Europe","AE","0.000","0","1","1","","300","OTHER"
"Armed Forces Middle East","AE","0.000","0","1","1","","300","OTHER"
"Armed Forces Pacific","AP","0.000","0","1","1","","300","OTHER"
"Ayrshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Banffshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Bedfordshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Berkshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Berwickshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Bristol","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"British Columbia","BC","0.000","0","1","1","Canada","200","OTHER"
"Buckinghamshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Caerdydd","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Caernarfonshire and Merionethshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Caithness","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"California","CA","7.250","0","1","1","United States","100","OTHER"
"Cambridgeshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Cardiff","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Carmarthenshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Ceredigion","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Cheshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Clackmannanshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Clwyd","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Colorado","CO","3.000","0","1","1","United States","100","OTHER"
"Connecticut","CT","6.000","0","1","1","United States","100","OTHER"
"Cornwall","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"County Antrim","XX","0.000","0","1","1","UK - Northern Ireland","400","EU"
"County Armagh","XX","0.000","0","1","1","UK - Northern Ireland","400","EU"
"County Down","XX","0.000","0","1","1","UK - Northern Ireland","400","EU"
"County Durham","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"County Fermanagh","XX","0.000","0","1","1","UK - Northern Ireland","400","EU"
"County Londonderry","XX","0.000","0","1","1","UK - Northern Ireland","400","EU"
"County Tyrone","XX","0.000","0","1","1","UK - Northern Ireland","400","EU"
"Cumbria","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Delaware","DE","0.000","0","1","1","United States","100","OTHER"
"Denbighshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Derbyshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Devon","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"District of Columbia","DC","5.750","0","1","1","United States","100","OTHER"
"Dorset","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Dumfries and Galloway","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Dumfriesshire","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Dunbartonshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Durham","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Dyfed","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"East Ayrshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"East Dunbartonshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"East Lothian","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"East Renfrewshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"East Riding of Yorkshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"East Sussex","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"England","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Essex","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Falkirk","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Fife","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Flintshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Florida","FL","6.000","0","1","1","United States","100","OTHER"
"Georgia","GA","4.000","0","1","1","United States","100","OTHER"
"Gloucestershire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Greater Manchester","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Gwent","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Gwynedd","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Hampshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Hawaii","HI","0.000","0","1","1","United States","100","OTHER"
"Herefordshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Hertfordshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Highland","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Idaho","ID","5.000","0","1","1","United States","100","OTHER"
"Illinois","IL","6.250","0","1","1","United States","100","OTHER"
"Indiana","IN","5.000","0","1","1","United States","100","OTHER"
"Inverclyde","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Inverness-shire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Iowa","IA","5.000","0","1","1","United States","100","OTHER"
"Isle of Anglesey","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Isle of Arran","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Barra","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Benbecula","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Bute","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Canna","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Coll","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Colonsay","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Cumbrae","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Eigg","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Gigha","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Harris","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Iona","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Islay","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Jura","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Lewis","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Mull","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of North Uist","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Rum","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Scalpay","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Skye","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of South Uist","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Tiree","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Isle of Wight","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Isles of Scilly","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Kansas","KS","4.900","0","1","1","United States","100","OTHER"
"Kent","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Kentucky","KY","6.000","0","1","1","United States","100","OTHER"
"Kincardineshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Kinross-shire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Kirkcudbrightshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Lanarkshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Lancashire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Leicestershire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Lincolnshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"London","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Louisiana","LA","4.000","0","1","1","United States","100","OTHER"
"Maine","ME","5.500","0","1","1","United States","100","OTHER"
"Manitoba","MB","0.000","0","1","1","Canada","200","OTHER"
"Maryland","MD","6.000","0","1","1","United States","100","OTHER"
"Massachusetts","MA","5.000","0","1","1","United States","100","OTHER"
"Merseyside","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Michigan","MI","6.000","0","1","1","United States","100","OTHER"
"Mid Glamorgan","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Mid Lothian","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Middlesex","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Minnesota","MN","6.000","0","1","1","United States","100","OTHER"
"Mississippi","MS","7.000","0","1","1","United States","100","OTHER"
"Missouri","MO","4.225","0","1","1","United States","100","OTHER"
"Monmouthshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Montana","MT","0.000","0","1","1","United States","100","OTHER"
"Moray","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Morayshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Nairnshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Nebraska","NE","4.500","0","1","1","United States","100","OTHER"
"Nevada","NV","4.250","0","1","1","United States","100","OTHER"
"New Brunswick","NB","0.000","0","1","1","Canada","200","OTHER"
"New Hampshire","NH","0.000","0","1","1","United States","100","OTHER"
"New Jersey","NJ","6.000","0","1","1","United States","100","OTHER"
"New Mexico","NM","5.000","0","1","1","United States","100","OTHER"
"New York","NY","4.000","0","1","1","United States","100","OTHER"
"Newfoundland and Labrador","NL","0.000","0.000","1","1","Canada","200","OTHER"
"Norfolk","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"North Ayrshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"North Carolina","NC","6.750","0","1","1","United States","100","OTHER"
"North Dakota","ND","5.000","0","1","1","United States","100","OTHER"
