"id","type","name","hitcount"
"DAYLEVEL.2017-01-17","DAYLEVEL","2017-01-17","16"
"DAYLEVEL.2017-01-27","DAYLEVEL","2017-01-27","4"
"DAYLEVEL.2017-01-28","DAYLEVEL","2017-01-28","527"
"DAYLEVEL.2017-01-29","DAYLEVEL","2017-01-29","221"
"DAYLEVEL.2017-01-30","DAYLEVEL","2017-01-30","163"
"DAYLEVEL.2017-01-31","DAYLEVEL","2017-01-31","354"
"DAYLEVEL.2017-02-01","DAYLEVEL","2017-02-01","65"
"DAYLEVEL.2017-02-02","DAYLEVEL","2017-02-02","52"
"DAYLEVEL.2017-02-03","DAYLEVEL","2017-02-03","37"
"DAYLEVEL.2017-02-04","DAYLEVEL","2017-02-04","26"
"DAYLEVEL.2017-02-05","DAYLEVEL","2017-02-05","13"
"DAYLEVEL.2017-02-06","DAYLEVEL","2017-02-06","15"
"DAYLEVEL.2017-02-07","DAYLEVEL","2017-02-07","13"
"DAYLEVEL.2017-02-08","DAYLEVEL","2017-02-08","71"
"DAYLEVEL.2017-02-09","DAYLEVEL","2017-02-09","26"
"DAYLEVEL.2017-02-10","DAYLEVEL","2017-02-10","33"
"DAYLEVEL.2017-02-11","DAYLEVEL","2017-02-11","37"
"DAYLEVEL.2017-02-12","DAYLEVEL","2017-02-12","14"
"DAYLEVEL.2017-02-13","DAYLEVEL","2017-02-13","24"
"DAYLEVEL.2017-02-14","DAYLEVEL","2017-02-14","29"
"DAYLEVEL.2017-02-15","DAYLEVEL","2017-02-15","115"
"DAYLEVEL.2017-02-16","DAYLEVEL","2017-02-16","23"
"DAYLEVEL.2017-02-17","DAYLEVEL","2017-02-17","17"
"DAYLEVEL.2017-02-18","DAYLEVEL","2017-02-18","27"
"DAYLEVEL.2017-02-19","DAYLEVEL","2017-02-19","38"
"DAYLEVEL.2017-02-20","DAYLEVEL","2017-02-20","27"
"DAYLEVEL.2017-02-21","DAYLEVEL","2017-02-21","5"
"DAYLEVEL.2017-02-22","DAYLEVEL","2017-02-22","38"
"DAYLEVEL.2017-02-23","DAYLEVEL","2017-02-23","244"
"DAYLEVEL.2017-02-24","DAYLEVEL","2017-02-24","67"
"DAYLEVEL.2017-02-25","DAYLEVEL","2017-02-25","81"
"DAYLEVEL.2017-02-26","DAYLEVEL","2017-02-26","72"
"DAYLEVEL.2017-02-27","DAYLEVEL","2017-02-27","74"
"DAYLEVEL.2017-02-28","DAYLEVEL","2017-02-28","57"
"DAYLEVEL.2017-03-01","DAYLEVEL","2017-03-01","224"
"DAYLEVEL.2017-03-02","DAYLEVEL","2017-03-02","306"
"DAYLEVEL.2017-03-03","DAYLEVEL","2017-03-03","195"
"DAYLEVEL.2017-03-04","DAYLEVEL","2017-03-04","197"
"DAYLEVEL.2017-03-05","DAYLEVEL","2017-03-05","181"
"DAYLEVEL.2017-03-06","DAYLEVEL","2017-03-06","183"
"DAYLEVEL.2017-03-07","DAYLEVEL","2017-03-07","312"
"DAYLEVEL.2017-03-08","DAYLEVEL","2017-03-08","346"
"DAYLEVEL.2017-03-09","DAYLEVEL","2017-03-09","147"
"DAYLEVEL.2017-03-10","DAYLEVEL","2017-03-10","134"
"DAYLEVEL.2017-03-11","DAYLEVEL","2017-03-11","299"
"DAYLEVEL.2017-03-12","DAYLEVEL","2017-03-12","348"
"DAYLEVEL.2017-03-13","DAYLEVEL","2017-03-13","292"
"DAYLEVEL.2017-03-14","DAYLEVEL","2017-03-14","179"
"DAYLEVEL.2017-03-15","DAYLEVEL","2017-03-15","357"
"DAYLEVEL.2017-03-16","DAYLEVEL","2017-03-16","865"
"DAYLEVEL.2017-03-17","DAYLEVEL","2017-03-17","3559"
"DAYLEVEL.2017-03-18","DAYLEVEL","2017-03-18","2343"
"DAYLEVEL.2017-03-19","DAYLEVEL","2017-03-19","3157"
"DAYLEVEL.2017-03-20","DAYLEVEL","2017-03-20","5804"
"DAYLEVEL.2017-03-21","DAYLEVEL","2017-03-21","3088"
"DAYLEVEL.2017-03-22","DAYLEVEL","2017-03-22","6232"
"DAYLEVEL.2017-03-23","DAYLEVEL","2017-03-23","4092"
"DAYLEVEL.2017-03-24","DAYLEVEL","2017-03-24","3320"
"DAYLEVEL.2017-03-25","DAYLEVEL","2017-03-25","1698"
"DAYLEVEL.2017-03-26","DAYLEVEL","2017-03-26","1760"
"DAYLEVEL.2017-03-27","DAYLEVEL","2017-03-27","2681"
"DAYLEVEL.2017-03-28","DAYLEVEL","2017-03-28","2133"
"DAYLEVEL.2017-03-29","DAYLEVEL","2017-03-29","1928"
"DAYLEVEL.2017-03-30","DAYLEVEL","2017-03-30","2230"
"DAYLEVEL.2017-03-31","DAYLEVEL","2017-03-31","1951"
"DAYLEVEL.2017-04-01","DAYLEVEL","2017-04-01","1877"
"DAYLEVEL.2017-04-02","DAYLEVEL","2017-04-02","1972"
"DAYLEVEL.2017-04-03","DAYLEVEL","2017-04-03","2336"
"DAYLEVEL.2017-04-04","DAYLEVEL","2017-04-04","2478"
"DAYLEVEL.2017-04-05","DAYLEVEL","2017-04-05","2027"
"DAYLEVEL.2017-04-06","DAYLEVEL","2017-04-06","1975"
"DAYLEVEL.2017-04-07","DAYLEVEL","2017-04-07","2215"
"DAYLEVEL.2017-04-08","DAYLEVEL","2017-04-08","1512"
"DAYLEVEL.2017-04-09","DAYLEVEL","2017-04-09","1643"
"DAYLEVEL.2017-04-10","DAYLEVEL","2017-04-10","2384"
"DAYLEVEL.2017-04-11","DAYLEVEL","2017-04-11","2545"
"DAYLEVEL.2017-04-12","DAYLEVEL","2017-04-12","1848"
"DAYLEVEL.2017-04-13","DAYLEVEL","2017-04-13","2116"
"DAYLEVEL.2017-04-14","DAYLEVEL","2017-04-14","1123"
"DAYLEVEL.2017-04-15","DAYLEVEL","2017-04-15","1006"
"DAYLEVEL.2017-04-16","DAYLEVEL","2017-04-16","1096"
"DAYLEVEL.2017-04-17","DAYLEVEL","2017-04-17","1543"
"DAYLEVEL.2017-04-18","DAYLEVEL","2017-04-18","1710"
"DAYLEVEL.2017-04-19","DAYLEVEL","2017-04-19","1713"
"DAYLEVEL.2017-04-20","DAYLEVEL","2017-04-20","2762"
"DAYLEVEL.2017-04-21","DAYLEVEL","2017-04-21","1597"
"DAYLEVEL.2017-04-22","DAYLEVEL","2017-04-22","1489"
"DAYLEVEL.2017-04-23","DAYLEVEL","2017-04-23","1191"
"DAYLEVEL.2017-04-24","DAYLEVEL","2017-04-24","1817"
"DAYLEVEL.2017-04-25","DAYLEVEL","2017-04-25","1986"
"DAYLEVEL.2017-04-26","DAYLEVEL","2017-04-26","2665"
"DAYLEVEL.2017-04-27","DAYLEVEL","2017-04-27","1620"
"DAYLEVEL.2017-04-28","DAYLEVEL","2017-04-28","1536"
"DAYLEVEL.2017-04-29","DAYLEVEL","2017-04-29","1197"
"DAYLEVEL.2017-04-30","DAYLEVEL","2017-04-30","1080"
"DAYLEVEL.2017-05-01","DAYLEVEL","2017-05-01","1068"
"DAYLEVEL.2017-05-02","DAYLEVEL","2017-05-02","2569"
"DAYLEVEL.2017-05-03","DAYLEVEL","2017-05-03","1479"
"DAYLEVEL.2017-05-04","DAYLEVEL","2017-05-04","1787"
"DAYLEVEL.2017-05-05","DAYLEVEL","2017-05-05","1442"
"DAYLEVEL.2017-05-06","DAYLEVEL","2017-05-06","2131"
"DAYLEVEL.2017-05-07","DAYLEVEL","2017-05-07","1404"
"DAYLEVEL.2017-05-08","DAYLEVEL","2017-05-08","1791"
"DAYLEVEL.2017-05-09","DAYLEVEL","2017-05-09","2851"
"DAYLEVEL.2017-05-10","DAYLEVEL","2017-05-10","2010"
"DAYLEVEL.2017-05-11","DAYLEVEL","2017-05-11","1820"
"DAYLEVEL.2017-05-12","DAYLEVEL","2017-05-12","2246"
"DAYLEVEL.2017-05-13","DAYLEVEL","2017-05-13","2223"
"DAYLEVEL.2017-05-14","DAYLEVEL","2017-05-14","1190"
"DAYLEVEL.2017-05-15","DAYLEVEL","2017-05-15","2622"
"DAYLEVEL.2017-05-16","DAYLEVEL","2017-05-16","2927"
"DAYLEVEL.2017-05-17","DAYLEVEL","2017-05-17","2086"
"DAYLEVEL.2017-05-18","DAYLEVEL","2017-05-18","1912"
"DAYLEVEL.2017-05-19","DAYLEVEL","2017-05-19","1864"
"DAYLEVEL.2017-05-20","DAYLEVEL","2017-05-20","1756"
"DAYLEVEL.2017-05-21","DAYLEVEL","2017-05-21","2348"
"DAYLEVEL.2017-05-22","DAYLEVEL","2017-05-22","2190"
"DAYLEVEL.2017-05-23","DAYLEVEL","2017-05-23","1932"
"DAYLEVEL.2017-05-24","DAYLEVEL","2017-05-24","2088"
"DAYLEVEL.2017-05-25","DAYLEVEL","2017-05-25","1847"
"DAYLEVEL.2017-05-26","DAYLEVEL","2017-05-26","1703"
"DAYLEVEL.2017-05-27","DAYLEVEL","2017-05-27","1274"
"DAYLEVEL.2017-05-28","DAYLEVEL","2017-05-28","1678"
"DAYLEVEL.2017-05-29","DAYLEVEL","2017-05-29","1544"
"DAYLEVEL.2017-05-30","DAYLEVEL","2017-05-30","1688"
"DAYLEVEL.2017-05-31","DAYLEVEL","2017-05-31","1935"
"DAYLEVEL.2017-06-01","DAYLEVEL","2017-06-01","1509"
