"tid","towner","tname","tdrop","tinsert","tupdate","tdelete","tdisplay","torderby","tprimkey","tautoinc","tdescription","thasapp"
"cms_banneradverts","SYSTEM","Banner Advert","0","1","1","1","id, name","bannergroup ASC, sortorder ASC","id","0","This table holds information on banner advert items.","0"
"cms_bannermain","SYSTEM","Main Banners","0","1","1","1","id, name","bannergroup ASC, sortorder ASC","id","0","This table holds information on main banners.","0"
"cms_dynformfields","SYSTEM","Form Fields","0","1","1","1","formid, name","formid ASC, section ASC, fieldorder ASC","id","0","This table holds information on form fields for use in dynamic forms.","0"
"cms_dynforms","SYSTEM","Dynamic Forms","0","1","1","1","name","id ASC","id","0","This table holds information on dynamic user-created XHTML forms.","0"
"cms_html","SYSTEM","Web Pages","0","1","1","1","id, dispname","menuorder ASC","id","0","This table holds information on CMS-controlled webpages.","0"
"cms_xmodarticles","SYSTEM","Articles","0","1","1","1","id, dispname","createdate DESC","id","0","This table holds information on articles.","0"
"cms_xmodarticlescat","SYSTEM","Article Categories","0","1","1","1","id, name","sortorder ASC","id","0","This table holds information on article categories.","0"
"core_affpay","SYSTEM","Affiliate Commission Payments","0","0","1","1","id","id DESC","id","0","This table holds affiliate commission payments.","0"
"core_altrdbms","SYSTEM","Alternate Database Connections","0","0","0","1","id","id ASC","id","0","This table holds alternate database connection inforamtion.","0"
"core_apps","SYSTEM","Components","0","0","0","0","id","id ASC","id","0","This table holds information on installed components.","0"
"core_columndefs","SYSTEM","Table Column Definitions","0","0","0","0","cid","cid ASC","cid","0","This table holds information on database table columns to aid in management interface displays.","0"
"core_country","SYSTEM","Countries","0","1","1","1","id","sortorder ASC, id ASC","id","0","This table holds country information.","0"
"core_dbguided","SYSTEM","Guided Database Rules","0","0","0","0","type","id DESC","id","0","This table holds guided database rules for tables and namespaces.","0"
"core_emaillist","SYSTEM","Marketing Email List","0","1","1","1","id","id ASC","id","0","This table holds marketing email list subscriptions.","0"
"core_formfields","SYSTEM","Form Fields","0","0","0","0","app, form","app ASC, form ASC, section ASC, fieldorder ASC","id","0","This table holds information on form fields for use by the software.","1"
"core_forms","SYSTEM","Forms","0","0","0","0","app, name","app ASC, name ASC","id","0","This table holds information on XHTML forms used by the software.","1"
"core_groups","SYSTEM","User Groups","0","1","1","1","id,name","id ASC","id","0","This table holds user account groups.","0"
"core_guests","SYSTEM","Guest Accounts","0","0","0","0","id,lname","id ASC","id","0","This table holds guest accounts.","0"
"core_mail","SYSTEM","Mail Messages","0","0","1","0","app, name","app ASC, name ASC","id","0","This table holds information on mailed messages used by the core and components.","1"
