"id","itemnum","itemname","itemtype","acctsysprice","acctsysincome","acctsyspri","acctsysalt","acctsysprimod","acctsysaltmod"
"ItemGeneric","ITEMGEN","Generic Item","Accounting Other Charge","0.00","income-other","","","0","0"
"ItemManagementFee","FEEMANAGE","Management Fee","Accounting Other Charge","0.00","income-other","","","0","0"
"ItemNote","ITEMNOTE","Item Note","Accounting Other Charge","0.00","income-other","","","0","0"
"ItemRestockFee","FEERESTOCK","Restocking Fee","Accounting Other Charge","0.00","income-other","","","0","0"
"ItemShippingFee","FEESHIP","Shipping Fee","Accounting Other Charge","0.00","income-shipping","","","0","0"
"ItemWriteOff","ITEMGENWO","Write Off","Accounting Other Charge","0.00","income-other","","","0","0"
"OrderCountryTax","ORDCTAX","Country Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxAustria","ORDCTAXAT","Austria Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxAustriaWriteOff","ORDCTAXATWO","Austria Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxBelgium","ORDCTAXBE","Belgium Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxBelgiumWriteOff","ORDCTAXBEWO","Belgium Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxBrazil","ORDCTAXBR","Brazil Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxBrazilWriteOff","ORDCTAXBRWO","Brazil Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxBulgaria","ORDCTAXBG","Bulgaria Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxBulgariaWriteOff","ORDCTAXBGWO","Bulgaria Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxCroatia","ORDCTAXHR","Croatia Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxCroatiaWriteOff","ORDCTAXHRWO","Croatia Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxCyprus","ORDCTAXCY","Cyprus Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxCyprusWriteOff","ORDCTAXCYWO","Cyprus Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxCzechRepublic","ORDCTAXCZ","Czech Republic Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxCzechRepublicWriteOff","ORDCTAXCZWO","Czech Republic Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxDenmark","ORDCTAXDK","Denmark Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxDenmarkWriteOff","ORDCTAXDKWO","Denmark Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxEstonia","ORDCTAXEE","Estonia Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxEstoniaWriteOff","ORDCTAXEEWO","Estonia Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxFinland","ORDCTAXFI","Finland Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxFinlandWriteOff","ORDCTAXFIWO","Finland Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxFrance","ORDCTAXFR","France Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxFranceWriteOff","ORDCTAXFRWO","France Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxGermany","ORDCTAXDE","Germany Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxGermanyWriteOff","ORDCTAXDEWO","Germany Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxGreece","ORDCTAXGR","Greece Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxGreeceWriteOff","ORDCTAXGRWO","Greece Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxHungary","ORDCTAXHU","Hungary Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxHungaryWriteOff","ORDCTAXHUWO","Hungary Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxIreland","ORDCTAXIE","Ireland Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxIrelandWriteOff","ORDCTAXIEWO","Ireland Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxItaly","ORDCTAXIT","Italy Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxItalyWriteOff","ORDCTAXITWO","Italy Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxJapan","ORDCTAXJP","Japan Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxJapanWriteOff","ORDCTAXJPWO","Japan Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxLatvia","ORDCTAXLV","Latvia Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxLatviaWriteOff","ORDCTAXLVWO","Latvia Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxLithuania","ORDCTAXLT","Lithuania Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxLithuaniaWriteOff","ORDCTAXLTWO","Lithuania Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxLuxembourg","ORDCTAXLU","Luxembourg Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxLuxembourgWriteOff","ORDCTAXLUWO","Luxembourg Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxMalta","ORDCTAXMT","Malta Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxMaltaWriteOff","ORDCTAXMTWO","Malta Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxMonaco","ORDCTAXMC","Monaco Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxMonacoWriteOff","ORDCTAXMCWO","Monaco Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxNetherlands","ORDCTAXNL","Netherlands Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxNetherlandsWriteOff","ORDCTAXNLWO","Netherlands Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxPoland","ORDCTAXPL","Poland Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxPolandWriteOff","ORDCTAXPLWO","Poland Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxPortugal","ORDCTAXPT","Portugal Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxPortugalWriteOff","ORDCTAXPTWO","Portugal Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxRomania","ORDCTAXRO","Romania Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxRomaniaWriteOff","ORDCTAXROWO","Romania Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSingapore","ORDCTAXSG","Singapore Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSingaporeWriteOff","ORDCTAXSGWO","Singapore Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSlovakia","ORDCTAXSK","Slovakia Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSlovakiaWriteOff","ORDCTAXSKWO","Slovakia Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSlovenia","ORDCTAXSI","Slovenia Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSloveniaWriteOff","ORDCTAXSIWO","Slovenia Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSpain","ORDCTAXES","Spain Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSpainWriteOff","ORDCTAXESWO","Spain Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSweden","ORDCTAXSE","Sweden Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxSwedenWriteOff","ORDCTAXSEWO","Sweden Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKEnglandWales","ORDCTAXGB","UK - England & Wales Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKEnglandWalesWriteOff","ORDCTAXGBWO","UK - England & Wales Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKHighlandsIslandsScotland","ORDCTAXGB","UK - Highlands & Islands Scotland Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKHighlandsIslandsScotlandWriteOff","ORDCTAXGBWO","UK - Highlands & Islands Scotland Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKIsleofMan","ORDCTAXGB","UK - Isle of Man Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKIsleofManWriteOff","ORDCTAXGBWO","UK - Isle of Man Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKNorthernIreland","ORDCTAXGB","UK - Northern Ireland Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKNorthernIrelandWriteOff","ORDCTAXGBWO","UK - Northern Ireland Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKScotlandMainland","ORDCTAXGB","UK - Scotland Mainland Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUKScotlandMainlandWriteOff","ORDCTAXGBWO","UK - Scotland Mainland Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUnitedKingdom","ORDCTAXGB","United Kingdom Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUnitedKingdomWriteOff","ORDCTAXGBWO","United Kingdom Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUnitedStates","ORDCTAXUS","United States Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxUnitedStatesWriteOff","ORDCTAXUSWO","United States Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCountryTaxWriteOff","ORDCTAXWO","Country Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderCustomSale","ORDSALE","Sale","Accounting Discount","0.00","income-custsale","","","0","0"
"OrderCustomSurcharge","ORDSURCH","Surcharge","Accounting Other Charge","0.00","income-custsurcharge","","","0","0"
"OrderCustomSurchargeWriteOff","ORDSURCHWO","Surcharge Write Off","Accounting Other Charge","0.00","income-other","","","0","0"
"OrderDelivery","ORDDEL","Delivery","Accounting Other Charge","0.00","income-shipping","","","0","0"
"OrderDeliveryWriteOff","ORDDELWO","Delivery Write Off","Accounting Other Charge","0.00","income-other","","","0","0"
"OrderDiscount","ORDDISC","Discount","Accounting Discount","0.00","income-discount","","","0","0"
"OrderGiftCertificate","ORDGIFTCERT","Gift Certificate","Accounting Discount","0.00","income-giftcert","","","0","0"
"OrderLoyaltyPoints","ORDPOINTS","Loyalty Points","Accounting Discount","0.00","income-loyalty","","","0","0"
"OrderNegativeAdjustment","ORDNEGADJ","Negative Order Adjustment","Accounting Discount","0.00","income-ordadjneg","","","0","0"
"OrderPositiveAdjustment","ORDPOSADJ","Positive Order Adjustment","Accounting Other Charge","0.00","income-ordadjpos","","","0","0"
"OrderPositiveAdjustmentWriteOff","ORDPOSADJWO","Positive Order Adjustment Write Off","Accounting Other Charge","0.00","income-other","","","0","0"
"OrderRebate","ORDREBATE","Rebate","Accounting Discount","0.00","income-rebate","","","0","0"
"OrderStateProvinceTax","ORDSTAX","State/Province Tax","Accounting Tax","0.00","income-other","","","0","0"
"OrderStateProvinceTaxWriteOff","ORDSTAXWO","State/Province Tax Write Off","Accounting Tax","0.00","income-other","","","0","0"
"OrderTrackingNumbers","TRACKING","Tracking Numbers","Accounting Other Charge","0.00","income-other","","","0","0"
