"id","dispname","accttype","acctnamepri","acctnamealt"
"accountspayable-default","Accounts Payable","Accounts Payable","Accounts Payable","Accounts Payable"
"accountsreceivable-default","Accounts Receivable","Accounts Receivable","Accounts Receivable","Accounts Receivable"
"asset-inventory","Inventory","Asset","Inventory Asset","Inventory Asset"
"asset-undepositedfunds","Undeposited Funds","Asset","Undeposited Funds","Undeposited Funds"
"bank-default","Default Bank Account","Bank","Bank Account","Bank Account"
"cogs-default","Cost of Goods Sold","Cost of Goods Sold","Cost of Goods Sold","Cost of Goods Sold"
"income-custsale","Custom Sale Income","Income","Sale Income","Sale Income"
"income-custsurcharge","Custom Surcharge Income","Income","Surcharge Income","Surcharge Income"
"income-discount","Discount Income","Income","Other Income","Other Income"
"income-giftcert","Gift Certificate Income","Income","Gift Certificate Income","Gift Certificate Income"
"income-invitem","Inventory Item Income","Income","Item Sales","Item Sales"
"income-loyalty","Loyalty Points Income","Income","Other Income","Other Income"
"income-ordadjneg","Negative Adjustment Income","Income","Other Income","Other Income"
"income-ordadjpos","Positive Adjustment Income","Income","Other Income","Other Income"
"income-other","Other Income","Income","Other Income","Other Income"
"income-overpayment","Overpayment Income","Income","Overpayment Income","Overpayment Income"
"income-rebate","Rebate Income","Income","Rebate Income","Rebate Income"
"income-service","Service Income","Income","Service Sales","Service Sales"
"income-shipping","Delivery Income","Income","Shipping Income","Shipping Income"
