"id","dispname","paytarget","acctnamepri","acctnamealt"
"CASH","Cash Payment","asset-undepositedfunds","Cash","Cash"
"CHANNELAMAZON","Amazon Payment","asset-undepositedfunds","Other","Other"
"CHANNELEBAY","eBay Payment","asset-undepositedfunds","Other","Other"
"CHECK","Check","asset-undepositedfunds","Check","Check"
"CREDITCARD","Credit Card Payment","asset-undepositedfunds","Other","Other"
"CREDITCARDAMEX","American Express Credit Card Payment","asset-undepositedfunds","Other","Other"
"CREDITCARDDISCOVER","Discover Credit Card Payment","asset-undepositedfunds","Other","Other"
"CREDITCARDMASTERCARD","MasterCard Credit Card Payment","asset-undepositedfunds","Other","Other"
"CREDITCARDVISA","Visa Credit Card Payment","asset-undepositedfunds","Other","Other"
"OTHER","Other Payment Type","asset-undepositedfunds","Other","Other"
"PAYPAL","PayPal","asset-undepositedfunds","Other","Other"
