"id","acctnamepri","acctnamealt"
"FedEx 1 Day Freight","Federal Express","Federal Express"
"FedEx 2 Day","Federal Express","Federal Express"
"FedEx 2 Day AM","Federal Express","Federal Express"
"FedEx 2 Day Freight","Federal Express","Federal Express"
"FedEx 3 Day Freight","Federal Express","Federal Express"
"FedEx Europe First International Priority","Federal Express","Federal Express"
"FedEx Express Saver","Federal Express","Federal Express"
"FedEx First Freight","Federal Express","Federal Express"
"FedEx First Overnight","Federal Express","Federal Express"
"FedEx Freight","Federal Express","Federal Express"
"FedEx Freight Economy","Federal Express","Federal Express"
"FedEx Freight Priority","Federal Express","Federal Express"
"FedEx Ground or FedEx Home Delivery","Federal Express","Federal Express"
"FedEx Ground or Home Delivery","Federal Express","Federal Express"
"FedEx Ground Service","Federal Express","Federal Express"
"FedEx Home Delivery","Federal Express","Federal Express"
"FedEx International Economy","Federal Express","Federal Express"
"FedEx International Economy Freight","Federal Express","Federal Express"
"FedEx International First","Federal Express","Federal Express"
"FedEx International Priority","Federal Express","Federal Express"
"FedEx International Priority Freight","Federal Express","Federal Express"
"FedEx Priority Overnight","Federal Express","Federal Express"
"FedEx Smart Post","Federal Express","Federal Express"
"FedEx Standard Overnight","Federal Express","Federal Express"
"First-Class Package Service - Commercial","US Mail","US Mail"
"First-Class Package Service - Retail","US Mail","US Mail"
"UPS 2nd Day Air","UPS","UPS"
"UPS 2nd Day Air A.M.","UPS","UPS"
"UPS 3 Day Select","UPS","UPS"
"UPS Expedited","UPS","UPS"
"UPS Express","UPS","UPS"
"UPS Express Early A.M.","UPS","UPS"
"UPS Express NA1","UPS","UPS"
"UPS Express Plus","UPS","UPS"
"UPS Express Saver","UPS","UPS"
"UPS Freight","UPS","UPS"
"UPS Ground","UPS","UPS"
"UPS Next Day Air","UPS","UPS"
"UPS Next Day Air Early A.M.","UPS","UPS"
"UPS Next Day Air Saver","UPS","UPS"
"UPS Standard To Canada","UPS","UPS"
"UPS Worldwide Expedited","UPS","UPS"
"UPS Worldwide Express","UPS","UPS"
"UPS Worldwide Express Plus","UPS","UPS"
"USPS First-Class Mail International Large Envelope","US Mail","US Mail"
"USPS First-Class Mail Large Envelope","US Mail","US Mail"
"USPS First-Class Package International Service","US Mail","US Mail"
"USPS Global Express Guaranteed","US Mail","US Mail"
"USPS Global Express Guaranteed Non-Document Non-Rectangular","US Mail","US Mail"
"USPS Global Express Guaranteed Non-Document Rectangular","US Mail","US Mail"
"USPS Library Mail Parcel","US Mail","US Mail"
"USPS Media Mail Parcel","US Mail","US Mail"
"USPS Priority Mail 1-Day","US Mail","US Mail"
"USPS Priority Mail 2-Day","US Mail","US Mail"
"USPS Priority Mail 2-Day Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail 2-Day Gift Card Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail 2-Day Large Flat Rate Box","US Mail","US Mail"
"USPS Priority Mail 2-Day Legal Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail 2-Day Medium Flat Rate Box","US Mail","US Mail"
"USPS Priority Mail 2-Day Padded Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail 2-Day Small Flat Rate Box","US Mail","US Mail"
"USPS Priority Mail 2-Day Small Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail 2-Day Window Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail 3-Day","US Mail","US Mail"
"USPS Priority Mail DPO","US Mail","US Mail"
"USPS Priority Mail Express 1-Day","US Mail","US Mail"
"USPS Priority Mail Express 1-Day Flat Rate Boxes","US Mail","US Mail"
"USPS Priority Mail Express 1-Day Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail Express 1-Day Legal Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail Express 1-Day Padded Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail Express 2-Day","US Mail","US Mail"
"USPS Priority Mail Express International","US Mail","US Mail"
"USPS Priority Mail Express International Flat Rate Boxes","US Mail","US Mail"
"USPS Priority Mail Express International Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail Express International Legal Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail Express International Padded Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail International","US Mail","US Mail"
"USPS Priority Mail International DVD Flat Rate priced box","US Mail","US Mail"
"USPS Priority Mail International Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail International Gift Card Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail International Large Flat Rate Box","US Mail","US Mail"
"USPS Priority Mail International Large Video Flat Rate priced box","US Mail","US Mail"
"USPS Priority Mail International Legal Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail International Medium Flat Rate Box","US Mail","US Mail"
"USPS Priority Mail International Padded Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail International Small Flat Rate Box","US Mail","US Mail"
"USPS Priority Mail International Small Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail International Window Flat Rate Envelope","US Mail","US Mail"
"USPS Priority Mail Military","US Mail","US Mail"
"USPS Standard Post","US Mail","US Mail"
"USPS USPS GXG Envelopes","US Mail","US Mail"
