"id","name","catimg","description","splashdisp","bannergroup","sortorder","manussortorder","xmultisite","multisitedesconelimit","multisitedescone","multisitedesctwolimit","multisitedesctwo","subdisp","cathighlights","videourl","catparent","xcat","xsortorder","specname","speccatimg","specdescription","specbannergroup","catview","catviewg","nofilter","seourl","seoexact","keywords","metatitle","metadesc","descshort","multisitedescshortone","multisitedescshorttwo","addldisp","addlheader","footdisplay","addlcat","addlsortorder","specdescshort","tabonename","tabonecontent","tabtwoname","tabtwocontent","tabthreename","tabthreecontent","tabfourname","tabfourcontent","featgridaccorddo","featgridaccordname"
"1425_W15BO","ASLAN Blockout Films","W15_Blockout_Cat.jpg","<html>

<head>
<title>ASLAN BLOCKOUT FILMS</title>
</head>
<body>
<img style=""height: 50px; width: 236px;"" alt=""Aslan logo""
src=""media/ecom/onpagegraphics/ASLAN_Logo_New.png""><br><br>

<p>ASLAN blockout self adhesive films are available in white or black and offer complete opacity making them ideal for use in combination with translucent or transparent coloured films for the creative design of lightboxes.</p>


<span style=""font-weight: bold; color: #d7328a;"">Product Highlights:</span><br>
<ul><li>Block out film is 100% opaque</li>
<li>Available with white face film and black adhesive or black face film with white adhesive</li>
<li>Outdoor durability minimum of 3 years</li>
<li>Double layer quality</li></ul>


<span style=""font-weight: bold; color: #d7328a;"">Typical Applications:</span><br>
<ul><li>Perfect for creative design of lightboxes</li>
<li>Ideal for blockout applications</li></ul>

<p>Some materials are specially formulated to give the best possible results using these inks<br>(Printable materials show the following icons where applicable)<br>
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""Eco-Sol Ink""
src=""media/ecom/onpagegraphics/Ink-EcoSol.png"">Eco-solvent &nbsp;&nbsp;
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""Sol Ink""
src=""media/ecom/onpagegraphics/Ink-Sol.png"">Solvent &nbsp;&nbsp;
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""Latex""
src=""media/ecom/onpagegraphics/Ink-Latex.png"">Latex &nbsp;&nbsp;
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""UV Ink""
src=""media/ecom/onpagegraphics/Ink-UV.png"">UV</p>

</body>
</html>","0","","120","0","DEFAULT","","","","","DEFAULT","","","Translucent_Backlit","","0","","","","","A","","0","ASLAN-W15-Blockout-Film","0","","","","ASLAN Blockout self adhesive films are available in white or black and offer complete opacity making them ideal for use in combination with translucent or
transparent coloured films for the creative design of lightboxes.","","","DEFAULT","","","","0","","","","","","","","","","0","."
"1440_D160T","ASLAN Translucent Films","Aslan_Diffuser_Cat.jpg","<html>

<head>
<title>ASLAN Translucent Films</title>
</head>
<body>
<img style=""height: 50px; width: 236px;"" alt=""Aslan logo""
src=""media/ecom/onpagegraphics/ASLAN_Logo_New.png""><br><br>

<p>ASLAN translucent films are highly translucent white film used mainly on light boxes and
illuminated signs. They allows the light to be spread evenly across the
whole of the sign</p>


<span style=""font-weight: bold; color: #d7328a;"">Product Highlights:</span><br>
<ul><li>Diffusion film with specific pigmentation for optimal light scattering</li>
<li>Ensures a smooth and uniform appearance of the lightbox</li>
<li>Outdoor durability minimum of 7 years</li>
<li>46% light translucency assures ideal diffusion of light</ul></li>


<span style=""font-weight: bold; color: #d7328a;"">Typical Applications:</span><br>
<ul><li>Perfect for producing shallow light boxes</li>
<li>Ideal for backlit signs that requires even light distribution</li></ul>


<p>Some materials are specially formulated to give the best possible results using these inks<br>(Printable materials show the following icons where applicable)<br>
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""Eco-Sol Ink""
src=""media/ecom/onpagegraphics/Ink-EcoSol.png"">Eco-solvent &nbsp;&nbsp;
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""Sol Ink""
src=""media/ecom/onpagegraphics/Ink-Sol.png"">Solvent &nbsp;&nbsp;
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""Latex""
src=""media/ecom/onpagegraphics/Ink-Latex.png"">Latex &nbsp;&nbsp;
<img style=""margin: 0px 5px 0px 0px; width: 22px; height: 37px;"" alt=""UV Ink""
src=""media/ecom/onpagegraphics/Ink-UV.png"">UV</p>

</body>

</html>","0","","118","0","DEFAULT","","","","","DEFAULT","","","Translucent_Backlit","","0","","","","","A","","0","ASLAN-Translucent-Films","0","lightbox, backlit, opaque, blockout, translucent","","","ASLAN translucent films are highly translucent white films used mainly on light boxes and
illuminated signs. They allows the light to be spread evenly across the
whole of the sign.","","","DEFAULT","","","","0","","","","","","","","","","0","."
"1705_BanVinyls_RIF800","Ri-Flex 800 Banner Vinyl","Banner_Cat.jpg","<html>
<head>
<title>Ri Flex Banner Vinyl</title>
<body>
<p>A supple 80 micron semi-polymeric vinyl white a semi gloss finish specifically designed for use on banners and other flexible surfaces</p>
<p><a href=""media/ecom/pdfs/datasheets/Ritrama_RF800.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""pdf""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></p>
</body>
</html>

","0","","210","0","DEFAULT","","","","","DEFAULT","","","Coloured-Sign-Vinyl","","0","","","","","N","","0","Ritrama-Banner-Vinyl","0","banner vinyl,banner, rf800, ri flex, riflex, ri-flex

","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"2525_SCNRF","Automotive Window Tint Films","Automotive_Tint.jpg","<html>
<body>

<title><head>Automotive Window Tint Films</title></head>

<p>Our Charcoal tint automotive films are non-reflective films that reduces glare and costly UV damage to your vehicles interior.</p>

<p>These auto-tint films can reject up to 50% of the suns total energy, acting as a sunscreen and helping protect passengers from the damaging effects of ultra violet.</p>

<p>People don't usually associate automotive window film with increased safety, but today's vehicles use tempered glass in the side and rear windows. An accident or a blow from a heavy object can cause these windows to shatter into hundreds of tiny sharp pieces of glass. Although automotive films are not sold as safety films, they can help hold broken glass together.</p>

<ul><li>Easy fit, heat shrinkable</li>
<li>Non fading dyed film</li>
<li>Reduction of effects from UV</li>
<li>Increase vehicle security</li></ul>

<a ><img
style=""border: 0px solid ; width: 50px; height: 50px;"" alt=""fyi""
src=""media/ecom/onpagegraphics/FYI.png""></a>
<p style=""color:rgb(84,84,84)""><b>Can I use an automotive tint film on a building?</b></p>
<p style=""color:rgb(244,7,138)""><i>Unlike Architectural window tint films which are reflective and commonly seen on commercial buildings, Automotive tint films are non-reflective and therefore absorb energy from the sun. This absorption can lead to high levels of heat build up which is not a problem in a moving car but if used on flat glass, this absorption can lead to breakage. We therefore recommend that you check that you are using the correct film for the job.</i></p>
</body>
</html>","0","","40","0","DEFAULT","","","","","DEFAULT","","","Window_Tint","","0","","","","","A","","0","Automotive-Window-Tint-Films","0","limo film,auto tint,window tint,limousine,","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"2540_WindSafe","Window Safety Films","Window_Safety_Films_Cat.jpg","<html>

<title><head>Window Safety Films</title></head>
<body>
<p>We recommend these film to councils, government & schooling bodies including child minders, playgroups, crèches etc to upgrade the existing glass to safety standards. Once applied, this film will upgrade the glass to BS6260 Class B standards.</p>

<p>Designed to greatly reduce the hazards associated with breaking glass caused by vandalism, turbulent weather and forced entry this completely clear film will improve the shatter resistance of glass, holding the pieces firmly in place.</p>

<p>The film forms an almost invisible shield that holds glass shards intact when a pane breaks. These various levels of protection are available to address different hazard levels.</p>
<ul><li>Upgrade standard glazing</li>
<li>Protection from broken glass</li>
<li>Increase glazing security</li></ul>
</body>
</html>



","0","","20","0","DEFAULT","","","","","DEFAULT","","","Window_Tint","","0","","","","","A","","0","Window-Safety-Film","0","window safety film,anti shatter film, ","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"2543_WindSolar","Solar Protection Window Films","Window_Solar_Films_Cat.jpg","<html>

<title><head>Solar Protection Window Films</head></title>

<body>

<p>Reflective window films provide excellent ‘One Way Vision"" in daylight to stop those prying eyes. These films are the ideal choice for commercial buildings if trying to hide an unattractive combination of blinds, curtains and interior furnishings.</p>

<p>Reeded films create privacy by diffusing light and also helps to reject UV rays.</p>

<p>Reflective films also provide exceptional heat rejection, which in turn reduces the cost of air conditioning.</p>

<p style=""color:#336699""><b><i>Note:</b> Because the Solar Silver film work by reflecting light, it means that they have the reverse effect when it is dark at night or on a late afternoon in the winter.  For the same reason this film is not recommended if you are trying to achieve privacy between two internal rooms.</i></p>

<ul><li>Reduce unwanted glare</li>
<li>Increase daytime privacy</li>
<li>Reduce solar heat gain</li></ul>
</body>
</html>","0","","10","0","DEFAULT","","","","","DEFAULT","","","Window_Tint","","0","","","","","A","","0","Solar-Protection-Window-Films","0","silver window film,one-way vision,one-way film,one way film,one way vision,","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"3225_DF465","Doro-Fix 465 :: PET Tape","465.png","<html>
<title><head>Doro-Fix 465</head></title>
<body>
<p>Doro-Fix 465 is a high-performance high tack clear double-sided tape.</p>
<p>Features an aggresive solvent acrylic adhesive, offering a high level of UV and water resistance.</p>
<p>The clear PET carrier gives a high degree of transparency.</p>
<p>Distinctive red MOPP release liner removes cleanly without snagging and is easy to distinguish from other tapes.</p>
<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>The UV, plasticiser and water resistant adhesive makes it a great choice for hemming banners</li>
<li>High coat weight means this tape bonds quickly to flat porous and fibrous surfaces</li>
<li>Does not tear or fracture under stress</li>
<li>Perfect for signs, nameplates and industrial components and extrusion made of plastics and rubber</li>
<li>Only 220 micron so perfect where a flush finish is required</li>
<li>Alternative to Tesa 4965</li></ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br>
<ul>
<a href=""media/ecom/pdfs/datasheets/Doro-Fix-465.pdf"" target=""_blank""><img style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""Doro-Fix 465 Datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></ul>
</body>
<p><b>Prices are per 50m roll</b></p>

</html>
","0","","10","0","DEFAULT","","","","","DEFAULT","","","Double-Sided-Tape","","0","","","","","A","","0","Doro-Fix-465","0","Tesa, Tape, 4965, Banner Hemming Tape, Hemming Tape, Banner Tape, fix, 465, double sided tape, double-sided tape, high tack tape, ","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"3245_DF470","Doro-Fix 470 :: PVC Tape","470.jpg","<html>

<head><title>Doro-Fix 470</head></title>

<body>

<p>Doro-Fix 470 is a high tack white double sided tape with an aggressive solvent based adhesive.</p>
<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>Highly versatile industrial grade double sided tape</li>
<li>Solvent acrylic adhesive offers a high level of UV, plasticiser and weather resistance</li>
<li>Suitable for exterior use on a wide range of applications</li>
<li>Perfect for signs, nameplates and industrial components and extrusion made of plastics and rubber</li>
<li>A popular choice when installing estate agent signs using fluted board</li>
<li>Only 210 micron so ideal where a flush finish is required</li>
<li>Does not tear or fracture under stress</li>
<li>Alternative to Tesa 4970</li></ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br>
<ul><a href=""media/ecom/pdfs/datasheets/Doro-Fix-470.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""Doro Fix 470 datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a><br></ul>
</body>
<p><b>Prices are per 50m roll</b></p>

</html>","0","","20","0","DEFAULT","","","","","DEFAULT","","","Double-Sided-Tape","","0","","","","","A","","0","Doro-Fix-470","0","doro, fix, 470, tesa, 4970, double, sided, double sided, double tape, double sided tape, multi purpose tape, multi-purpose tape, tesa 4970, ","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"3265_DF3900","Doro-Fix 3900 :: Thin PET Tape","3900.jpg","<html>

<title><head>Doro-Fix 3900</head></title>

<body>

<p>Doro-Fix 3900 has a very thin yet very strong polyester carrier and is coated with a high performance solvent acrylic adhesive.</p>
<p>Performs well in temperature extremes -30<sup>o</sup>C to +160<sup>o</sup>C and is suitable for a wide range of applications.</p>
<p>Solvent acrylic adhesion.</p>
<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>Excellent temperature resistance</li>
<li>Does not tear or fracture under stress</li>
<li>High grab for instant adhesion</li>
<li>Ideal for lamination when mounting graphics on to foam board</li>
<li>Super thin at only 80 micron</li>
<li>Heat resistance up to 160<sup>o</sup>C</li></ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br><ul>
<a href=""media/ecom/pdfs/datasheets/Doro-Fix-3900.pdf"" target=""_blank""><img style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""Doro-Fix 3900 Datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></ul>
<p><b>Prices are per 50m roll</b></p>
</body>

</html>","0","","30","0","DEFAULT","","","","","DEFAULT","","","Double-Sided-Tape","","0","","","","","A","","0","Doro-Fix-3900","0","doro, fix, 3900, double sided tape, double-sided, double sided, double-sided tape, high tack tape, hi tack tape, high tack double sided tape, polyester tape, polyester double sided tape, thin tape, thin double sided tape, ","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
"3285_DF420","Doro-Fix 420 :: Tissue Tape","420.png","<html>

<head><title>Doro-Fix 420</head></title>

<body>

<p>An industrial grade multi-purpose tissue tape for interior use with a solvent acrylic adhesive.</p>
<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>Good plasticizer and high temperature resistance</li>
<li>Adheres well to flexible and fibrous surfaces</li>
<li>The excellent level of tack allows adhesion to most substrates</li>
<li>Can be torn by hand</li>
<li>Ideal for use with decals, labels, badges and signs etc</li>
<li>High grade premium PE liner that won't tear when removed</li></ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br><ul>
<a href=""media/ecom/pdfs/datasheets/Doro-Fix-420.pdf"" target=""_blank""><img style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""Doro-Fix 420 Datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></ul><br>
<p><b>Prices shown are per 50m roll</b></p>
</body>


</html>","0","","40","0","DEFAULT","","","","","DEFAULT","","","Double-Sided-Tape","","0","","","","","A","","0","Doro-Fix-420","0","doro, fix, doro fix, dorofix, doro 420, 420, fix 420, doro fix 420, doro-fix, doro-fix 420, double sided tape, doro tape, dorotape, tissue tape, double-sided, double-sided tape, decal tape, label tape, bade tape, sign tape, ","","","","","","DEFAULT","","","","0","","","","","","","","","","0","."
