"id","name","section","description","required","displayfield","type","fieldinclude","fieldorder","list_1","list_2","list_3","list_4","list_5","list_6","list_7","list_8","list_9","list_10","list_11","list_12","list_13","list_14","list_15","list_16","list_17","list_18","list_19","list_20","xmultisite","beonly"
"commentsext","Would you like to add a Purchase Order Number to this order?","Purchase Order Number","<p>This is especially important if you are purchasing 'On Account' to help keep us in-line with your accounts department.</p>","0","1","TEXTBOX-REG","","85","","","","","","","","","","","","","","","","","","","","","DEFAULT","0"
"commentsint","Internal Order Comments","Comments","<p>If there are any internal order comments, enter them below.  These comments will only be viewable on internal order summaries and mail messages.</p>","0","0","TEXTAREA-SMALL","","82","","","","","","","","","","","","","","","","","","","","","","1"
"credit","Credits","Credits","<p>Select any credits available to you which you would like to apply.</p>","0","0","CHECKBOX-CUSTOM","","50","","","","","","","","","","","","","","","","","","","","","","0"
"customeight","Custom Field 8","Other Information","","0","0","TEXTBOX-REG","","160","","","","","","","","","","","","","","","","","","","","","","0"
"customfive","Custom Field 5","Other Information","","0","0","TEXTBOX-REG","","130","","","","","","","","","","","","","","","","","","","","","","0"
"customfour","Custom Field 4","Other Information","","0","0","TEXTBOX-REG","","120","","","","","","","","","","","","","","","","","","","","","","0"
"customnine","Custom Field 9","Other Information","","0","0","TEXTBOX-REG","","170","","","","","","","","","","","","","","","","","","","","","","0"
"customone","Terms & Conditions","Terms & Conditions","<p>I agree to the Terms and Conditions as set out here <a href=""/termsofuse"" target=""_blank""><font size=""2"" color=""Green"">Terms &amp; Conditions of Business</font></a></p>

","1","1","CHECKBOX-CUSTOM","","60","I agree","","","","","","","","","","","","","","","","","","","","","0"
"customseven","Custom Field 7","Other Information","","0","0","TEXTBOX-REG","","150","","","","","","","","","","","","","","","","","","","","","","0"
"customsix","Custom Field 6","Other Information","","0","0","TEXTBOX-REG","","140","","","","","","","","","","","","","","","","","","","","","","0"
"customten","Custom Field 10","Other Information","","0","0","TEXTBOX-REG","","180","","","","","","","","","","","","","","","","","","","","","","0"
"customthree","Sign up today to receive great online-only deals and to keep up to date with the latest product news","Email Marketing","<p>By checking this box, I agree that dorotape can use my personal data for this purpose and I understand that I can withdraw my consent at any time as described in the <a href=""/privacy"" target=""_blank""><font size=""2"" color=""Green"">Privacy Policy</font></a>","0","1","CHECKBOX-CUSTOM","","70","Yes, I agree to this so sign me up! ","","","","","","","","","","","","","","","","","","","","DEFAULT","0"
"customtwo","Safe Place","Safe Place","<p>Would like to designate a safe place for your order to be left if you are out? If so, please enter details below otherwise someone must be present to receive the order.</p>

","0","1","TEXTBOX-REG","","20","I have read the Covid-19 update","","","","","","","","","","","","","","","","","","","","DEFAULT","0"
"disability","Disability Selection","Tax Exemption Information","<p>If you have a disability and are eligible for tax exemptions, please check the box below.  Those with disabilities are entitled to tax exemptions on qualifying items.</p>","0","0","CHECKBOX-CUSTOM","","80","I have a disability and am eligible for tax exemptions on qualifying items.","","","","","","","","","","","","","","","","","","","","","0"
"disccode","Discount Code","Discount Codes","<p>If you have a discount code, please enter the code in the box below to redeem the discount.</p>","0","1","TEXTBOX-REG","","30","","","","","","","","","","","","","","","","","","","","","","0"
"giftcert","Gift Certificate","Discounts and Gift Certificates","<p>If you have a gift certificate, please enter the certificate number in the box below to redeem the gift certificate.</p>","0","0","TEXTBOX-REG","","40","","","","","","","","","","","","","","","","","","","","","","0"
"loyaltypoints","Redeem Reward Points","Reward Points Redemption","<p>You can choose to redeem your Reward Points by checking the box below.</p>","0","1","CHECKBOX-CUSTOM","","60","I would like to redeem my Reward Points.","","","","","","","","","","","","","","","","","","","","DEFAULT","0"
"ordadjustneg","Negative Adjustment","Adjustments","<p>Enter both an adjustment amount, and description to subtract from the total.</p>","0","0","TEXTBOX-REG","ecom:formfield_ordadjustneg.php","20","","","","","","","","","","","","","","","","","","","","","","0"
"ordadjustpos","Positive Adjustment","Adjustments","<p>Enter both an adjustment amount, and description to add to the total.</p>","0","0","TEXTBOX-REG","ecom:formfield_ordadjustpos.php","10","","","","","","","","","","","","","","","","","","","","","","0"
"taxexemptnum","Tax Exemption Number","Tax Exemption Information","If you have a EU/UK VAT or Canadian Provincial Sales Tax Vendor Permit number, please enter it below.","0","0","TEXTBOX-REG","","70","","","","","","","","","","","","","","","","","","","","","","0"
