"id","codetype","codevalue","prodlimit","xprod","xmultisite","active","applyorderinfo","statushold","inclship","createdate","startdate","expdate","acctsysincome","acctsyspri","acctsysalt","acctsysprimod","acctsysaltmod"
"12DAYSOFCHRISTMAS","5","20.00","A","","CRAFTSTICK","0","CS202101161:1.22, CS202101232:3.18, CS202112151:16.55","0","0","1639571688","","","income-discount","","","0","0"
"Accesave","5","28.00%","I","401-White, 402-Black, 403-Neon-Blue, 404-Green, 405-Navy-Blue, 406-Royal-Blue, 407-Forest-Green, 408-Red, 409-Bordeaux, 440-Neon-Yellow, 410-Yellow, 412-Grey, 413-Turquoise, 414-Purple, 415-Orange, 416-Brown, 417-Beige, 418-Medium-Yellow, 419-Lemon-Yellow, 441-Neon-Green, 420-Gold-Metallic, 442-Neon-Orange, 430-Silver-Metallic, 443-Neon-Pink, 466-Lilac, 467-Apple-Green, 468-Aqua-Green, 469-Military-Green, 474-Light-Green, 475-Ice-Blue, 476-Violet, 401S-White, 410S-Yellow, 4501-White, 4503-Neon-Blue, 4508-Red, 4510-Yellow, 4515-Orange, 4901-White, 4902-Black, 4903-Neon-Blue, 4919-Lemon-Yellow, 4920-Gold-Metallic, 4922-Rose-Gold-Metallic, 4930-Silver, 4944-Neon-Red, 4977-Mint, 4987-Berry","","0","","0","0","1534761528","","","income-discount","","","0","0"
"APRIL10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1712044503","","","income-discount","","","0","0"
"AUTUMN10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1727712099","","","income-discount","","","0","0"
"BLACK20","5","20.000%","I","Hotronix-Auto-Open-Clam-Heatpress, Hotronix-Fusion-IQ-Heatpress","DEFAULT","1","DT201805301:10.52, DT202009291:111.86","0","0","1763658453","","","income-discount","","","0","0"
"BLOOM10","5","10.00%","E","Silhouette-Cameo-4, Auto-Open-Heatpress, Hotronix-Clam-Basic-Cap-Heatpress, Auto_Heat_Press, Hobby_Heat_Press, Hotronix-Maxx-Clam-Heatpress, Premier_Auto_Heat_Press, Standard_Heat_Press, Hotronix-Auto-Open-Clam-Cap-Heatpress, Hotronix-Maxx-Clam-Cap-Heatpress, Hotronix-Clam-Basic-Cap-Heatpress","CRAFTSTICK","1","CS202101161:1.22, CS202101232:3.18","0","0","1629223035","","","income-discount","","","0","0"
"BOURNESAVE","5","5%","E","CS-ESM2_Inks, CS-ESM3_Inks, CS-ESM_Inks, ESM2_Inks, ESM3_Inks, ESM_Inks, Roland-ESM-Cleaning-Cartridge, ArtWrap-Backboard-12x12, ArtWrap-Backboard-12x16, ArtWrap-Backboard-16x20, ArtWrap-Backboard-20x30, ArtWrap-Backboard-8x8, ArtWrap-Bracket-Stand, ArtWrap-Canvas-12x12, ArtWrap-Canvas-12x16, ArtWrap-Canvas-16x20, ArtWrap-Canvas-20x30, ArtWrap-Canvas-8x12, ArtWrap-Canvas-8x8, ArtWrap-Float-Frame-12x12, ArtWrap-Float-Frame-12x16, ArtWrap-Float-Frame-16x20, ArtWrap-Stapler,","DEFAULT","1","","0","0","1590584576","","","income-discount","","","0","0"
"COLLECTION","5","FREESHIPPING","A","","","1","","0","0","1612444903","","","income-discount","","","0","0"
"CRAFT10","5","10.00%","E","Silhouette-Cameo-4","CRAFTSTICK","0","CS202101161:1.22, CS202101232:3.18","0","0","1621615138","","","income-discount","","","0","0"
"CRFTY10","1","10.00%","E","Silhouette-Cameo-4","CRAFTSTICK","0","CS202101161:1.22, CS202101232:3.18","0","0","1635845063","","","income-discount","","","0","0"
"DARKNIGHTS10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1730396960","","","income-discount","","","0","0"
"DORO10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1696006310","","","income-discount","","","0","0"
"DORO10PLEASE","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1701369015","2023-11-01","2023-11-30","income-discount","","","0","0"
"DOROSAVE10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1698775705","2023-11-01","2023-11-30","income-discount","","","0","0"
