"id","name","prodnum","manufacturer","imgsm","discexclusions","suppressreport","barcode","vendorid","vendoritemid","vendordesc","purchcosteach","avgcosteach","mapprice","acctsysprice","casequantity","casebarcode","acctsysasset","acctsyscogs","acctsysincome","acctsyspri","acctsysalt","acctsysprimod","acctsysaltmod","invtype","notifystock","invlevel","invoversell","invsalesorder","invshipmanager","invpurchord","warehouseloc","delmethod","shipnumbox","servreq","shipmustrate","shipfreethreshtrigger","customship","shiponename","shiponeprice","shiptwoname","shiptwoprice","shipthreename","shipthreeprice","shiplocal","shipint","shiplength","shipwidth","shipheight","shipnest","shipweight","xprodoptions","xprodoptionsdisp","addemtext","customdata","customdispoos","customdispover","purchcostdropeach","mappricewhl","invitemminquan","invitemincquan","invitemmaxquan","invautonegwhl","invautonegchannel","easypick"
"001-White","White Flock Heat Transfer Vinyl","1","Poli-Tape","001_White.png","","0","","DEFAULT","","White Heat Transfer Vinyl","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"054CGO","Kernowjet 054CGO Metalik Gold Removeable 1524mm Wide ","054CGO","Kernow","Kernow_Metalik_Gold_Removable.jpg","","0","","DEFAULT","","Kernowjet 054CGO Metalik Gold Removeable 1524mm Wide ","0","0","0","463","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","A1","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","KERNOWMETALIK_1524","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"054CSI","Kernowjet 054CSI Metalik Silver Removeable 1524mm Wide ","054CSI","Kernow","Kernow_Metalik_Silver_Removable.jpg","","0","","DEFAULT","","Kernowjet 054CGO Metalik Gold Removeable 1524mm Wide ","0","0","0","463","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","A1","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","KERNOWMETALIK_1524","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"056SGO","Kernowjet 056SGO Metalik Gold Permanent 1524mm Wide ","056SGO","Kernow","Kernow_Metalik_Gold_Permanent.jpg","","0","","DEFAULT","","Kernowjet 054CGO Metalik Gold Permanent 1524mm Wide ","0","0","0","463","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","A1","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","KERNOWMETALIK_1372, KERNOWMETALIK_1524","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"056SSI","Kernowjet 056SSI Metalik Silver Permanent 1524mm Wide ","056SSI","Kernow","Kernow_Metalik_Silver_Permanent.jpg","","0","","DEFAULT","","Kernowjet 054CGO Metalik Gold Permanent 1524mm Wide ","0","0","0","463","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","A1","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","KERNOWMETALIK_1524","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"100_Lemon","Lemon Flock Heat Transfer Vinyl","100","Poli-Tape","100_Lemon.png","","0","","DEFAULT","","White Heat Transfer Vinyl","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"110_Yellow","Yellow Flock Heat Transfer Vinyl","110","Poli-Tape","110_Yellow.png","","0","","DEFAULT","","White Heat Transfer Vinyl","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12325","ASLAN Sparkle Colour 12325 Light Gold","12325","Aslan","12325-Light-Gold.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12332","ASLAN Sparkle Colour 12332 Hot Pink","12332","Aslan","12332-Hot-Pink.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12345","ASLAN Sparkle Colour 12345 Sky Blue","12345","Aslan","12345-Sky-Blue.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
