"id","name","catimg","description","bannergroup","sortorder","xmultisite","multisitedesconelimit","multisitedescone","multisitedesctwolimit","multisitedesctwo","xmanus","subdisp","cathighlights","videourl","catview","catviewg","metadesc","nofilter","seourl","seoexact","keywords","metatitle","freeitemlevel1","freeitemid1","freeitemlevel2","freeitemid2","descshort","multisitedescshortone","multisitedescshorttwo"
"Aslan","ASLAN","Aslan_logo_300px.png","<p>Dorotape are the only UK Gold Distributor for ASLAN vinyl and films for signmaking, digital printing and stencil masking.</p>
<p>We work closely with ASLAN to bring you the very best in metallised, dichroic and glassline finishes as well as other speciality films such as their wide range of memoboard films.</p>

<a><img style=""margin: 20px; width: 200px; height: 200px; float: right;"" alt=""ASLAN Gold Distributor Logo""
src=""media/ecom/onpagegraphics/ASLAN_Logo_Gold Distributor_2023.jpg""></a>

<p>For more than 70 years, ASLAN have successfully developed and manufactured an extensive product range including self-adhesive films for signmaking and large format digital printing & lamination.</p>
<p>Their slogan of 'Where quality meets specialities' embodies the fact that they also produce niche products for many other sectors such as paint masking and sandblast stenciling, architectural and interior design, corporate branding as well as commercial, educational and healthcare organisation.</p>
<p>Based just outside Cologne, the ASLAN team ensure that they offer the best products to the market, which are available in over 80 countires worldwide.</p>
<p>The partnership between ASLAN & Dorotape means that the full range of these products with the quality assurance of being ""Made in Germany"" are available from stock ready for next day nationwide delivery.</p>
<p>Browse or search all ASLAN products here or visit the <a href=""https://www.aslanfolien.de"" target=""_blank""><font color=""#ef088c"">ASLAN website</font></a> for more information about ASLAN and their wide range of products.</p>
","","10","DEFAULT","","","","","Aslan","DEFAULT","","","A","","Dorotape are the only UK Gold Distributor for ASLAN vinyl and films for signmaking, digital printing and stencil masking. We work closely with ASLAN to bring you the very best in metallised, dichroic and glassline finishes as well as other speciality films such as their wide range of memoboard films. The partnership between ASLAN & Dorotape means that the full range of these products with the quality assurance of being ""Made in Germany"" are available from stock ready for next day nationwide delivery.

","1","Aslan-Folien","0","Aslan, Aslan, Aslan Schwarz GmbH, Aslan Folien, aslanfolien, ","ASLAN","0.00","","0.00","","Dorotape are the only UK Gold Distributor for ASLAN vinyl and films for signmaking, digital printing and stencil masking. We work closely with ASLAN to bring you the very best in metallised, dichroic and glassline finishes as well as other speciality films such as their wide range of memoboard films. The partnership between ASLAN & Dorotape means that the full range of these products with the quality assurance of being ""Made in Germany"" are available from stock ready for next day nationwide delivery.","",""
"ATP","ATP","ATP_Logo.png","<p>ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.</p>
<p>Browse or search all stocked products from ATP here or visit the <a href=""https://atp-ag.com/en-EN/"" target=""_blank""><font color=""#ef088c"">ATP website</font></a> for more information about ATP and their wide range of products.</p>","","190","DEFAULT","","","","","","DEFAULT","","","A","","ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.","1","ATP","0","ATP","ATP","0.00","","0.00","","ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.","",""
"Cover_Styl","Cover Styl'","Cover Styl' Logo.png","<p>Through their distributor network, Dorotape are proud to offer the range of surface decoration films from Cover Styl'</p>
<p>Cover Styl' started producing  surface decoration films in 2012 and soon became a major force in the hotel renovation market. Since then the company from Luxembourg has added over 650 different finishes to their range, opened up training centres and academies around the world and now work with many leading hotel chains, construction companies and retail brands.</p>
<p>Browse or search all Cover Styl' products here or visit the <a href=""https://www.coverstyl.com/en/home"" target=""_blank""><font color=""#ef088c"">Cover Styl' website</font></a> for more information about Cover Styl' and their wide range of products.</p>

","","70","DEFAULT","","","","","","DEFAULT","","","A","","Through their distributor network, Dorotape are proud to offer the range of surface decoration films from Cover Styl'","1","Cover-Styl'","0","coverstyle, coverstyl, cover styl, cover styl'","Cover Styl'","0.00","","0.00","","Through their distributor network, Dorotape are proud to offer the range of surface decoration films from Cover Styl'","",""
"DEFAULT","Default Manufacturer","","This is the default manufacturer for this store.","","999","","","","","","","DEFAULT","","","N","","","0","","0","","","0.00","","0.00","","","",""
"Doro_Tape","Doro Tape","","Using our connections throughout Europe we develop specific materials and have these contract coated on our behalf.","","12","DEFAULT","","","","","","DEFAULT","","","N","","","1","Doro-Tape","0","","","0.00","","0.00","","","",""
"Floorappeal","Floorappeal","Floorappeal.png","<p>Floorappeal is new and unique to Dorotape.</p>
","","190","DEFAULT","","","","","","DEFAULT","","","A","","ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.","1","","0","ATP","ATP","0.00","","0.00","","ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.","",""
"Folex","Folex","Folex_Logo.png","<p>Dorotape stock, convert and supply some wonderful products from Folex.</p>
<p>Folex’s expertise is the finishing and coating of films and foils so it is no wonder that Folex products have been appreciated worldwide for many years.</p>
<p>Browse or search all Folex products here or visit the <a href=""https://www.folex.com/de/"" target=""_blank""><font color=""#ef088c"">Folex website</font></a> for more information about Folex and their wide range of products.</p>","","90","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape stock, convert and supply some wonderful products from Folex.","1","Folex","0","Folex, Regulus","Folex","0.00","","0.00","","Dorotape stock, convert and supply some wonderful products from Folex.","",""
"Glassapeel","Glassapeel","Glassapeel.png","<p>Glassapeel is new and unique to Dorotape.</p>
","","190","DEFAULT","","","","","","DEFAULT","","","A","","ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.","1","","0","ATP","ATP","0.00","","0.00","","ATP, based in Germany specialises in developing specific adhesive products and Dorotape have a been supplying some of their high tack and airflow digital print media for many years.","",""
"Intercoat","Intercoat","Intercoat_Logo.png","<p>Intercoat digital print and screenprint films are in stock at Dorotape.</p>
<p>Intercoat is part of the AMC AG group, a recognised and internationally successful supplier of self-adhesive papers, films and laminates for the printing, advertising and label industries.</p>
<p>Employing over 100 staff near Hamburg in Germany and with sales in more than 65 countries, the Intercoat brand is synonimous with quality.</p>
<p>Browse or search all Intercoat products here or visit the <a href=""https://intercoat.de/our-products/lfp-films/?lang=en"" target=""_blank""><font color=""#ef088c"">Intercoat website</font></a> for more information about Intercoat and their wide range of products.</p>
","","130","DEFAULT","","","","","","DEFAULT","","","A","","Intercoat digital print and screenprint films are in stock at Dorotape.","1","Intercoat","0","intercoat","Intercoat","0.00","","0.00","","Intercoat digital print and screenprint films are in stock at Dorotape.","",""
"iSEE2","iSEE2","isee2_Logo.png","<p>Doro Tape have had a collaboration with iSEE2 since their formation back in 2006 and have selected the best of their products for the UK marketplace.</p>
<p>Browse or search all stocked products from iSEE2 here or visit the <a href=""https://www.isee2.eu/"" target=""_blank""><font color=""#ef088c"">iSEE2 website</font></a> for more information about iSEE2 and their range of products.</p>","","100","DEFAULT","","","","","","DEFAULT","","","A","","Doro Tape have had a collaboration with iSEE2 since their formation back in 2006 and have selected the best of their products for the UK marketplace.","1","iSEE2","0","isee2, ic2, icee2","iSEE2","0.00","","0.00","","Doro Tape have had a collaboration with iSEE2 since their formation back in 2006 and have selected the best of their products for the UK marketplace.","",""
"Kernow","Kernow Coatings","Kernow_Logo.png","<p>Kernow Coatings are a global leader in optimised high-performance printable wide format media.</p>
<p>Through their distributor network, Dorotape are proud to offer a wide range of digital media for window, backlit and other displays.</p>
<p>Browse or search all Kernow Coatings products here or visit the <a href=""https://kernowcoatings.com/"" target=""_blank""><font color=""#ef088c"">Kernow Coatings website</font></a> for more information about Kernow Coatings and their wide range of products.</p>

","","85","DEFAULT","","","","","","DEFAULT","","","A","","Through their distributor network, Dorotape are proud to offer a wide range of digital media for window, backlit and other displays from Kernow Coatings.","1","Kernow-Coatings","0","Kernow, hydrosol","Kernow-Coatings","0.00","","0.00","","Through their distributor network, Dorotape are proud to offer the most popular tools for cutting, weeding and applying self-adhesive films.","",""
"LGHausys","LG Hausys","LG_Logo.png","<p>Dorotape are proud to distribute the LG Hausys interior decor range.</p>","","180","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape are proud to distribute the LG Hausys interior decor range.","1","LG-Hausys","0","lg, hausys, benif, decor, interior, architectural, dinoc, di-noc","LG-Hausys","0.00","","0.00","","Dorotape are proud to distribute the LG Hausys interior decor range.","",""
"Neschen","Neschen","Neschen-Logo.png","<p>Dorotape supply the very best digital print media, laminates and mount films including the market leading Easy-Dot range of products from specialist German manufacturer Neschen.</p>
<p>For decades, Neschen has been a trusted coater of self-adhesive films with a global marketplace.</p>
<p>Browse or search all Neschen products here or visit the <a href=""https://www.neschen.de/en/"" target=""_blank""><font color=""#ef088c"">Neschen website</font></a> for more information about Neschen and their wide range of products.</p>
","","50","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape supply the very best digital print media, laminates and mount films including the market leading Easy-Dot range of products from top German manufacturer Neschen.","1","Neschen","0","Neschen, easy dot, easy style, easystyle, filmolux, gudy","Neschen","0.00","","0.00","","Dorotape supply the very best digital print media, laminates and mount films including the market leading Easy-Dot range of products from top German manufacturer Neschen.","",""
