"id","channelid","xofferid","maptype","xinvid","groupname","quantity","sortorder","regprice","whlprice","compprice","recurprice","loyaltypoints","rebate","cost","taxclass","taxstateprov","taxcountry","datetimestamp","cacheoffername","cacheinvname","cachemanuname"
"DEFAULT-001-White-DEFAULT-001-White","DEFAULT","001-White","DEFAULT","001-White","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409160","White Flock Heat Transfer Vinyl","White Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-054CGO-DEFAULT-054CGO","DEFAULT","054CGO","DEFAULT","054CGO","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781002665","Kernowjet Metalik Gold Removable","Kernowjet 054CGO Metalik Gold Removeable 1524mm Wide ","Kernow Coatings"
"DEFAULT-054CSI-DEFAULT-054CSI","DEFAULT","054CSI","DEFAULT","054CSI","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781002624","Kernowjet Metalik Silver Removable","Kernowjet 054CSI Metalik Silver Removeable 1524mm Wide ","Kernow Coatings"
"DEFAULT-056SGO-DEFAULT-056SGO","DEFAULT","056SGO","DEFAULT","056SGO","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781002736","Kernowjet Metalik Gold Permanent","Kernowjet 056SGO Metalik Gold Permanent 1524mm Wide ","Kernow Coatings"
"DEFAULT-056SSI-DEFAULT-056SSI","DEFAULT","056SSI","DEFAULT","056SSI","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781002707","Kernowjet Metalik Silver Permanent","Kernowjet 056SSI Metalik Silver Permanent 1524mm Wide ","Kernow Coatings"
"DEFAULT-100-Lemon-DEFAULT-100_Lemon","DEFAULT","100-Lemon","DEFAULT","100_Lemon","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409173","Lemon Flock Heat Transfer Vinyl","Lemon Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-110-Yellow-DEFAULT-110_Yellow","DEFAULT","110-Yellow","DEFAULT","110_Yellow","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409178","Yellow Flock Heat Transfer Vinyl","Yellow Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-12325-DEFAULT-12325","DEFAULT","12325","DEFAULT","12325","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090127","ASLAN Sparkle Colour 12325 Light Gold","ASLAN Sparkle Colour 12325 Light Gold","ASLAN"
"DEFAULT-12332-DEFAULT-12332","DEFAULT","12332","DEFAULT","12332","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090227","ASLAN Sparkle Colour 12332 Hot Pink","ASLAN Sparkle Colour 12332 Hot Pink","ASLAN"
"DEFAULT-12345-DEFAULT-12345","DEFAULT","12345","DEFAULT","12345","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090317","ASLAN Sparkle Colour 12345 Sky Blue","ASLAN Sparkle Colour 12345 Sky Blue","ASLAN"
"DEFAULT-12348-DEFAULT-12348","DEFAULT","12348","DEFAULT","12348","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090252","ASLAN Sparkle Colour 12348 Baby Pink","ASLAN Sparkle Colour 12348 Baby Pink","ASLAN"
"DEFAULT-12350-DEFAULT-12350","DEFAULT","12350","DEFAULT","12350","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090091","ASLAN Sparkle Colour 12350 Silver","ASLAN Sparkle Colour 12350 Silver","ASLAN"
"DEFAULT-12351-DEFAULT-12351","DEFAULT","12351","DEFAULT","12351","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090106","ASLAN Sparkle Colour 12351 Gold","ASLAN Sparkle Colour 12351 Gold","ASLAN"
"DEFAULT-12355-DEFAULT-12355","DEFAULT","12355","DEFAULT","12355","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090270","ASLAN Sparkle Colour 12355 Green","ASLAN Sparkle Colour 12355 Green","ASLAN"
"DEFAULT-12356-DEFAULT-12356","DEFAULT","12356","DEFAULT","12356","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090203","ASLAN Sparkle Colour 12356 Red","ASLAN Sparkle Colour 12356 Red","ASLAN"
"DEFAULT-12358-DEFAULT-12358","DEFAULT","12358","DEFAULT","12358","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090358","ASLAN Sparkle Colour 12358 Black","ASLAN Sparkle Colour 12358 Black","ASLAN"
"DEFAULT-12381-DEFAULT-12381","DEFAULT","12381","DEFAULT","12381","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090338","ASLAN Sparkle Colour 12381 Baby Blue","ASLAN Sparkle Colour 12381 Baby Blue","ASLAN"
"DEFAULT-12386-DEFAULT-12386","DEFAULT","12386","DEFAULT","12386","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090188","ASLAN Sparkle Colour 12386 Rose Gold","ASLAN Sparkle Colour 12386 Rose Gold","ASLAN"
"DEFAULT-12388-DEFAULT-12388","DEFAULT","12388","DEFAULT","12388","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090375","ASLAN Sparkle Colour 12388 Rainbow White","ASLAN Sparkle Colour 12388 Rainbow White","ASLAN"
"DEFAULT-12389-DEFAULT-12389","DEFAULT","12389","DEFAULT","12389","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090291","ASLAN Sparkle Colour 12389 Royal Blue","ASLAN Sparkle Colour 12389 Royal Blue","ASLAN"
"DEFAULT-12390-DEFAULT-12390","DEFAULT","12390","DEFAULT","12390","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781090165","ASLAN Sparkle Colour 12390 Champagne","ASLAN Sparkle Colour 12390 Champagne","ASLAN"
"DEFAULT-12407-DEFAULT-12407","DEFAULT","12407","DEFAULT","12407","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937248","ASLAN Caress Colour 12407 Anthracite","ASLAN Caress Colour 12407 Anthracite","ASLAN"
"DEFAULT-12408-DEFAULT-12408","DEFAULT","12408","DEFAULT","12408","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937282","ASLAN Caress Colour 12408 White","ASLAN Caress Colour 12408 White","ASLAN"
"DEFAULT-12409-DEFAULT-12409","DEFAULT","12409","DEFAULT","12409","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937294","ASLAN Caress Colour 12409 Red","ASLAN Caress Colour 12409 Red","ASLAN"
"DEFAULT-12413-DEFAULT-12413","DEFAULT","12413","DEFAULT","12413","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937315","ASLAN Caress Colour 12413 Blue","ASLAN Caress Colour 12413 Blue","ASLAN"
"DEFAULT-12418-DEFAULT-12418","DEFAULT","12418","DEFAULT","12418","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937327","ASLAN Caress Colour 12418 Black","ASLAN Caress Colour 12418 Black","ASLAN"
"DEFAULT-12419-DEFAULT-12419","DEFAULT","12419","DEFAULT","12419","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937339","ASLAN Caress Colour 12419 Lemon","ASLAN Caress Colour 12419 Lemon","ASLAN"
"DEFAULT-12420-DEFAULT-12420","DEFAULT","12420","DEFAULT","12420","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937351","ASLAN Caress Colour 12420 Neon Yellow","ASLAN Caress Colour 12420 Neon Yellow","ASLAN"
