"id","filterslot","filtername","sortorder"
"ADHESIVE_AIRFLOW","1","Airflow Adhesive","80"
"ADHESIVE_BLACK","1","Black adhesive","70"
"ADHESIVE_GREY","1","Grey adhesive","60"
"ADHESIVE_HIGH_TACK","1","High tack adhesive","50"
"ADHESIVE_NON","1","Non adhesive","90"
"ADHESIVE_PERMANENT","1","Permanent adhesive","20"
"ADHESIVE_REMOVABLE","1","Removable adhesive","10"
"ADHESIVE_REPOSITIONABLE","1","Repositionable adhesive","40"
"ADHESIVE_SEMI_PERMANENT","1","Semi -permanent adhesive","30"
"ADHESIVE_STANDARD_LINER","1","Standard Adhesive","80"
"Beiges","4","Beiges","12"
"Black","4","Black","2"
"Blues","4","Blues","7"
"Boards","5","Rigid Boards","1"
"Browns","4","Browns","13"
"Brushed","5","Brushed","4"
"Clear","4","Transparent","14"
"Colours","4","Colours","3"
"Cutting","5","Cutting Tools","3"
"Double_Sided","5","Double Sided Tape","1"
"FloorLam","2","Floor Graphic Laminate","10"
"FloorVinyl1","2","Printable Floor Graphic Vinyl (No Need to Laminate)","20"
"FloorVinyl2","2","Printable Floor Graphic Vinyl (Requires Lamination)","30"
"Fluorescent","5","Neon","31"
"Gloss","5","Gloss","1"
"GRADE_CAST","2","Cast PVC","30"
"GRADE_FABRIC","2","Fabric","70"
"GRADE_FERROUS","2","Ferrous","100"
"GRADE_MAGNETIC","2","Magnetic","90"
"GRADE_MONOMERIC","2","Monomeric PVC","10"
"GRADE_PAPER","2","Paper","80"
"GRADE_POLYESTER","2","Polyester","40"
"GRADE_POLYMERIC","2","Polymeric PVC","20"
"GRADE_POLYPROPYLENE","2","Polypropylene","50"
"GRADE_SCRIM","2","PVC Scrim","60"
"Greens","4","Greens","8"
"Greys","4","Greys","11"
"Leather","5","Leather Effect","2"
"Matt","5","Matt","2"
"Metal","5","Metal Effect","4"
"Metallic","3","Metallic","32"
"Metallics","4","Metallics","4"
"Neon","3","Neon","31"
"Neons","4","Neons","5"
"Opaque","5","Opaque","4"
"Oranges","4","Oranges","10"
"Other_Adhesive","5","Bumpers","3"
"Pastel","5","Pastel","1"
"Polished","5","Polished","3"
"R10","5","R10 Rating","2"
"R11","5","R11 Rating","3"
"R12","5","R12 Rating","4"
"R13","5","R13 Rating","5"
"R9","5","R9 Rating","1"
"Reds","4","Reds","6"
"Satin","5","Satin","1"
"Single_Sided","5","Single Sided Tape","2"
"Sparkly","5","Sparkly","5"
"Squeegees","5","Application Tools","2"
"Stone","5","Stone Effect","3"
"Stretch","3","Stretch","34"
"Sub_Block","3","Sub Block","33"
"SUITABILITY_BACKLIT","3","Ideal for Backlit Displays","190"
"SUITABILITY_BLACKBOARD","3","Blackboard","17"
"SUITABILITY_BLOCKOUT","3","Great for Blocking Light","200"
"SUITABILITY_CANVAS","3","Create Professional Canvases","120"
"SUITABILITY_CLEARBOARD","3","Clearboard / Drywipe","18"
"SUITABILITY_CURVED","3","Applies well to curved surfaces","60"
"SUITABILITY_FIRE","3","Fire Rated","5"
"SUITABILITY_FLAT","3","Best used on flat or slightly curved areas","50"
"SUITABILITY_FLOOR_GRAPHICS","3","Ideal for Floor Graphics","110"
"SUITABILITY_INDOOR","3","Best used inside","10"
"SUITABILITY_OUTDOOR_LONG","3","Perfect for all work outside","40"
"SUITABILITY_OUTDOOR_MEDIUM","3","Good for most outdoor jobs","30"
"SUITABILITY_OUTDOOR_SHORT","3","OK outside but not for long","20"
"SUITABILITY_POP_UP","3","Pop Up Exhibition Grade","100"
"SUITABILITY_ROLL_UP","3","Great for Roll Up Banners","110"
"SUITABILITY_VEHICLE","3","Great for applying to vehicles","70"
"SUITABILITY_VEHICLE_WRAP","3","Made for Vehicle Wrapping","80"
"SUITABILITY_WALL_DECORATION","3","Designed for creating Wall Art","100"
"SUITABILITY_WHITEBOARD","3","Whiteboard","16"
"SUITABILITY_WINDOW","3","Works well on Glass","90"
"Transparent","5","Transparent","4"
"Weeding","5","Weeding Tools","1"
"White","4","White","1"
"Wood","5","Wood Effect","1"
"Yellows","4","Yellows","9"
