"id","name","description","fieldtype","fieldinclude","required","fieldorder","section","optsel"
"142SGC","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","1370mm x 30m Roll|255.90|0.00|0|STANDARD|STANDARD|STANDARD|"
"165SML","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","1270mm x 30m Roll|222.440|0.00|0|STANDARD|STANDARD|STANDARD|"
"180STL","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","914mm x 30m Roll|196.30|0.00|0|STANDARD|STANDARD|STANDARD|
1270mm x 30m Roll|271.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"200SGB","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","914mm x 30m Roll|165.70|0.00|0|STANDARD|STANDARD|STANDARD|
1270mm x 30m Roll|232.80|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 30m Roll|255.90|0.00|0|STANDARD|STANDARD|STANDARD|
1524mm x 30m Roll|284.20|0.00|0|STANDARD|STANDARD|STANDARD|"
"225stfg","Select Size & Quantity of Rolls","Please select size and quantity of rolls below","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1220mm x 5m Roll|87.00|0.00|0|STANDARD|STANDARD|STANDARD|
1220mm x 25m Roll|435.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"230STL","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","914mm x 30m|237.20|0.00|0|STANDARD|STANDARD|STANDARD|
1270mm x 30m Roll|328.40|0.00|0|STANDARD|STANDARD|STANDARD|
1524mm x 30m Roll|394.90|0.00|0|STANDARD|STANDARD|STANDARD|"
"3162-gloss_matt_cleargloss","Choose Finish Below","Please select either White Gloss, White Matt or Clear Gloss ","CHECKBOX-CUSTOM","","1","1","Finish Options","3162G Gloss White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3162M Matt White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3162G Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"3164-gloss_matt_cleargloss","Choose Finish Below","Please select either White Gloss, White Matt or Clear Gloss","CHECKBOX-CUSTOM","","1","1","Finish Options","3164XG Gloss White (Grey Adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3164XM Matt White (Grey Adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3164G Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"360HML","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","914mm x 30m Roll|187.26|0.00|0|STANDARD|STANDARD|STANDARD|
1270mm x 30m Roll|259.84|0.00|0|STANDARD|STANDARD|STANDARD|"
"385STL","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","1270mm x 20m Roll|343.60|0.00|0|STANDARD|STANDARD|STANDARD|"
"54001220","or 1220mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1220mm wide by the metre or by the roll here","part roll - price per mtr|19|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|855|0.00|0|STANDARD|STANDARD|STANDARD|"
"5400610","Please select either 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|9.5|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|427.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"6480","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","1310mm x 50m|217|0.00|0|STANDARD|STANDARD|STANDARD|
1310mm x 100m|394.94|0.00|0|STANDARD|STANDARD|STANDARD|
1530mm x 50m|254|0.00|0|STANDARD|STANDARD|STANDARD|
1530mm x 100m|462.28|0.00|0|STANDARD|STANDARD|STANDARD|"
"75101260","or 1260mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 1260mm wide by the metre or by the roll here","part roll - price per mtr|29.86|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|1343.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"7510630","Please select either 630mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 630mm wide by the metre or by the roll here","part roll - price per mtr|14.93|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|671.75|0.00|0|STANDARD|STANDARD|STANDARD|"
"950A","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","1040mm x 100m|155.05|131.79|0|STANDARD|STANDARD|STANDARD|
1300mm x 100m Roll|192.66|163.76|0|STANDARD|STANDARD|STANDARD|
1530mm x 100m|226.75|192.74|0|STANDARD|STANDARD|STANDARD|"
"AB_COLOUR","Select White or Black","Please select either White or Black Chalk Board","CHECKBOX-CUSTOM","","1","1","Colour Options","White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Black|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"AB_COLOUR_B","Select White or Black Chalk Board","Please select either White or Black Chalk Board","CHECKBOX-CUSTOM","","1","1","Colour Options","White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Black Chalk Board|2.30|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_APPFLUID","Choose quantity","Choose quantities 'Float-On' Vinyl Application Fluid","CHECKBOX-CUSTOM","","1","10","Item Options","1 litre Bottle + Trigger Spray|13.20|9.90|0|STANDARD|STANDARD|STANDARD|
5 litre refill bottle|61.60|46.20|0|STANDARD|STANDARD|STANDARD|"
"ACC_APPROLL","Choose width","Choose width of roller","CHECKBOX-CUSTOM","","1","10","Item Options","100mm Width|9.30|0.00|0|STANDARD|STANDARD|STANDARD|
150mm Width|11.20|0.00|0|STANDARD|STANDARD|STANDARD|
200mm Width|14.90|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_CLRIGOFF","Choose quantity","Choose quantities Right-Off Cleaner","RADIO-CUSTOM","","1","10","Item Options","1 litre + Spray Head|10.90|0.00|0|STANDARD|STANDARD|STANDARD|
5 litre refill bottle|43.48|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_C_GAFF050","Choose colour","Choose colour of Gaffer Tape","RADIO-CUSTOM","","1","10","Item Options","Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Black|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
1 Carton (24 rolls) :: £2.31 per roll|55.44|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_GAFF050","Choose quantity required","Choose quantity of Gaffer Tape","CHECKBOX-CUSTOM","","1","10","Item Options","By the roll|3.90|0.00|0|STANDARD|STANDARD|STANDARD|
Carton of 24 rolls|84.24|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_MASK025","Choose quantity","Choose quantities of Masking Tape","CHECKBOX-CUSTOM","","1","10","Item Options","By the roll|1.00|0.00|0|STANDARD|STANDARD|STANDARD|
Carton of 36 rolls|31.32|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_MASK050","Choose quantity","Choose quantities of Masking Tape","CHECKBOX-CUSTOM","","1","10","Item Options","By the roll|2.00|0.00|0|STANDARD|STANDARD|STANDARD|
Carton of 24 rolls|41.76|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_PENCIL","Choose pencil colour below","Choose colour of pencils","SELECT-CUSTOM","","1","1","Item Options","White Chinagraph Pencils :: Pack of 12|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Blue Chinagraph Pencils :: Pack of 12|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Black Chinagraph Pencils :: Pack of 12|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Yellow Chinagraph Pencils :: Pack of 12|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Mixed Chinagraph Pencils :: Pack of 12|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_PLOTPEN","To fit cutter","Select plotter pen to fit your cutter","RADIO-CUSTOM","","1","10","Item Options","To fit Roland cutters|11.50|0.00|0|STANDARD|STANDARD|STANDARD|
To fit Mutoh cutters|11.50|0.00|0|STANDARD|STANDARD|STANDARD|
To fit Graphtec cutters|14.30|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_RULER","Choose length","Choose length of ruler","CHECKBOX-CUSTOM","","1","10","Item Options","0.50m Length|21.50|0.00|0|STANDARD|STANDARD|STANDARD|
1.00m Length|35.70|0.00|0|STANDARD|STANDARD|STANDARD|
Handle - Self-adhesive|6.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_SQASLAN","Choose width","Choose width of squeegee","RADIO-CUSTOM","","1","10","Item Options","160mm Width|7.30|0.00|0|STANDARD|STANDARD|STANDARD|
270mm Width|9.50|0.00|0|STANDARD|STANDARD|STANDARD|"
