"id","name","shipper","mark","active"
"FEDEX-ALL-EUROPE_FIRST_INTERNATIONAL_PRIORITY","FedEx Europe First International Priority","FEDEX","R","1"
"FEDEX-ALL-FEDEX_1_DAY_FREIGHT","FedEx 1 Day Freight","FEDEX","R","1"
"FEDEX-ALL-FEDEX_2_DAY","FedEx 2 Day","FEDEX","R","1"
"FEDEX-ALL-FEDEX_2_DAY_AM","FedEx 2 Day AM","FEDEX","R","1"
"FEDEX-ALL-FEDEX_2_DAY_FREIGHT","FedEx 2 Day Freight","FEDEX","R","1"
"FEDEX-ALL-FEDEX_3_DAY_FREIGHT","FedEx 3 Day Freight","FEDEX","R","1"
"FEDEX-ALL-FEDEX_EXPRESS_SAVER","FedEx Express Saver","FEDEX","R","1"
"FEDEX-ALL-FEDEX_FIRST_FREIGHT","FedEx First Freight","FEDEX","R","1"
"FEDEX-ALL-FEDEX_FREIGHT_ECONOMY","FedEx Freight Economy","FEDEX","R","1"
"FEDEX-ALL-FEDEX_FREIGHT_PRIORITY","FedEx Freight Priority","FEDEX","R","1"
"FEDEX-ALL-FEDEX_GROUND","FedEx Ground Service","FEDEX","R","1"
"FEDEX-ALL-FIRST_OVERNIGHT","FedEx First Overnight","FEDEX","R","1"
"FEDEX-ALL-GROUND_HOME_DELIVERY","FedEx Home Delivery","FEDEX","R","1"
"FEDEX-ALL-INTERNATIONAL_ECONOMY","FedEx International Economy","FEDEX","R","1"
"FEDEX-ALL-INTERNATIONAL_ECONOMY_FREIGHT","FedEx International Economy Freight","FEDEX","R","1"
"FEDEX-ALL-INTERNATIONAL_FIRST","FedEx International First","FEDEX","R","1"
"FEDEX-ALL-INTERNATIONAL_PRIORITY","FedEx International Priority","FEDEX","R","1"
"FEDEX-ALL-INTERNATIONAL_PRIORITY_FREIGHT","FedEx International Priority Freight","FEDEX","R","1"
"FEDEX-ALL-PRIORITY_OVERNIGHT","FedEx Priority Overnight","FEDEX","R","1"
"FEDEX-ALL-SMART_POST","FedEx Smart Post","FEDEX","R","1"
"FEDEX-ALL-STANDARD_OVERNIGHT","FedEx Standard Overnight","FEDEX","R","1"
"UPSTOOLS-CA-01","UPS Express","UPSTOOLS","N","1"
"UPSTOOLS-CA-02","UPS Expedited","UPSTOOLS","N","1"
"UPSTOOLS-CA-07","UPS Worldwide Express","UPSTOOLS","S","1"
"UPSTOOLS-CA-08","UPS Worldwide Expedited","UPSTOOLS","S","1"
"UPSTOOLS-CA-11","UPS Standard To Canada","UPSTOOLS","N","1"
"UPSTOOLS-CA-12","UPS 3 Day Select","UPSTOOLS","R","1"
"UPSTOOLS-CA-13","UPS Express Saver","UPSTOOLS","N","1"
"UPSTOOLS-CA-14","UPS Express Early A.M.","UPSTOOLS","N","1"
"UPSTOOLS-CA-54","UPS Worldwide Express Plus","UPSTOOLS","S","1"
