sage_code,break_qty,break_price,status,product,base_rate,live_tier_string,note
FF5501370,9,,"NO SUCH SKU",,,,"this Sage code is not in the catalogue"
131271370,25,19.72,"ALREADY LIVE","ASLAN CRA31 Polished Silver printable film made with 70% post-consumer recycled PET",21.9,1-24:21.90;25:19.72,
131281370,25,19.72,"ALREADY LIVE","ASLAN CRA31 Polished Gold printable film made with 70% post-consumer recycled PET",21.9,1-24:21.90;25:19.72,
CT113551250,25,,MISSING,"ASLAN CT11355 Yellow Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113561250,25,,MISSING,"ASLAN CT11356 Golden Yellow Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113571250,25,,MISSING,"ASLAN CT11357 Orange Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113591250,25,,MISSING,"ASLAN CT11359 Dark Red Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113601250,25,,MISSING,"ASLAN CT11360 Violet Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113641250,25,,MISSING,"ASLAN CT11364 Mint Green Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113681250,25,,MISSING,"ASLAN CT11368 Dove Grey Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113691250,25,,MISSING,"ASLAN CT11369 Medium Grey Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113711250,25,,MISSING,"ASLAN CT11371 Bright Yellow Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113731250,25,,MISSING,"ASLAN CT11373 Bright Red Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113741250,25,,MISSING,"ASLAN CT11374 Red Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113771250,25,,MISSING,"ASLAN CT11377 Magenta Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113791250,25,,MISSING,"ASLAN CT11379 Ultra Blue Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113811250,25,,MISSING,"ASLAN CT11381 Azure Blue Transparent Vinyl",38.10,,"no break on this SKU — needs a price"
CT113821250,25,,"NO SUCH SKU",,,,"this Sage code is not in the catalogue"
CT113831250,25,,MISSING,"ASLAN CT11383 Light Blue Transparent Vinyl",171.50,,"no break on this SKU — needs a price"
CT113851250,25,,MISSING,"ASLAN CT11385 Medium Green Transparent Vinyl",171.50,,"no break on this SKU — needs a price"
CT113881250,25,,MISSING,"ASLAN CT11388 Apple Green Transparent Vinyl",171.50,,"no break on this SKU — needs a price"
CT113921250,25,,MISSING,"ASLAN CT11392 Blue Transparent Vinyl",171.50,,"no break on this SKU — needs a price"
CT113951250,25,,MISSING,"ASLAN CT11395 Purple Transparent Vinyl",171.50,,"no break on this SKU — needs a price"
DFP251370,25,13.99,"ALREADY LIVE","ASLAN DFP25 Double White Window Block",15.54,1-24:15.54;25:13.99,
DFP451370,25,19.28,"ALREADY LIVE","ASLAN DFP45 Gloss White Wall Wrap Vinyl",21.42,1-24:21.42;25:19.28,
DFP461370,25,20.84,"ALREADY LIVE","ASLAN DFP46 Wrap The Street",23.16,1-24:23.16;25:20.84,
DFP471370,25,25.60,"ALREADY LIVE","ASLAN DFP47 Wrap The Floor",28.44,1-24:28.44;25:25.60,
DFP49,25,,"NO SUCH SKU",,,,"this Sage code is not in the catalogue"
MP3001370,25,29.63,"ALREADY LIVE","Premium Floor Protect ASLAN MP300 Wet Floor Laminate",32.92,1-24:32.92;25:29.63,
MP3261370,25,,MISSING,"ASLAN MP326 Floor Protect Laminate",215.60,,"no break on this SKU — needs a price"
MP3301370,25,14.24,"ALREADY LIVE","ASLAN MP330 Floor Protect Laminate",15.82,1-24:15.82;25:14.24,
SL051220,25,13.49,"ALREADY LIVE","ASLAN SL05 Monster Lam",14.2,1-24:14.20;25:13.49,
SL981250,25,18.81,"ALREADY LIVE","ASLAN SL98 Gallery Laminate",19.6,1-24:19.60;25:18.81,
WBL9951370,25,28.44,"ALREADY LIVE","ASLAN WBL 995 Dry Apply Whiteboard Film :: 1370mm Wide",31.6,1-24:31.60;25:28.44,
054CGO1524,45.7,,MOVE,"Kernowjet Metalik Gold Removable",17.22,1-44:17.22;45:15.50,"live break is at 45 @ £15.50; sheet asks for 45.7 — needs a price at 45.7; break 45.7 is not a multiple of the 5m increment — discount would start at 50"
054CSO1524,45.7,,"NO SUCH SKU",,,,"this Sage code is not in the catalogue"
056SGO1372,45.7,,MOVE,"Kernowjet Metalik Gold Permanent",15.5,1-44:15.50;45:13.95,"live break is at 45 @ £13.95; sheet asks for 45.7 — needs a price at 45.7; break 45.7 is not a multiple of the 5m increment — discount would start at 50"
056SGO1524,45.7,,MOVE,"Kernowjet Metalik Gold Permanent",17.22,1-44:17.22;45:15.50,"live break is at 45 @ £15.50; sheet asks for 45.7 — needs a price at 45.7; break 45.7 is not a multiple of the 5m increment — discount would start at 50"
056SSI1524,45.7,,MOVE,"Kernowjet Metalik Silver Permanent",17.22,1-44:17.22;45:15.50,"live break is at 45 @ £15.50; sheet asks for 45.7 — needs a price at 45.7; break 45.7 is not a multiple of the 5m increment — discount would start at 50"
VEH750,46,7.20,"ALREADY LIVE","Ri-Lam C30 Ultra Clear Vehicle Wrap Laminate",7.36,1-45:7.36;46:7.20,"break 46 is not a multiple of the 5m increment — discount would start at 50"
VEH1370,46,,MOVE,"Ri-Lam C30 Ultra Clear Vehicle Wrap Laminate",12.04,1-49:12.04;50:10.84,"live break is at 50 @ £10.84; sheet asks for 46 — needs a price at 46; break 46 is not a multiple of the 5m increment — discount would start at 50"
VEH1524,46,13.07,"ALREADY LIVE","Ri-Lam C30 Ultra Clear Vehicle Wrap Laminate",13.36,1-45:13.36;46:13.07,"break 46 is not a multiple of the 5m increment — discount would start at 50"
32681370,50,7.63,"ALREADY LIVE","Orajet 3268 Ultra Removable Matt Vinyl",8.38,1-49:8.38;50:7.63,
CB751370,50,15.50,"ALREADY LIVE","ASLAN CB75 Matt Clear Board Film :: 1370mm Wide",17.22,1-49:17.22;50:15.50,
CB901370,50,13.16,"ALREADY LIVE","ASLAN CB90 Clear Board Film :: 1370mm Wide",14.62,1-49:14.62;50:13.16,
CRB911370,50,12.82,"ALREADY LIVE","ASLAN CRB91 rPET Clear Board Film",14.24,1-49:14.24;50:12.82,
CRB911520,50,14.27,"ALREADY LIVE","ASLAN CRB91 rPET Clear Board Film",15.86,1-49:15.86;50:14.27,
DFL201370,50,7.83,"ALREADY LIVE","ASLAN DFL20 Translucent Vinyl",8.7,1-49:8.70;50:7.83,
DFL201520,50,8.68,"ALREADY LIVE","ASLAN DFL20 Translucent Vinyl",9.64,1-49:9.64;50:8.68,
D-VIEW1370,50,,MISSING,"D-View Micro Perforated Vinyl",483.55,,"no break on this SKU — needs a price"
D-VIEW1520,50,,MISSING,"D-View Micro Perforated Vinyl",567.15,,"no break on this SKU — needs a price"
RJ50STA/F1370,50,10.84,"ALREADY LIVE","Ri-Jet C50 Ultimate Slide & Tack Airflow",12.04,1-49:12.04;50:10.84,
RJ50STA/F1524,50,12.02,"ALREADY LIVE","Ri-Jet C50 Ultimate Slide & Tack Airflow",13.36,1-49:13.36;50:12.02,
RJ50STA/F760,50,6.62,"ALREADY LIVE","Ri-Jet C50 Ultimate Slide & Tack Airflow",7.36,1-49:7.36;50:6.62,
SL95,50,13.16,"ALREADY LIVE","ASLAN SL95 Anti Graffiti Laminate",14.62,1-49:14.62;50:13.16,
TRL6001220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 600 White",8.38,1-49:8.38;50:7.37,
TRL6011220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 601 Black",8.38,1-49:8.38;50:7.37,
TRL6041220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 604 Light Grey",8.38,1-49:8.38;50:7.37,
TRL6051220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 605 Dark Grey",8.38,1-49:8.38;50:7.37,
TRL6061220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 606 Light Yellow",8.38,1-49:8.38;50:7.37,
TRL6101220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 610 Yellow",8.38,1-49:8.38;50:7.37,
TRL6201220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 620 Orange",8.38,1-49:8.38;50:7.37,
TRL6271220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 627 Medium Red",8.38,1-49:8.38;50:7.37,
TRL6291220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 629 Light Red",8.38,1-49:8.38;50:7.37,
TRL6301220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 630 Red",8.38,1-49:8.38;50:7.37,
