sage_code,increment_m,price_break_at_m
FF5501370,3,9
131271370,5,25
131281370,5,25
CT113551250,5,25
CT113561250,5,25
CT113571250,5,25
CT113591250,5,25
CT113601250,5,25
CT113641250,5,25
CT113681250,5,25
CT113691250,5,25
CT113711250,5,25
CT113731250,5,25
CT113741250,5,25
CT113771250,5,25
CT113791250,5,25
CT113811250,5,25
CT113821250,5,25
CT113831250,5,25
CT113851250,5,25
CT113881250,5,25
CT113921250,5,25
CT113951250,5,25
DFP251370,5,25
DFP451370,5,25
DFP461370,5,25
DFP471370,5,25
DFP49,5,25
MP3001370,5,25
MP3261370,5,25
MP3301370,5,25
SL051220,5,25
SL981250,5,25
WBL9951370,5,25
054CGO1524,5,45.7
054CSO1524,5,45.7
056SGO1372,5,45.7
056SGO1524,5,45.7
056SSI1524,5,45.7
VEH750,5,46
VEH1370,5,46
VEH1524,5,46
32681370,5,50
CB751370,5,50
CB901370,5,50
CRB911370,5,50
CRB911520,5,50
DFL201370,5,50
DFL201520,5,50
D-VIEW1370,5,50
D-VIEW1520,5,50
RJ50STA/F1370,5,50
RJ50STA/F1524,5,50
RJ50STA/F760,5,50
SL95,5,50
TRL6001220,5,50
TRL6011220,5,50
TRL6041220,5,50
TRL6051220,5,50
TRL6061220,5,50
TRL6101220,5,50
TRL6201220,5,50
TRL6271220,5,50
TRL6291220,5,50
TRL6301220,5,50
TRL6401220,5,50
TRL6451220,5,50
TRL6501220,5,50
TRL6521220,5,50
TRL6531220,5,50
TRL6581220,5,50
TRL6671220,5,50
TRL6701220,5,50
TRL6711220,5,50
TRL6721220,5,50
TRL6731220,5,50
TRL6741220,5,50
TRL6751220,5,50
TRL6761220,5,50
TRL6771220,5,50
TRL6781220,5,50
TRL6791220,5,50
TRL6801220,5,50
TRL6831220,5,50
TRL6891220,5,50
EASYDOTPETSILVER,10,30
GLASSAPPCLEAR,10,30
GLASSAPPFROST,10,30
GLASSAPPSOLAR,10,30
GLASSAPPWHITE,10,30
MICRO-TACC1370,10,30
MICRO-TACW1370,10,30
DFL09G1370,10,50
DFL2001260,10,50
DFL3001370,10,50
DFP041220,10,50
DFP051220,10,50
DFP061370,10,50
DFP071370,10,50
DFP07G1370,10,50
DFP081370,10,50
DFP08G1370,10,50
DFP401370,10,50
DFP411370,10,50
DFP421370,10,50
DRP071370,10,50
RJPET751524,10,50
SL1091370,10,50
SL991370,10,50
SPARKLELAM1200,10,50
SRL96,10,50
TF200,10,50
S62HT,12.5,25
DIGI-FAB1067,15,30
DIGI-FAB1370,15,30
DIGI-FAB1524,15,30
45191370,25,50
RJM1501400,25,50
CANPOL500,25,50
CANPOL760,25,50
CANPOL1067,25,50
CANPOL1370,25,50
CANPOL1520,25,50
CANUNI500,25,50
CANUNI760,25,50
CANUNI1067,25,50
CANUNI1370,25,50
CANUNI1520,25,50
S79625,25,50
S791250,25,50
S69625,25,50
S691250,25,50
64801310,50,100
64801530,50,100
