sku,product,basis,evidence
4000RLA1220,"Conform 4000RLA Low Tack Application Tape. Roll size 1220mm x 100m",A,"4000RLA1220 £145.90 for 1220mm x 100m = £1.20/m² as a roll (£119.59/m² as a metre rate — impossible)"
4050RLA1520,"Conform 4050RLA Medium Tack Application Tape. Roll size 1520mm x 100m",A,"4050RLA1520 £177.10 for 1520mm x 100m = £1.17/m² as a roll (£116.51/m² as a metre rate — impossible)"
4075RLA1220,"Conform 4075RLA High Tack Application Tape. Roll size 1220mm x 91.4m",A,"4075RLA1220 £132.30 for 1220mm x 91.4m = £1.19/m² as a roll (£108.44/m² as a metre rate — impossible)"
4760RLA1370,"Conform 4760RLA Med/High Tack Application Tape. Roll size 1370mm x 100m",A,"4760RLA1370 £194.70 for 1370mm x 100m = £1.42/m² as a roll (£142.12/m² as a metre rate — impossible)"
4761RLA1370,"Conform 4761RLA Med/High Tack Application Tape. Roll size 1370mm x 100m",A,"4761RLA1370 £194.70 for 1370mm x 100m = £1.42/m² as a roll (£142.12/m² as a metre rate — impossible)"
90561270,"Doro 9056 Magnetic Vinyl :: 1270mm x 30m",A,"90561270 £263.50 for 1270mm x 30m = £6.92/m² as a roll (£207.48/m² as a metre rate — impossible)"
9071220,"907 Medium Tack Clear Filmic Tearable Application Tape",A,"9071220 £119.20 for 1220mm x 91.4m = £1.07/m² as a roll (£97.70/m² as a metre rate — impossible)"
908,"908 Medium/High Tack Paper Application Tape. Roll size 1220mm x 91.4m",A,"908 £120.30 for 1220mm x 91.4m = £1.08/m² as a roll (£98.61/m² as a metre rate — impossible)"
SAV150G,"Self-adhesive Gloss Vinyl",C,"SAV150G610 option ""610mm-x-30m-roll"" is a 30m roll | SAV150G914 option ""914mm-x-30m-roll-2"" is a 30m roll"
SL99,"ASLAN SL99 Graffiti Repellent Laminate",C,"SL991370 option ""size-format-1370mm-x-10m"" is a 10m roll | SL99-SZ02 option ""size-format-1370mm-x-50m"" is a 50m roll"
SRL96,"ASLAN SRL96 rPET Anti-Graffiti Laminate",C,"SRL96-SZ01 option ""1370mm-x-10m-roll"" is a 10m roll | SRL96-SZ02 option ""1370mm-x-50m-roll"" is a 50m roll | (no sku) option ""1520mm-x-10m-roll"" is a 10m roll | (no sku) option ""1520mm-x-50m-roll"" is a 50m roll"
DRL191370,"ASLAN DRL19 White printable film made with 30% post-consumer recycled PET",A,"DRL191370 £432.90 for 1370mm x 50m = £6.32/m² as a roll (£315.99/m² as a metre rate — impossible)"
DRP181370,"ASLAN DRP18 Transparent printable film made with 70% post-consumer recycled PET",A,"DRP181370 £397.70 for 1370mm x 50m = £5.81/m² as a roll (£290.29/m² as a metre rate — impossible)"
SRL191370,"ASLAN SRL19 Gloss Laminate made with 70% post-consumer recycled PET",A,"SRL191370 £382.50 for 1370mm x 50m = £5.58/m² as a roll (£279.20/m² as a metre rate — impossible)"
TMO,"ASLAN TMO Clear PVC Application Tape",A,"TMO £341.40 for 1350mm x 50m = £5.06/m² as a roll (£252.89/m² as a metre rate — impossible)"
ATP-GP412WGHTG,"ATP GP412 :: Monomeric High Tack Vinyl 1370mm x 50m",A,"ATP-GP412WGHTG £236.10 for 1370mm x 50m = £3.45/m² as a roll (£172.34/m² as a metre rate — impossible)"
MTBLUE1,"Blue Masking Tape :: 25mm x 50m",A,"MTBLUE1 £1.80 for 25mm x 50m = £1.44/m² as a roll (£72.00/m² as a metre rate — impossible)"
BOSSLAMCRYSTAL,"Boss Crystal Matt Laminate",C,"BOSSLAMCRYSTALMATT650 option ""650mm-x-50m-roll"" is a 50m roll | BOSSLAMCRYSTALMATT1040 option ""1040mm-x-100m-roll"" is a 100m roll | BOSSLAMCRYSTALMATT1370 option ""1370mm-x-50m-roll-2"" is a 50m roll | BOSSLAMCRYSTALMATT1520 option ""1520mm-x-50m-roll-2"" is a 50m roll"
BOSSLAMGLOSS,"Boss Gloss Laminate",C,"BOSSLAMGLOSS760 option ""760mm-x-50m-roll"" is a 50m roll | BOSSLAMGLOSS1040 option ""1040mm-x-50m-roll"" is a 50m roll | BOSSLAMGLOSS1300 option ""1300mm-x-100m-roll"" is a 100m roll | BOSSLAMGLOSS1370 option ""1370mm-x-50m-roll-2"" is a 50m roll"
BOSSLAMUVGLOSS1370,"Boss Gloss Laminate for UVc Inks",A,"BOSSLAMUVGLOSS1370 £200.30 for 1370mm x 50m = £2.92/m² as a roll (£146.20/m² as a metre rate — impossible)"
