bucket,product,option,website_code,michael_answer,what_we_need
"D. OPTIONS NOT BUILT YET","ASLAN Blockout Film",,1004.0,"W151250 / W161250 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (W151250, W161250) but the site has one line here. Confirm the full option list and we will build it."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11355 Yellow Transparent Vinyl","1250mm x 25m Roll",11355-sz02,CT113551250,"CT113551250 is already the code for ""ASLAN CT11355 Yellow Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11356 Golden Yellow Transparent Vinyl","1250mm x 25m Roll",11356-sz02,CT113561250,"CT113561250 is already the code for ""ASLAN CT11356 Golden Yellow Transparent Vinyl - 1250mm x 5m "". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11357 Orange Transparent Vinyl","1250mm x 25m Roll",11357-sz02,CT113571250,"CT113571250 is already the code for ""ASLAN CT11357 Orange Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11359 Dark Red Transparent Vinyl","1250mm x 25m Roll",11359-sz02,CT113591250,"CT113591250 is already the code for ""ASLAN CT11359 Dark Red Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11360 Violet Transparent Vinyl","1250mm x 25m Roll",11360-sz02,CT113601250,"CT113601250 is already the code for ""ASLAN CT11360 Violet Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11364 Mint Green Transparent Vinyl","1250mm x 25m Roll",11364-sz02,CT113641250,"CT113641250 is already the code for ""ASLAN CT11364 Mint Green Transparent Vinyl - 1250mm x 5m Rol"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11368 Dove Grey Transparent Vinyl","1250mm x 25m Roll",11368-sz02,CT113681250,"CT113681250 is already the code for ""ASLAN CT11368 Dove Grey Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11369 Medium Grey Transparent Vinyl","1250mm x 25m Roll",11369-sz02,CT113691250,"CT113691250 is already the code for ""ASLAN CT11369 Medium Grey Transparent Vinyl - 1250mm x 5m Ro"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11371 Bright Yellow Transparent Vinyl","1250mm x 25m Roll",11371-sz02,CT113711250,"CT113711250 is already the code for ""ASLAN CT11371 Bright Yellow Transparent Vinyl - 1250mm x 5m "". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11373 Bright Red Transparent Vinyl","1250mm x 25m Roll",11373-sz02,CT113731250,"CT113731250 is already the code for ""ASLAN CT11373 Bright Red Transparent Vinyl - 1250mm x 5m Rol"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11374 Red Transparent Vinyl","1250mm x 25m Roll",11374-sz02,CT113741250,"CT113741250 is already the code for ""ASLAN CT11374 Red Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11377 Magenta Transparent Vinyl","1250mm x 25m Roll",11377-sz02,CT113771250,"CT113771250 is already the code for ""ASLAN CT11377 Magenta Transparent Vinyl - 1250mm x 5m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11379 Ultra Blue Transparent Vinyl","1250mm x 25m Roll",11379-sz02,CT113791250,"CT113791250 is already the code for ""ASLAN CT11379 Ultra Blue Transparent Vinyl - 1250mm x 5m Rol"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11381 Azure Blue Transparent Vinyl","1250mm x 25m Roll",11381-sz02,CT113811250,"CT113811250 is already the code for ""ASLAN CT11381 Azure Blue Transparent Vinyl - 1250mm x 5m Rol"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"Y. WE CAN APPLY THIS","ASLAN CT11382 Olympic Blue Transparent Vinyl","1250mm x 5m Roll",11382-sz01,CT113821250,"No action needed, the site already carries this code."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11383 Light Blue Transparent Vinyl","1250mm x 5m Roll",11383-sz01,CT113831250,"CT113831250 is already the code for ""ASLAN CT11383 Light Blue Transparent Vinyl - 1250mm x 25m Ro"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11385 Medium Green Transparent Vinyl","1250mm x 5m Roll",11385-sz01,CT113851250,"CT113851250 is already the code for ""ASLAN CT11385 Medium Green Transparent Vinyl - 1250mm x 25m "". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11388 Apple Green Transparent Vinyl","1250mm x 5m Roll",11388-sz01,CT113881250,"CT113881250 is already the code for ""ASLAN CT11388 Apple Green Transparent Vinyl - 1250mm x 25m R"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11392 Blue Transparent Vinyl","1250mm x 5m Roll",11392-sz01,CT113921250,"CT113921250 is already the code for ""ASLAN CT11392 Blue Transparent Vinyl - 1250mm x 25m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN CT11395 Purple Transparent Vinyl","1250mm x 5m Roll",11395-sz01,CT113951250,"CT113951250 is already the code for ""ASLAN CT11395 Purple Transparent Vinyl - 1250mm x 25m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN DFP08 UltraTack Matt","Select Length of Roll — 1370mm x 50m Roll",DFP08-sz02,DFP081370,"You gave DFP081370 here and again on row 90 of your sheet. Only one line can carry it, and which one is your call, not ours."
"Z. ALREADY DONE","ASLAN Glassline Series Colour Selectors","Aslan Glassline Colour Pocket Swatch",Aslan-Glassline-Pocket-Swatch,COLSELGLASSLINEPS,"No action needed, the site already carries this code."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN MP326 Floor Protect Laminate","1370mm x 5m roll",MP326-sz01,MP3261370,"MP3261370 is already the code for ""ASLAN MP326 Floor Protect Laminate - 1370mm x 25m roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"Z. ALREADY DONE","ASLAN MetalEffect Series Colour Selectors","Aslan MetalEffect Colour Pocket Swatch",Aslan-MetalEffect-Pocket-Swatch,COLSELMETALEFFECTPS,"No action needed, the site already carries this code."
"C. ONE CODE, SEVERAL LENGTHS","ASLAN SL99 Graffiti Repellent Laminate","Size / Format — 1370mm x 50m",SL99-sz02,SL991370,"SL991370 is already the code for ""ASLAN SL99 Graffiti Repellent Laminate - Size / Format — 1"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"F. PRICE DOES NOT ADD UP","ASLAN SRL96 rPET Anti-Graffiti Laminate",,SRL96-sz02,"SRL961370 / SRL961520 / TWO OPTIONS, EACH PRICED IN 10M INCREMENTS","Site shows £640.80 but Sage SRL961520 is £15.86, which does not divide evenly. Please confirm which is right."
"B. POINTS AT ANOTHER ROW","ASLAN SRL96 rPET Anti-Graffiti Laminate",,(none),"SEE ABOVE","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"C. ONE CODE, SEVERAL LENGTHS","Anti-static Cleaner","12 x 500ml",ANT-sz02,ANT,"ANT is already the code for ""Anti-static Cleaner"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Black Glitter","1220mm wide — per metre",GL9-sz10,GL9,"GL9 is already the code for ""Black Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Blue Glitter","1220mm wide — per metre",GL11-sz10,GL11,"GL11 is already the code for ""Blue Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Blue Masking Tape :: 50mm x 50m","Carton of 24 rolls",MTBLUE2-sz02,MTBLUE2,"MTBLUE2 is already the code for ""Blue Masking Tape :: 50mm x 50m"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Butter Glitter","1220mm wide — per metre",GL17-sz10,GL17,"GL17 is already the code for ""Butter Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Copper Glitter","1220mm wide — per metre",GL10-sz10,GL10,"GL10 is already the code for ""Copper Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","D-View Micro Perforated Vinyl","1370mm x 5m Roll",D-VIEW-sz01,D-VIEW1370,"D-VIEW1370 is already the code for ""D-View Micro Perforated Vinyl - 1370mm x 50m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
