product,sold_as,codes_and_prices,discount,status,note
ASLAN FF550 Dry Wipe Ferrous Film,"Two options, by the roll.",FF550FERRO 503.80 (1010mm x 12m); FF550FERRO1370 60.90 (1370mm),None given,ASK,
"Banner Bungees, pack of 12","Renamed as you asked. Four options: t-bar or ball end, white or black.","BUNGTEND, BUNGBALL, BUNGTENDBLACK, BUNGBALLBLACK, all 0.70 each in Sage",None given,ASK,
Banner Hemming Tape,Each. Left exactly as it is for now.,46525HEMTAPE at 12.73,5 and over: 11.58,ASK,"Your note says 46525HEMTAPE is now set up, and the website is already using that code, so nothing needs changing. The one thing to confirm is on the question tab: Doro-Fix 465 :: 25mm x 50m is a separate listing at the same 12.73 using 46525."
Doro 9052 Magnetic,On hold at your request.,"90521000, 90521270, 9052M1000, 90521260",n/a,ASK,"You said you would come back to us. One thing to flag: 9052126010 is in the export as DO NOT USE, OBSOLETE."
Moka Glitter,Per metre.,GL16 at 34.64/m,30m and over: 32.90/m,ASK,Everything about this one is settled except the code itself.
Roland Eco Sol Max 2 Inks,Nine options.,ROLINKM2008 95.40; ROLINKM2009 214.20; ROLCLEAN-2 63.00,n/a,ASK,
Roland Eco Sol Max 3 Inks,Eleven options.,the same three codes you gave for Max 2,n/a,ASK,
"Smart Knives (Graphtec, Mimaki, Mutoh, Roland, Summa)","Five products at the moment, each with a new-or-exchange choice.","GSK09V, GSK09F, GSK15F, MSK300V, MSK, MSK500F, MSK750F, RSK, HSK450V, HSK450F, HSK750F. Every one is 25.00.",n/a,ASK,
ASLAN 85K Mask,"Two widths, per metre.",85K1250 6.30; 85K625 3.15,50m and over: 5.67 and 2.84,BUILD,"10%, the rate used across the ASLAN range."
ASLAN Blockout Film,"Now two products, W15 White and W16 Black, two widths each, per metre.",W151250 22.88; W15625 11.44; W161250 22.88; W16625 11.44,25m and over: 20.60 and 10.30 on both,BUILD,"W16 did not exist on the site, so it is a new product built from the W15 one and it currently uses the W15 photograph and datasheet. A W16 image and datasheet would finish it off. You gave no break, so we kept the 25m break of 20.60 the site already had and applied the same ten per cent to the 625mm rate."
ASLAN CT11355 Yellow Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113551250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
