Type,Product,Option,"Post ID","Old value","New value",Result
SKU,"4G Cleaner","5 litre",1924,4G-sz02,4G5,OK
SKU,"903 Medium Tack Clear Filmic Application Tape",,6521,903C1220,9031220,OK
SKU,"907 Medium Tack Clear Filmic Tearable Application Tape",,669,907,9071220,OK
SKU,"A4 Sheets 5 pack - White Aluminium Composite Sheet",,692,12055,ALUPANLITEP,OK
SKU,"ArtWrap QuickPro Canvas 12""x12"" (300mm x 300mm)",,706,18003,QP1212,OK
SKU,"ArtWrap QuickPro Canvas 12x16"" (300mm x 400mm)",,707,18004,QP1216,OK
SKU,"ArtWrap QuickPro Canvas 16x20"" (400mm x 500mm)",,708,18005,QP1620,OK
SKU,"ArtWrap QuickPro Canvas 20x30"" (500mm x 760mm)",,709,18006,QP2030,OK
SKU,"ArtWrap QuickPro Canvas 8""x12"" (200mm x 300mm)",,710,18002,QP812,OK
SKU,"ArtWrap QuickPro Canvas 8""x8"" (200mm x 200mm)",,711,18001,QP88,OK
SKU,"ArtWrap QuickPro Canvas Backboard 12""x12"" (300mm x 300mm)",,699,18009,QPB1212,OK
SKU,"ArtWrap QuickPro Canvas Backboard 12""x16"" (300mm x 400mm)",,700,18010,QPB1216,OK
SKU,"ArtWrap QuickPro Canvas Backboard 16""x20"" (400mm x 500mm)",,701,18011,QPB1620,OK
SKU,"ArtWrap QuickPro Canvas Backboard 20""x30"" (500mm x 760mm)",,702,18012,QPB2030,OK
SKU,"ArtWrap QuickPro Canvas Backboard 8""x12"" (200mm x 300mm)",,703,18008,QPB812,OK
SKU,"ArtWrap QuickPro Canvas Backboard 8""x8"" (200mm x 200mm)",,704,18007,QPB88,OK
SKU,"ArtWrap QuickPro Canvas Bracket Stand",,705,18016,QPB-BB,OK
SKU,"ArtWrap QuickPro Canvas Float Frame 12""x12"" (300mm x 300mm)",,712,18013,QPFF1212,OK
SKU,"ArtWrap QuickPro Canvas Float Frame 12""x16"" (300mm x 400mm)",,713,18014,QPFF1216,OK
SKU,"ArtWrap QuickPro Canvas Float Frame 16""x20"" (400mm x 500mm)",,714,18015,QPFF1620,OK
SKU,"ArtWrap QuickPro Stapler",,715,18017,QPMSR,OK
SKU,"ASLAN 13136S Platinum MetalLux Film",,504,13136,13136S1250,OK
SKU,"ASLAN CT11355 Yellow Transparent Vinyl","1250mm x 5m Roll",3469,11355-sz01,CT113551250,OK
SKU,"ASLAN CT11356 Golden Yellow Transparent Vinyl","1250mm x 5m Roll",3471,11356-sz01,CT113561250,OK
SKU,"ASLAN CT11357 Orange Transparent Vinyl","1250mm x 5m Roll",3473,11357-sz01,CT113571250,OK
SKU,"ASLAN CT11359 Dark Red Transparent Vinyl","1250mm x 5m Roll",3475,11359-sz01,CT113591250,OK
SKU,"ASLAN CT11360 Violet Transparent Vinyl","1250mm x 5m Roll",3477,11360-sz01,CT113601250,OK
SKU,"ASLAN CT11364 Mint Green Transparent Vinyl","1250mm x 5m Roll",3479,11364-sz01,CT113641250,OK
SKU,"ASLAN CT11368 Dove Grey Transparent Vinyl","1250mm x 5m Roll",3481,11368-sz01,CT113681250,OK
SKU,"ASLAN CT11369 Medium Grey Transparent Vinyl","1250mm x 5m Roll",3483,11369-sz01,CT113691250,OK
SKU,"ASLAN CT11371 Bright Yellow Transparent Vinyl","1250mm x 5m Roll",3485,11371-sz01,CT113711250,OK
