"What we need",Product,Option,"Website code","What you wrote","Why we could not action it"
"1. NEED THE ACTUAL SAGE CODE","ASLAN Blockout Film",,1004,"Product need breaking into two seperate products","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11355 Yellow Transparent Vinyl","1250mm x 25m Roll",11355-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11356 Golden Yellow Transparent Vinyl","1250mm x 25m Roll",11356-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11357 Orange Transparent Vinyl","1250mm x 25m Roll",11357-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11359 Dark Red Transparent Vinyl","1250mm x 25m Roll",11359-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11360 Violet Transparent Vinyl","1250mm x 25m Roll",11360-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11364 Mint Green Transparent Vinyl","1250mm x 25m Roll",11364-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11368 Dove Grey Transparent Vinyl","1250mm x 25m Roll",11368-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11369 Medium Grey Transparent Vinyl","1250mm x 25m Roll",11369-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
"1. NEED THE ACTUAL SAGE CODE","ASLAN CT11371 Bright Yellow Transparent Vinyl","1250mm x 25m Roll",11371-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25","You entered an instruction here rather than a Sage code. The item is untouched on the site. Give us the Sage stock code and we will set the pack size / quantity-discount rule up separately."
