"Post ID",Type,Title,SKU,"Old status","New status",Reason
2080,product_variation,"ASLAN SL99 Graffiti Repellent Laminate - Size / Format — FREE SAMPLE",SL99-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3424,product_variation,"Black Glitter",GL9-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3425,product_variation,"Black Glitter",GL9-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3426,product_variation,"Black Glitter",GL9-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3427,product_variation,"Black Glitter",GL9-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3428,product_variation,"Black Glitter",GL9-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3429,product_variation,"Black Glitter",GL9-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3430,product_variation,"Black Glitter",GL9-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3431,product_variation,"Black Glitter",GL9-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3432,product_variation,"Black Glitter",GL9-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3334,product_variation,"Blue Glitter",GL11-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3335,product_variation,"Blue Glitter",GL11-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3336,product_variation,"Blue Glitter",GL11-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3337,product_variation,"Blue Glitter",GL11-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3338,product_variation,"Blue Glitter",GL11-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3339,product_variation,"Blue Glitter",GL11-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3340,product_variation,"Blue Glitter",GL11-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3341,product_variation,"Blue Glitter",GL11-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3342,product_variation,"Blue Glitter",GL11-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3370,product_variation,"Butter Glitter",GL17-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3371,product_variation,"Butter Glitter",GL17-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3372,product_variation,"Butter Glitter",GL17-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3373,product_variation,"Butter Glitter",GL17-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3374,product_variation,"Butter Glitter",GL17-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3375,product_variation,"Butter Glitter",GL17-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3376,product_variation,"Butter Glitter",GL17-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3377,product_variation,"Butter Glitter",GL17-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3378,product_variation,"Butter Glitter",GL17-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3325,product_variation,"Copper Glitter",GL10-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3326,product_variation,"Copper Glitter",GL10-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3327,product_variation,"Copper Glitter",GL10-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3328,product_variation,"Copper Glitter",GL10-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3329,product_variation,"Copper Glitter",GL10-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3330,product_variation,"Copper Glitter",GL10-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3331,product_variation,"Copper Glitter",GL10-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3332,product_variation,"Copper Glitter",GL10-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3333,product_variation,"Copper Glitter",GL10-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3944,product_variation,"F-Sign Platinum 836 Permanent Blue - or 1220mm wide here — full 25 metre roll",P836-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3945,product_variation,"F-Sign Platinum 836 Permanent Blue - or 1220mm wide here — part roll (Airflow Adhesive) - price per metre",P836-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3946,product_variation,"F-Sign Platinum 836 Permanent Blue - or 1220mm wide here — full 25 metre roll (Airflow Adhesive)",P836-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3947,product_variation,"F-Sign Platinum 836 Permanent Blue - Size / Format — part roll - price per metre",P836-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3948,product_variation,"F-Sign Platinum 836 Permanent Blue - Size / Format — full 25 metre roll",P836-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3949,product_variation,"F-Sign Platinum 836 Permanent Blue - Size / Format — part roll (Airflow Adhesive) - price per metre",P836-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3950,product_variation,"F-Sign Platinum 836 Permanent Blue - Size / Format — full 25 metre roll (Airflow Adhesive)",P836-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3388,product_variation,"Gold Glitter",GL5-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3389,product_variation,"Gold Glitter",GL5-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3390,product_variation,"Gold Glitter",GL5-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3391,product_variation,"Gold Glitter",GL5-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3392,product_variation,"Gold Glitter",GL5-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3393,product_variation,"Gold Glitter",GL5-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3394,product_variation,"Gold Glitter",GL5-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3395,product_variation,"Gold Glitter",GL5-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3396,product_variation,"Gold Glitter",GL5-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3343,product_variation,"Green Glitter",GL12-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3344,product_variation,"Green Glitter",GL12-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3345,product_variation,"Green Glitter",GL12-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3346,product_variation,"Green Glitter",GL12-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3347,product_variation,"Green Glitter",GL12-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3348,product_variation,"Green Glitter",GL12-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3349,product_variation,"Green Glitter",GL12-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3350,product_variation,"Green Glitter",GL12-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3351,product_variation,"Green Glitter",GL12-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3352,product_variation,"Magenta Glitter",GL13-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3353,product_variation,"Magenta Glitter",GL13-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3354,product_variation,"Magenta Glitter",GL13-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
