timestamp,parent_id,action,detail
2026-07-15T13:14:30+00:00,671,retire-variation,"#2017 sku=AA14"
2026-07-15T13:14:30+00:00,671,retire-variation,"#2018 sku=Cover Styl' AA14-sz02"
2026-07-15T13:14:30+00:00,671,simple,"AA14 @27.04/m"
timestamp,parent_id,action,detail
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4039 sku=P8551220"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4040 sku=P855-sz02"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4041 sku=P855-sz03"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4042 sku=P855-sz04"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4043 sku=P855-sz05"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4044 sku=P855-sz06"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4045 sku=P855-sz07"
2026-07-15T13:16:19+00:00,1270,retire-variation,"#4046 sku=P855-sz08"
2026-07-15T13:16:19+00:00,1270,variation,"#6752 P855610 [610mm] @3.01/m"
2026-07-15T13:16:19+00:00,1270,variation,"#6753 P855AF610 [610mm AirFlow] @3.38/m"
2026-07-15T13:16:19+00:00,1270,variation,"#6754 P8551220 [1220mm] @6.02/m"
2026-07-15T13:16:19+00:00,1270,variation,"#6755 P855AF1220 [1220mm AirFlow] @6.76/m"
timestamp,parent_id,action,detail
2026-07-15T13:17:08+00:00,443,retire-variation,"#1593 sku=054CGO-sz01"
2026-07-15T13:17:08+00:00,443,retire-variation,"#1594 sku=054CGO-sz02"
2026-07-15T13:17:08+00:00,443,simple,"054CGO1524 @17.22/m"
2026-07-15T13:17:08+00:00,444,retire-variation,"#1595 sku=054CSI-sz01"
2026-07-15T13:17:08+00:00,444,retire-variation,"#1596 sku=054CSI-sz02"
2026-07-15T13:17:08+00:00,444,simple,"054CSI1524 @17.22/m"
2026-07-15T13:17:08+00:00,446,retire-variation,"#1601 sku=056SSI-sz01"
2026-07-15T13:17:08+00:00,446,retire-variation,"#1602 sku=056SSI-sz02"
2026-07-15T13:17:08+00:00,446,simple,"056SSI1524 @17.22/m"
2026-07-15T13:17:08+00:00,449,retire-variation,"#1603 sku=123251370"
2026-07-15T13:17:08+00:00,449,retire-variation,"#1604 sku=12325-sz02"
2026-07-15T13:17:08+00:00,449,simple,"123251370 @40.88/m"
2026-07-15T13:17:08+00:00,450,retire-variation,"#1605 sku=123321370"
2026-07-15T13:17:08+00:00,450,retire-variation,"#1606 sku=12332-sz02"
2026-07-15T13:17:08+00:00,450,simple,"123321370 @40.88/m"
2026-07-15T13:17:08+00:00,451,retire-variation,"#1607 sku=123451370"
2026-07-15T13:17:08+00:00,451,retire-variation,"#1608 sku=12345-sz02"
2026-07-15T13:17:08+00:00,451,simple,"123451370 @40.88/m"
2026-07-15T13:17:08+00:00,452,retire-variation,"#1609 sku=123481370"
2026-07-15T13:17:08+00:00,452,retire-variation,"#1610 sku=12348-sz02"
2026-07-15T13:17:08+00:00,452,simple,"123481370 @40.88/m"
2026-07-15T13:17:08+00:00,453,retire-variation,"#1611 sku=123501370"
2026-07-15T13:17:08+00:00,453,retire-variation,"#1612 sku=12350-sz02"
2026-07-15T13:17:08+00:00,453,simple,"123501370 @40.88/m"
2026-07-15T13:17:08+00:00,454,retire-variation,"#1613 sku=123511370"
2026-07-15T13:17:08+00:00,454,retire-variation,"#1614 sku=12351-sz02"
2026-07-15T13:17:09+00:00,454,simple,"123511370 @40.88/m"
2026-07-15T13:17:09+00:00,455,retire-variation,"#1615 sku=123551370"
2026-07-15T13:17:09+00:00,455,retire-variation,"#1616 sku=12355-sz02"
2026-07-15T13:17:09+00:00,455,simple,"123551370 @40.88/m"
2026-07-15T13:17:09+00:00,456,retire-variation,"#1617 sku=123561370"
2026-07-15T13:17:09+00:00,456,retire-variation,"#1618 sku=12356-sz02"
2026-07-15T13:17:09+00:00,456,simple,"123561370 @40.88/m"
2026-07-15T13:17:09+00:00,457,retire-variation,"#1619 sku=123581370"
2026-07-15T13:17:09+00:00,457,retire-variation,"#1620 sku=12358-sz02"
2026-07-15T13:17:09+00:00,457,simple,"123581370 @40.88/m"
2026-07-15T13:17:09+00:00,458,retire-variation,"#1621 sku=123811370"
2026-07-15T13:17:09+00:00,458,retire-variation,"#1622 sku=12381-sz02"
2026-07-15T13:17:09+00:00,458,simple,"123811370 @40.88/m"
2026-07-15T13:17:09+00:00,459,retire-variation,"#1623 sku=123861370"
2026-07-15T13:17:09+00:00,459,retire-variation,"#1624 sku=12386-sz02"
2026-07-15T13:17:09+00:00,459,simple,"123861370 @40.88/m"
2026-07-15T13:17:09+00:00,460,retire-variation,"#1625 sku=123881370"
2026-07-15T13:17:09+00:00,460,retire-variation,"#1626 sku=12388-sz02"
2026-07-15T13:17:09+00:00,460,simple,"123881370 @40.88/m"
2026-07-15T13:17:09+00:00,461,retire-variation,"#1627 sku=123891370"
2026-07-15T13:17:09+00:00,461,retire-variation,"#1628 sku=12389-sz02"
2026-07-15T13:17:09+00:00,461,simple,"123891370 @40.88/m"
2026-07-15T13:17:09+00:00,462,retire-variation,"#1629 sku=123901370"
2026-07-15T13:17:09+00:00,462,retire-variation,"#1630 sku=12390-sz02"
2026-07-15T13:17:09+00:00,462,simple,"123901370 @40.88/m"
2026-07-15T13:17:09+00:00,463,retire-variation,"#1631 sku=124071370"
2026-07-15T13:17:09+00:00,463,retire-variation,"#1632 sku=12407-sz02"
2026-07-15T13:17:09+00:00,463,simple,"124071370 @28.74/m"
2026-07-15T13:17:09+00:00,464,retire-variation,"#1633 sku=124081370"
2026-07-15T13:17:09+00:00,464,retire-variation,"#1634 sku=12408-sz02"
2026-07-15T13:17:09+00:00,464,simple,"124081370 @28.74/m"
2026-07-15T13:17:09+00:00,465,retire-variation,"#1635 sku=12409-sz01"
2026-07-15T13:17:09+00:00,465,retire-variation,"#1636 sku=12409-sz02"
2026-07-15T13:17:09+00:00,465,simple,"124091370 @28.74/m"
2026-07-15T13:17:09+00:00,466,retire-variation,"#1637 sku=124131370"
2026-07-15T13:17:09+00:00,466,retire-variation,"#1638 sku=12413-sz02"
2026-07-15T13:17:09+00:00,466,simple,"124131370 @28.74/m"
2026-07-15T13:17:09+00:00,467,retire-variation,"#1639 sku=124181370"
2026-07-15T13:17:09+00:00,467,retire-variation,"#1640 sku=12418-sz02"
2026-07-15T13:17:09+00:00,467,simple,"124181370 @28.74/m"
2026-07-15T13:17:09+00:00,468,retire-variation,"#1641 sku=124191370"
2026-07-15T13:17:09+00:00,468,retire-variation,"#1642 sku=12419-sz02"
2026-07-15T13:17:09+00:00,468,simple,"124191370 @28.74/m"
2026-07-15T13:17:09+00:00,469,retire-variation,"#1643 sku=124201370"
2026-07-15T13:17:09+00:00,469,retire-variation,"#1644 sku=12420-sz02"
2026-07-15T13:17:09+00:00,469,simple,"124201370 @28.74/m"
2026-07-15T13:17:09+00:00,470,retire-variation,"#1645 sku=124221370"
2026-07-15T13:17:09+00:00,470,retire-variation,"#1646 sku=12422-sz02"
2026-07-15T13:17:09+00:00,470,simple,"124221370 @28.74/m"
2026-07-15T13:17:09+00:00,471,retire-variation,"#1647 sku=124231370"
2026-07-15T13:17:09+00:00,471,retire-variation,"#1648 sku=12423-sz02"
2026-07-15T13:17:09+00:00,471,simple,"124231370 @28.74/m"
2026-07-15T13:17:09+00:00,477,retire-variation,"#1649 sku=124251370"
2026-07-15T13:17:09+00:00,477,retire-variation,"#1650 sku=12425-sz02"
2026-07-15T13:17:09+00:00,477,simple,"124251370 @28.74/m"
2026-07-15T13:17:09+00:00,478,retire-variation,"#1651 sku=124271370"
2026-07-15T13:17:09+00:00,478,retire-variation,"#1652 sku=12427-sz02"
2026-07-15T13:17:09+00:00,478,simple,"124271370 @28.74/m"
2026-07-15T13:17:09+00:00,479,retire-variation,"#1653 sku=124401370"
2026-07-15T13:17:09+00:00,479,retire-variation,"#1654 sku=12440-sz02"
2026-07-15T13:17:09+00:00,479,simple,"124401370 @28.74/m"
2026-07-15T13:17:09+00:00,480,retire-variation,"#1655 sku=124921370"
2026-07-15T13:17:09+00:00,480,retire-variation,"#1656 sku=12492-sz02"
2026-07-15T13:17:09+00:00,480,simple,"124921370 @28.74/m"
2026-07-15T13:17:09+00:00,494,retire-variation,"#1709 sku=13117-sz01"
2026-07-15T13:17:09+00:00,494,retire-variation,"#1710 sku=13117-sz02"
2026-07-15T13:17:09+00:00,494,simple,"13117K1250 @25.84/m"
2026-07-15T13:17:09+00:00,495,retire-variation,"#1711 sku=13119-sz01"
2026-07-15T13:17:09+00:00,495,retire-variation,"#1712 sku=13119-sz02"
