Product,Option,"Website code","Website price",Issue,"Closest Sage info"
"440gsm Digital Print Banner :: 500mm x 30m",,BN-20_Digital_Banner_440gsm,39.1,"No matching Sage code found",
"4G Cleaner","1 litre",4G-sz01,20.5,"No matching Sage code found",
"4G Cleaner","5 litre",4G-sz02,79.4,"No matching Sage code found",
"900E Medium Tack Application Tape :: Part Roll","100mm x 91.4m",900E-sz02,12.08,"No matching Sage code found","900E — 1220MM X 91.4M 900E APLITAPE PAPER APPLICATION TAPE (£120.3)"
"900E Medium Tack Application Tape :: Part Roll","150mm x 91.4m",900E-sz03,18.11,"No matching Sage code found","900E — 1220MM X 91.4M 900E APLITAPE PAPER APPLICATION TAPE (£120.3)"
"900E Medium Tack Application Tape :: Part Roll","203mm x 91.4m",900E-sz04,24.15,"No matching Sage code found","900E — 1220MM X 91.4M 900E APLITAPE PAPER APPLICATION TAPE (£120.3)"
"900E Medium Tack Application Tape :: Part Roll","305mm x 91.4m",900E-sz05,32.92,"No matching Sage code found","900E — 1220MM X 91.4M 900E APLITAPE PAPER APPLICATION TAPE (£120.3)"
"900E Medium Tack Application Tape :: Part Roll","50mm x 91.4m",900E-sz01,6.04,"No matching Sage code found","900E — 1220MM X 91.4M 900E APLITAPE PAPER APPLICATION TAPE (£120.3)"
"900E Medium Tack Application Tape :: Part Roll","610mm x 91.4m",900E-sz06,65.84,"No matching Sage code found","900E — 1220MM X 91.4M 900E APLITAPE PAPER APPLICATION TAPE (£120.3)"
"900E Medium Tack Paper Application Tape. Roll size 1220mm x 91.4m",,900EMT1220,120.3,"No matching Sage code found",
"903 Clear 100 micron Application Tape :: Part Roll","100mm x 91.4m",903-sz02,11.6,"No matching Sage code found","9031220 — 903 CLEAR PE APPLICATION TAPE 1220MM X 100 (£115.8)"
"903 Clear 100 micron Application Tape :: Part Roll","150mm x 91.4m",903-sz03,17.4,"No matching Sage code found","9031220 — 903 CLEAR PE APPLICATION TAPE 1220MM X 100 (£115.8)"
"903 Clear 100 micron Application Tape :: Part Roll","203mm x 91.4m",903-sz04,23.2,"No matching Sage code found","9031220 — 903 CLEAR PE APPLICATION TAPE 1220MM X 100 (£115.8)"
"903 Clear 100 micron Application Tape :: Part Roll","305mm x 91.4m",903-sz05,31.65,"No matching Sage code found","9031220 — 903 CLEAR PE APPLICATION TAPE 1220MM X 100 (£115.8)"
"903 Clear 100 micron Application Tape :: Part Roll","50mm x 91.4m",903-sz01,5.8,"No matching Sage code found","9031220 — 903 CLEAR PE APPLICATION TAPE 1220MM X 100 (£115.8)"
"903 Clear 100 micron Application Tape :: Part Roll","610mm x 91.4m",903-sz06,63.3,"No matching Sage code found","9031220 — 903 CLEAR PE APPLICATION TAPE 1220MM X 100 (£115.8)"
"903 Medium Tack Clear Filmic Application Tape",,903C1220,115.8,"No matching Sage code found",
"907 Medium Tack Clear Filmic Tearable Application Tape",,907,119.2,"No matching Sage code found","9071220 — 1220MM X 91.4M 907 FILMIC APPLICATION TAPE (£119.2)"
"A4 Sheets 5 pack - 3mm Foamed PVC Sheet",,12056,4.1,"No matching Sage code found",
"A4 Sheets 5 pack - 5mm Foamed PVC Sheet",,Foamed_PVC_5mm,4.2,"No matching Sage code found",
"A4 Sheets 5 pack - White Aluminium Composite Sheet",,12055,6.9,"No matching Sage code found",
"AA15 Grey Line Oak","full roll - 1220mm x 50 mtr","Cover Styl' AA15-sz02",1216.8,"Cover Styl' colour not in the Sage export",
"AA15 Grey Line Oak","part roll - price per mtr at 1220mm","Cover Styl' AA15-sz01",27.04,"Cover Styl' colour not in the Sage export",
"AF03 Line Beige Pine","full roll - 1220mm x 50 mtr","Cover Styl' AF03-sz02",1216.8,"Cover Styl' colour not in the Sage export",
"AF03 Line Beige Pine","part roll - price per mtr at 1220mm","Cover Styl' AF03-sz01",27.04,"Cover Styl' colour not in the Sage export",
"AG20 Cream Pine","full roll - 1220mm x 50 mtr","Cover Styl' AG20-sz02",1216.8,"Cover Styl' colour not in the Sage export",
"AG20 Cream Pine","part roll - price per mtr at 1220mm","Cover Styl' AG20-sz01",27.04,"Cover Styl' colour not in the Sage export",
"AL11 Silver Metal Weaving","full roll - 1220mm x 50 mtr","Cover Styl' AL11-sz02",1922.4,"Cover Styl' colour not in the Sage export",
