product_id,type,old_sku,proposed_sku,sage_desc,sage_price,site_price,strategy,confidence
1739,variation,3101-sz01,,,,5.62,szNN+size-token,"NO MATCH"
1740,variation,3101-sz02,,,,226.22,szNN+size-token,"NO MATCH"
1742,variation,3101-sz04,31011220,"1220MM INDOOR SMOOTH SILVER METALIZED PVC",11.24,452.43,szNN+size-token,"restructure candidate (~40m roll)"
1744,variation,3101-sz06,31011370,"1370MM INDOOR SMOOTH SILVER METALIZED PVC",12.58,506.36,szNN+size-token,"restructure candidate (~40m roll)"
1745,variation,3102-sz01,,,,5.62,szNN+size-token,"NO MATCH"
1746,variation,3102-sz02,,,,226.22,szNN+size-token,"NO MATCH"
1748,variation,3102-sz04,31021220,"1220MM INDOOR SMOOTH GOLD METALIZED PVC",11.24,452.43,szNN+size-token,"restructure candidate (~40m roll)"
1750,variation,3102-sz06,31021370,"1370MM INDOOR SMOOTH GOLD METALIZED PVC",12.58,506.36,szNN+size-token,"restructure candidate (~40m roll)"
1751,variation,410S-sz01,,,,7.51,szNN+size-token,"NO MATCH"
1752,variation,410S-sz02,,,,162.50,szNN+size-token,"NO MATCH"
1757,variation,4221-sz01,,,,9.65,szNN+size-token,"NO MATCH"
1758,variation,4221-sz02,,,,217.25,szNN+size-token,"NO MATCH"
1787,variation,4501-sz01,,,,7.97,szNN+size-token,"NO MATCH"
1788,variation,4501-sz02,,,,174.25,szNN+size-token,"NO MATCH"
1789,variation,4503-sz01,,,,7.97,szNN+size-token,"NO MATCH"
1790,variation,4503-sz02,,,,174.25,szNN+size-token,"NO MATCH"
1791,variation,4508-sz01,4508A4,"A4 SHEET PRO-FLEX SUBLI-BLOCK 4508 RED",1.25,7.97,szNN+unique-prefix,"restructure candidate (~6m roll)"
1792,variation,4508-sz02,4508A4,"A4 SHEET PRO-FLEX SUBLI-BLOCK 4508 RED",1.25,174.25,szNN+unique-prefix,"restructure candidate (~139m roll)"
1795,variation,4510-sz01,,,,7.97,szNN+size-token,"NO MATCH"
1796,variation,4510-sz02,,,,174.25,szNN+size-token,"NO MATCH"
1797,variation,4515-sz01,,,,7.97,szNN+size-token,"NO MATCH"
1798,variation,4515-sz02,,,,174.25,szNN+size-token,"NO MATCH"
1809,variation,466-sz01,,,,6.64,szNN+size-token,"NO MATCH"
1810,variation,466-sz02,,,,132.75,szNN+size-token,"NO MATCH"
1811,variation,469-sz01,,,,6.64,szNN+size-token,"NO MATCH"
1812,variation,469-sz02,,,,132.75,szNN+size-token,"NO MATCH"
1813,variation,4801-sz01,,,,8.07,szNN+size-token,"NO MATCH"
1814,variation,4801-sz02,,,,181.50,szNN+size-token,"NO MATCH"
1815,variation,4802-sz01,,,,8.07,szNN+size-token,"NO MATCH"
1816,variation,4802-sz02,,,,181.50,szNN+size-token,"NO MATCH"
1817,variation,4803-sz01,,,,8.07,szNN+size-token,"NO MATCH"
1818,variation,4803-sz02,,,,181.50,szNN+size-token,"NO MATCH"
1819,variation,4804-sz01,,,,8.07,szNN+size-token,"NO MATCH"
1820,variation,4804-sz02,,,,181.50,szNN+size-token,"NO MATCH"
1821,variation,4806-sz01,,,,8.07,szNN+size-token,"NO MATCH"
1822,variation,4806-sz02,,,,181.50,szNN+size-token,"NO MATCH"
1825,variation,4820-sz01,,,,8.07,szNN+size-token,"NO MATCH"
1826,variation,4820-sz02,,,,181.50,szNN+size-token,"NO MATCH"
1876,variation,4930-sz02,4930500,"POLI-FLEX TURBO 4930 SILVER 500MM",6.99,153.75,szNN+size-token,"restructure candidate (~22m roll)"
1923,variation,4G-sz01,4G,"4G CLEANER 1 LITRE",20.5,20.50,szNN+size-token,"high (price match)"
1924,variation,4G-sz02,4G,"4G CLEANER 1 LITRE",20.5,79.40,szNN+size-token,"restructure candidate (~4m roll)"
1969,variation,7510-sz01,7510500,"7510  PRO-FLOCK BLACK 500MM",11.56,14.93,szNN+unique-prefix,"check price"
1970,variation,7510-sz02,7510500,"7510  PRO-FLOCK BLACK 500MM",11.56,671.75,szNN+unique-prefix,"restructure candidate (~58m roll)"
1971,variation,7510-sz03,7510500,"7510  PRO-FLOCK BLACK 500MM",11.56,29.86,szNN+unique-prefix,"restructure candidate (~3m roll)"
1972,variation,7510-sz04,7510500,"7510  PRO-FLOCK BLACK 500MM",11.56,1343.50,szNN+unique-prefix,"restructure candidate (~116m roll)"
2019,variation,"Cover Styl' AA15-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2020,variation,"Cover Styl' AA15-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2023,variation,"Cover Styl' AF03-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2024,variation,"Cover Styl' AF03-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2031,variation,"Cover Styl' AG20-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2032,variation,"Cover Styl' AG20-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2035,variation,"Cover Styl' AL11-sz01",,,,42.72,szNN+size-token,"NO MATCH"
2036,variation,"Cover Styl' AL11-sz02",,,,1922.40,szNN+size-token,"NO MATCH"
2037,variation,"Cover Styl' AL14-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2038,variation,"Cover Styl' AL14-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2039,variation,"Cover Styl' AL15-sz01",,,,42.72,szNN+size-token,"NO MATCH"
2040,variation,"Cover Styl' AL15-sz02",,,,1922.40,szNN+size-token,"NO MATCH"
2041,variation,"Cover Styl' AL24-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2042,variation,"Cover Styl' AL24-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2049,variation,ANT-sz01,ANT,"ANTI-STATIC CLEANER 500ML",11.4,11.40,szNN+size-token,"high (price match)"
2050,variation,ANT-sz02,ANT,"ANTI-STATIC CLEANER 500ML",11.4,120.36,szNN+size-token,"restructure candidate (~11m roll)"
2056,variation,SAV150G-sz03,,,,232.00,szNN+size-token,"NO MATCH"
2057,variation,SAV150G-sz04,,,,293.00,szNN+size-token,"NO MATCH"
2078,variation,SL99-sz01,SL991370,"TRANSPARENT MATT GRAFFITI REPELLENT LAMINATE 1370MM",17.48,174.80,szNN+size-token,"restructure candidate (~10m roll)"
2079,variation,SL99-sz02,SL991370,"TRANSPARENT MATT GRAFFITI REPELLENT LAMINATE 1370MM",17.48,786.60,szNN+size-token,"restructure candidate (~45m roll)"
2080,variation,SL99-sz03,SL991370,"TRANSPARENT MATT GRAFFITI REPELLENT LAMINATE 1370MM",17.48,0.00,szNN+unique-prefix,"check price"
2081,variation,SRL96-sz01,SRL96,"ASLAN SRL96 PET ANTI GRAFFITI LAMINATE 1370MM",14.24,142.40,szNN+size-token,"restructure candidate (~10m roll)"
2082,variation,SRL96-sz02,SRL96,"ASLAN SRL96 PET ANTI GRAFFITI LAMINATE 1370MM",14.24,640.80,szNN+size-token,"restructure candidate (~45m roll)"
2103,variation,"Cover Styl' B3-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2104,variation,"Cover Styl' B3-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2107,variation,"Cover Styl' B50-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2108,variation,"Cover Styl' B50-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2111,variation,"Cover Styl' B6-sz01",,,,27.04,szNN+size-token,"NO MATCH"
2112,variation,"Cover Styl' B6-sz02",,,,1216.80,szNN+size-token,"NO MATCH"
2117,variation,MTBLUE2-sz01,MTBLUE2,"BLUE MASKING TAPE 50MM X 50M",3.6,3.60,szNN+size-token,"high (price match)"
2118,variation,MTBLUE2-sz02,MTBLUE2,"BLUE MASKING TAPE 50MM X 50M",3.6,77.76,szNN+size-token,"restructure candidate (~22m roll)"
2119,variation,BOSSLAMCRYSTAL-sz01,,,,70.10,szNN+size-token,"NO MATCH"
2120,variation,BOSSLAMCRYSTAL-sz02,,,,204.80,szNN+size-token,"NO MATCH"
2121,variation,BOSSLAMCRYSTAL-sz03,,,,134.90,szNN+size-token,"NO MATCH"
2122,variation,BOSSLAMCRYSTAL-sz04,,,,148.80,szNN+size-token,"NO MATCH"
2129,variation,C11809S-sz01,,,,4.92,szNN+size-token,"NO MATCH"
2130,variation,C11809S-sz02,,,,222.00,szNN+size-token,"NO MATCH"
2131,variation,C11809S-sz03,,,,2.46,szNN+size-token,"NO MATCH"
2132,variation,C11809S-sz04,,,,111.00,szNN+size-token,"NO MATCH"
2133,variation,C11810S-sz01,,,,4.92,szNN+size-token,"NO MATCH"
2134,variation,C11810S-sz02,,,,222.00,szNN+size-token,"NO MATCH"
2135,variation,C11810S-sz03,,,,2.46,szNN+size-token,"NO MATCH"
2136,variation,C11810S-sz04,,,,111.00,szNN+size-token,"NO MATCH"
2147,variation,CF01-sz01,,,,7.69,szNN+size-token,"NO MATCH"
2148,variation,CF01-sz02,,,,173.00,szNN+size-token,"NO MATCH"
2150,variation,CF01-sz04,CF011220,"CF01 PINK FLUORESCENT VINYL 1220MM",15.38,346.00,szNN+size-token,"restructure candidate (~22m roll)"
2155,variation,S.8-sz01,,,,6.80,szNN+size-token,"NO MATCH"
2156,variation,S.8-sz02,,,,6.10,szNN+size-token,"NO MATCH"
2157,variation,S.8-sz03,,,,6.80,szNN+size-token,"NO MATCH"
2158,variation,D-VIEW-sz01,D-VIEW1370,"D-VIEW 200 MICRON PERFORATED VINYL 1372MM",10.18,50.90,szNN+size-token,"restructure candidate (~5m roll)"
2159,variation,D-VIEW-sz02,D-VIEW1370,"D-VIEW 200 MICRON PERFORATED VINYL 1372MM",10.18,483.55,szNN+size-token,"restructure candidate (~48m roll)"
2160,variation,D-VIEW-sz03,D-VIEW1520,"D-VIEW 200 MICRON PERFORATED VINYL 1520MM",11.94,59.70,szNN+size-token,"restructure candidate (~5m roll)"
2161,variation,D-VIEW-sz04,D-VIEW1520,"D-VIEW 200 MICRON PERFORATED VINYL 1520MM",11.94,567.15,szNN+size-token,"restructure candidate (~48m roll)"
2273,variation,4930-sz03,4930500,"POLI-FLEX TURBO 4930 SILVER 500MM",6.99,6.92,szNN+size-token,"check price"
2772,variation,CF01-sz06,CF01203,"203MM CF01 NEON PINK CRAFT VINYL",2.85,2.00,szNN+size-token,"check price"
2773,variation,CF01-sz07,CF01305,"305MM CF01 NEON PINK CRAFT VINYL",4.25,2.98,szNN+size-token,"check price"
2775,variation,CF01-sz09,CF01203,"203MM CF01 NEON PINK CRAFT VINYL",2.85,14.25,szNN+size-token,"restructure candidate (~5m roll)"
2776,variation,10002-sz01,,,,105.00,szNN+size-token,"NO MATCH"
2777,variation,10002-sz02,,,,105.00,szNN+size-token,"NO MATCH"
2778,variation,10002-sz03,,,,105.00,szNN+size-token,"NO MATCH"
2779,variation,10002-sz04,,,,105.00,szNN+size-token,"NO MATCH"
2780,variation,10002-sz05,,,,105.00,szNN+size-token,"NO MATCH"
2781,variation,10002-sz06,,,,105.00,szNN+size-token,"NO MATCH"
2783,variation,10002-sz08,,,,90.00,szNN+size-token,"NO MATCH"
2784,variation,10002-sz09,,,,202.00,szNN+size-token,"NO MATCH"
2785,variation,10002-sz10,,,,63.00,szNN+size-token,"NO MATCH"
2786,variation,10003-sz01,,,,106.00,szNN+size-token,"NO MATCH"
2787,variation,10003-sz02,,,,106.00,szNN+size-token,"NO MATCH"
2788,variation,10003-sz03,,,,106.00,szNN+size-token,"NO MATCH"
2789,variation,10003-sz04,,,,106.00,szNN+size-token,"NO MATCH"
2793,variation,10003-sz08,,,,67.00,szNN+size-token,"NO MATCH"
2794,variation,10003-sz09,,,,67.00,szNN+size-token,"NO MATCH"
2795,variation,10003-sz10,,,,67.00,szNN+size-token,"NO MATCH"
2796,variation,10003-sz11,,,,67.00,szNN+size-token,"NO MATCH"
2797,variation,10003-sz12,,,,90.00,szNN+size-token,"NO MATCH"
2798,variation,10003-sz13,,,,202.00,szNN+size-token,"NO MATCH"
2799,variation,10003-sz14,,,,63.00,szNN+size-token,"NO MATCH"
