Stock Code,Description,Cat,Sales Price
054CGO1524,KERNOWJET 054CGO METALIK GOLD REMOVABLE 1524MM,26,17.220
054CSI1524,KERNOWJET 054CSI METALIK SILVER REMOVABLE 1524MM,26,17.220
056SGO1372,KERNOWJET 056SGO METALIK GOLD PERMANENT 1372MM,26,15.500
056SGO1524,KERNOWJET 056SGO METALIK GOLD PERMANENT 1524MM,26,17.220
056SSI1524,KERNOWJET 056SSI METALIK SILVER PERMANENT 1524MM,26,17.220
123251370,ASLAN SC12325 LIGHT GOLD SPARKLE COLOUR 1370MM,73,40.880
123321370,ASLAN SC12332 HOT PINK SPARKLE COLOUR 1370MM,73,40.880
123451370,ASLAN SC12345 SKY BLUE SPARKLE COLOUR 1370MM,73,40.880
123481370,ASLAN SC12348 BABY PINK SPARKLE COLOUR 1370MM,73,40.880
123501370,ASLAN SC12350 SILVER SPARKLE COLOUR 1370MM,73,40.880
123511370,ASLAN SC12351 GOLD SPARKLE COLOUR 1370MM,73,40.880
123551370,ASLAN SC12355 GREEN SPARKLE COLOUR 1370MM,73,40.880
123561370,ASLAN SC12356 RED SPARKLE COLOUR 1370MM,73,40.880
123581370,ASLAN SC12358 BLACK SPARKLE COLOUR 1370MM,73,40.880
123811370,ASLAN SC12381 BABY BLUE SPARKLE COLOUR 1370MM,73,40.880
123861370,ASLAN SC12386 ROSE GOLD SPARKLE COLOUR 1370MM,73,40.880
123881370,ASLAN SC12388 WHITE SPARKLE COLOUR 1370MM,73,40.880
123891370,ASLAN SC12389 ROYAL BLUE SPARKLE COLOUR 1370MM,73,40.880
123901370,ASLAN SC12390 CHAMPAGNE SPARKLE COLOUR 1370MM,73,40.880
124071370,ASLAN CC12407 ANTHRACITE CARESS COLOUR 1370MM,73,28.740
124081370,ASLAN CC12408 WHITE CARESS COLOUR 1370MM,73,28.740
124091200,ASLAN CC12409 RED CARESS COLOUR 1200MM,73,14.290
124091370,ASLAN CC12409 RED CARESS COLOUR 1370MM,73,28.740
124131370,ASLAN CC12413 BLUE CARESS COLOUR 1370MM,73,28.740
124181370,ASLAN CC12418 BLACK CARESS COLOUR 1370MM,73,28.740
124191370,ASLAN CC12419 LEMON CARESS COLOUR 1370MM,73,28.740
124201370,ASLAN CC12420 NEON YELLOW CARESS COLOUR 1370MM,73,28.740
124221370,ASLAN CC12422 ORANGE CARESS COLOUR 1370MM,73,28.740
124231370,ASLAN CC12423 MAGENTA CARESS COLOUR 1370MM,73,28.740
124251370,ASLAN CC12425 NEON GREEN CARESS COLOUR 1370MM,73,28.740
124271370,ASLAN CC12427 GREY CARESS COLOUR 1370MM,73,28.740
124401370,ASLAN CC12440 GREEN CARESS COLOUR 1370MM,73,28.740
124921370,ASLAN CC12492 NEON ORANGE CARESS COLOUR 1370MM,73,28.740
13100S1250,ASLAN SE75 13100S MIRROR SILVER EFFECT FILM 1250MM,22,56.480
13100SA1250,ASLAN SE76  MIRROR SILVER EFFECT 1250MM - EASY APPLY,22,56.480
13101K1250,ASLAN CA23 13101K ROSE GOLD 1250MM,22,19.940
13101K625,ASLAN CA23 13101K ROSE GOLD 625MM,22,9.970
13102K1250,ASLAN CA23 13102K MIRROR SILVER 1250MM,22,19.940
13102K625,ASLAN CA23 13102K  MIRROR SILVER 625MM,22,9.970
