Category,Product,Option,"Website code","Website price",Issue,"Closest Sage info","Notes / action needed"
"CHANGED - FYI","Banner Hemming Tape",,Banner_Hemming_Tape,12.73,"No matching Sage code found",,"Sage code 46525 is already used by Doro-Fix 465, and WooCommerce requires unique SKUs across all products/variations, so this could not share 46525 as-is. We have set this product's SKU to your suggested fallback, 46525HEMTAPE — already live on the site, no action needed unless you want a different code."
"DECISION NEEDED","ASLAN Blockout Film",,1004,22.88,"No matching Sage code found",,"You noted this product needs breaking into two separate products. Please confirm the split (e.g. by size/format) and the Sage code for each resulting product."
"PRICE CORRECTION - PLEASE CONFIRM","Rectangular Wall Sign",,WSRE,25.3,"Price differs from Sage (£27.80)","WALL SIGN - RECTANGULAR. WIDTH 575MM, HEIGHT 417MM","Website price £25.3 vs Sage £27.80 — please confirm we should update the website price to £27.80."
"PRICE CORRECTION - PLEASE CONFIRM","Ri-Jet 75 Hi-Grip",,RJ75HG1370,314,"Price differs from Sage (£329.70)","RI-JET 75 WHITE GLOSS HIGH GRIP 1370MM X 50M","Website price £314 vs Sage £329.70 — please confirm we should update the website price to £329.70."
"REMOVE PRODUCT - PLEASE CONFIRM","Polyester Protection Film",,CHEVTAPE,285.25,"Price differs from Sage (£3.90)","CHEVRON WARNING TAPE BLACK / YELLOW 50MM X 33M","Closest Sage match is Chevron Warning Tape at a very different price (£3.90 vs website £285.25) — please confirm this product should be removed from the site rather than relinked."
"NEW SKU SETUP NEEDED","ASLAN SRL96 rPET Anti-Graffiti Laminate",,(none),158.6,"No code on website",,"No website code exists yet for this option (price £158.6). Please confirm the Sage code(s) and roll length so we can add it as a proper product option."
"NEW SKU SETUP NEEDED","ASLAN SRL96 rPET Anti-Graffiti Laminate",,(none),713.7,"No code on website",,"No website code exists yet for this option (price £713.7). Please confirm the Sage code(s) and roll length so we can add it as a proper product option."
"NEEDS SAGE CODE - NOTE",,,,,,,"31 products previously listed here have since been red-marked by Mark in his review pass and are now covered in the newer follow-up file (sage_review_followup_for_mark.csv) instead, since his red-marking suggests these may be obsolete rather than simply missing a code. Only the 20 products below are still genuinely open and unaddressed by his review."
"NEEDS SAGE CODE","Art Grade Cotton Canvas :: 500mm x 15m",,BN-20_Digital_Artist_Canvas,53.7,"No matching Sage code found",,
"NEEDS SAGE CODE","Digital Print Media for Eco-Solvent, UV &#038; Latex Inks","Digital Print Media for Eco-Solvent, UV & Latex Inks - 1370mm x 25m Print N Go Floor Graphic Vinyl for Eco-Solvent, UV &amp; Latex Inks - R9 Slip Resistance",SALE_Digital_Print_Vinyl_DFP33_1370,155,"No matching Sage code found",,
