Status,Product,Option,"Website code (old)","Your SKU / Resolution",Price,"What we did / what we need from you"
"NOT APPLIED - PRODUCT REMOVED","440gsm Digital Print Banner :: 500mm x 30m",,BN-20_Digital_Banner_440gsm,DIGBA440500,39.1,"You gave the Sage code ""DIGBA440500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"FYI - CODE ALREADY ON THE PRODUCT","4G Cleaner","1 litre",4G-sz01,4G,20.5,"Sage code ""4G"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"DONE - SAGE CODE APPLIED","4G Cleaner","5 litre",4G-sz02,4G5,79.4,"SKU on the site changed from ""4G-sz02"" to your Sage code ""4G5"". No further action needed."
"PLEASE CONFIRM - DELETE FROM SITE?","900E Medium Tack Application Tape :: Part Roll","100mm x 91.4m",900E-sz02,,12.08,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","900E Medium Tack Application Tape :: Part Roll","150mm x 91.4m",900E-sz03,,18.11,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","900E Medium Tack Application Tape :: Part Roll","203mm x 91.4m",900E-sz04,,24.15,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","900E Medium Tack Application Tape :: Part Roll","305mm x 91.4m",900E-sz05,,32.92,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","900E Medium Tack Application Tape :: Part Roll","50mm x 91.4m",900E-sz01,,6.04,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","900E Medium Tack Application Tape :: Part Roll","610mm x 91.4m",900E-sz06,,65.84,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"CONFLICT - CODE USED ELSEWHERE","900E Medium Tack Paper Application Tape. Roll size 1220mm x 91.4m",,900EMT1220,900E,120.3,"Sage code ""900E"" is already in use by a different item on the site (""900E Medium Tack Application Tape :: Part Roll""). Please confirm which product should own this code."
"PLEASE CONFIRM - DELETE FROM SITE?","903 Clear 100 micron Application Tape :: Part Roll","100mm x 91.4m",903-sz02,,11.6,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","903 Clear 100 micron Application Tape :: Part Roll","150mm x 91.4m",903-sz03,,17.4,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","903 Clear 100 micron Application Tape :: Part Roll","203mm x 91.4m",903-sz04,,23.2,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","903 Clear 100 micron Application Tape :: Part Roll","305mm x 91.4m",903-sz05,,31.65,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","903 Clear 100 micron Application Tape :: Part Roll","50mm x 91.4m",903-sz01,,5.8,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","903 Clear 100 micron Application Tape :: Part Roll","610mm x 91.4m",903-sz06,,63.3,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"DONE - SAGE CODE APPLIED","903 Medium Tack Clear Filmic Application Tape",,903C1220,9031220,115.8,"SKU on the site changed from ""903C1220"" to your Sage code ""9031220"". No further action needed."
"DONE - SAGE CODE APPLIED","907 Medium Tack Clear Filmic Tearable Application Tape",,907,9071220,119.2,"SKU on the site changed from ""907"" to your Sage code ""9071220"". No further action needed."
"NOT APPLIED - CANNOT FIND PRODUCT","A4 Sheets 5 pack - 3mm Foamed PVC Sheet",,12056,FOAMW3P,4.1,"You gave Sage code ""FOAMW3P"", but we could not find a live item on the site with the old code ""12056"" (it may have been renamed or restructured since the export). Please confirm this product still exists."
"NOT APPLIED - CANNOT FIND PRODUCT","A4 Sheets 5 pack - 5mm Foamed PVC Sheet",,Foamed_PVC_5mm,FOAMW5P,4.2,"You gave Sage code ""FOAMW5P"", but we could not find a live item on the site with the old code ""Foamed_PVC_5mm"" (it may have been renamed or restructured since the export). Please confirm this product still exists."
"DONE - SAGE CODE APPLIED","A4 Sheets 5 pack - White Aluminium Composite Sheet",,12055,ALUPANLITEP,6.9,"SKU on the site changed from ""12055"" to your Sage code ""ALUPANLITEP"". No further action needed."
"DONE - REMOVED FROM SITE","AA15 Grey Line Oak","full roll - 1220mm x 50 mtr","Cover Styl' AA15-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AA15 Grey Line Oak","part roll - price per mtr at 1220mm","Cover Styl' AA15-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AF03 Line Beige Pine","full roll - 1220mm x 50 mtr","Cover Styl' AF03-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AF03 Line Beige Pine","part roll - price per mtr at 1220mm","Cover Styl' AF03-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AG20 Cream Pine","full roll - 1220mm x 50 mtr","Cover Styl' AG20-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AG20 Cream Pine","part roll - price per mtr at 1220mm","Cover Styl' AG20-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL11 Silver Metal Weaving","full roll - 1220mm x 50 mtr","Cover Styl' AL11-sz02",,1922.4,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL11 Silver Metal Weaving","part roll - price per mtr at 1220mm","Cover Styl' AL11-sz01",,42.72,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL14 Traditional Oak","full roll - 1220mm x 50 mtr","Cover Styl' AL14-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL14 Traditional Oak","part roll - price per mtr at 1220mm","Cover Styl' AL14-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL15 Yellow Gold","full roll - 1220mm x 50 mtr","Cover Styl' AL15-sz02",,1922.4,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL15 Yellow Gold","part roll - price per mtr at 1220mm","Cover Styl' AL15-sz01",,42.72,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL24 Bleach Ash","full roll - 1220mm x 50 mtr","Cover Styl' AL24-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","AL24 Bleach Ash","part roll - price per mtr at 1220mm","Cover Styl' AL24-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"FYI - CODE ALREADY ON THE PRODUCT","Anti-static Cleaner","1 x 500ml",ANT-sz01,ANT,11.4,"Sage code ""ANT"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Anti-static Cleaner","12 x 500ml",ANT-sz02,"Q DISC FOR 12",120.36,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 12""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"STILL NEEDS A SAGE CODE","Art Grade Cotton Canvas :: 500mm x 15m",,BN-20_Digital_Artist_Canvas,,53.7,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas 12""x12"" (300mm x 300mm)",,18003,QP1212,3.7,"SKU on the site changed from ""18003"" to your Sage code ""QP1212"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas 12x16"" (300mm x 400mm)",,18004,QP1216,4.4,"SKU on the site changed from ""18004"" to your Sage code ""QP1216"". No further action needed."
