SKU,Images
ROLLEPRO,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Rollepro.png, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Rollepro_Side.png, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Rollepro-Wall.png"
1,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/001_White.png
054CGO,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Kernow_Metalik_Gold_Removable.jpg
054CSI,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Kernow_Metalik_Silver_Removable.jpg
056SGO,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Kernow_Metalik_Gold_Permanent.jpg
056SSI,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Kernow_Metalik_Silver_Permanent.jpg
100,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/100_Lemon.png
110,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/110_Yellow.png
12325,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12325-Light-Gold.jpg
12332,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12332-Hot-Pink.jpg
12345,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12345-Sky-Blue.jpg
12348,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12348-Baby-Pink.jpg
12350,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12350-Silver.jpg
12351,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12351-Gold.jpg
12355,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12355-Green.jpg
12356,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12356-Red.jpg
12358,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12358-Black.jpg
12381,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12381-Baby-Blue.jpg
12386,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12386-Rose-Gold.jpg
12388,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12388-Rainbow-White.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12388-Rainbow-White-Printed.jpg"
12389,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12389-Royal-Blue.jpg
12390,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12390-Champagne.jpg
12407,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12407_Anthracite.jpg
12408,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12408_White.jpg
12409,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12409_Red.jpg
12413,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12413_Blue.jpg
12418,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12418_Black.jpg
12419,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12419_Lemon.jpg
12420,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12420_Neon_Yellow.jpg
12422,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12422_Orange.jpg
12423,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12423_Magenta.jpg
12425,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12425_Neon_Green.jpg
12427,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12427_Grey.jpg
12440,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12440_Green.jpg
12492,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/12492_Neon_Orange.jpg
13101,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13101-Polished-Rose-Gold.png
13102,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13102-Polished-Silver.png
13103,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13103-Polished-Gold.png
13104,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13104-Brushed-Aluminium.png
13105,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13105-Brushed-Copper.png
13106,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13106-Brushed-Gold.png
13107,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13107-Polished-Copper.png
13109,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13109-Brushed-Steel.png
13111,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13111-Cherry.png
13112,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13112-Emerald.png
13113,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13113-Violet.png
13114,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13114-Azure.png
13115,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13115-Magenta.png
13117,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13117-Polished-Gold.png
13119,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13119-Polished-Silver.png
13122,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13122-Steel.png
13123,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13123-Gun-Metal.png
13124,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13124-Brushed-Aluminium.png
13125,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13125-Brushed-Copper.png
13126,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13126-Brushed-Gold.png
13127,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13127-Silver.jpg
13128,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13128-Gold.jpg
13129,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13129-Brushed-Steel.png
13136,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13136-Platinum.png
13140S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Dichroic_Nebula_Store.png, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Dichroic_Nebula.png, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Dichroic_Nebula_Pro_Mobile.png, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Nebula_Applying.jpg"
13141S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Solar_Shein.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Dichroic_Solar.png, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Solar_Applying.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Solar_Window.jpg"
13144S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Andromeda_Exhibition.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Dichroic_Andromeda.png"
13145S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Plasma_Retail.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Dichroic_Plasma.png"
13150S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/SE72_Window.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/13150-Silver-Holographic.png"
13152S,http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/SE74_Instore.jpg
13155S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Luna_Retail.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/ASLAN_13155_LUNA.jpg"
13156S,"http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/Nova_Office.jpg, http://localhost/dorotape_wordpresscms/wp-content/uploads/kryptronic-media/media/ecom/prodlg/ASLAN_13156_NOVA.jpg"
