original_sku,assigned_sku,name,reason
13142S,13142S-v1,ASLAN SE71 Aurora Opaque Dichroic Film,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
13142S,13142S-v2,ASLAN SE71 Aurora Opaque Dichroic Film,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
13143S,13143S-v1,ASLAN SE71 Alpha Opaque Dichroic Film,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
13143S,13143S-v2,ASLAN SE71 Alpha Opaque Dichroic Film,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
4520,4520-v1,Ritrama Ri-Jet M150 White Static Cling Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
4520,4520-v2,White Static Cling Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
4520,4520-v3,White Static Cling Vinyl  :: 685mm Width,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
4520,4520-v4,White Static Cling Vinyl :: 1370mm Width,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
900E,900E-v1,900E Medium Tack Paper Application Tape. Roll size 1220mm x 91.4m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
900E,900E-v2,900E Medium Tack Application Tape :: Part Roll,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
903,903-v1,903 Medium Tack Clear Filmic Application Tape,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
903,903-v2,903 Clear 100 micron Application Tape :: Part Roll,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
BUNG,BUNG-v1,Pack of 12 White Banner Bungees,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
BUNG,BUNG-v2,Pack of 12 Black Banner Bungees,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
46525,46525-v1,Banner Hemming Tape,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
46525,46525-v2,Doro-Fix 465 :: 25mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
46525,46525-v3,Doro-Fix 465 :: 50mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
CANUNI,CANUNI-v1,Art Grade Cotton Canvas :: 500mm x 15m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
CANUNI,CANUNI-v2,Universal Canvas,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DIGBA440,DIGBA440-v1,440gsm Digital Print Banner :: 500mm x 30m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DIGBA440,DIGBA440-v2,Digi-Banner 440,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
CANPOL,CANPOL-v1,Polyester Canvas :: 500mm x 25m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
CANPOL,CANPOL-v2,Poly Canvas,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP810,PP810-v1,PP810 Economy Gloss Laminating Film :: 500mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
