Type,SKU,Name,Published,Visibility in catalog,In stock?,Stock,Backorders allowed?,Regular price,Sale price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_price_tiers,meta:_kryp_prodnum
variation,054CGO-sz01,Kernowjet Metalik Gold Removable - part roll - 1524mm x 5m roll,1,visible,1,,0,82.75,,054CGO,1524mm wide,part roll - 1524mm x 5m roll,1,1,,054CGO
variation,054CGO-sz02,Kernowjet Metalik Gold Removable - full 45.7 mtr roll,1,visible,1,,0,680.70,,054CGO,1524mm wide,full 45.7 mtr roll,1,1,,054CGO
variation,054CSI-sz01,Kernowjet Metalik Silver Removable - part roll - 1524mm x 5m roll,1,visible,1,,0,82.75,,054CSI,1524mm wide,part roll - 1524mm x 5m roll,1,1,,054CSI
variation,054CSI-sz02,Kernowjet Metalik Silver Removable - full 45.7 mtr roll,1,visible,1,,0,680.70,,054CSI,1524mm wide,full 45.7 mtr roll,1,1,,054CSI
variation,056SGO-sz01,Kernowjet Metalik Gold Permanent - 1372mm wide — part roll - 1372mm x 5m roll,1,visible,1,,0,74.50,,056SGO,Size / Format,1372mm wide — part roll - 1372mm x 5m roll,1,1,,056SGO
variation,056SGO-sz02,Kernowjet Metalik Gold Permanent - 1372mm wide — full 45.7 mtr roll,1,visible,1,,0,612.84,,056SGO,Size / Format,1372mm wide — full 45.7 mtr roll,1,1,,056SGO
variation,056SGO-sz03,Kernowjet Metalik Gold Permanent - 1524mm wide — part roll - 1524mm x 5m roll,1,visible,1,,0,82.75,,056SGO,Size / Format,1524mm wide — part roll - 1524mm x 5m roll,1,1,,056SGO
variation,056SGO-sz04,Kernowjet Metalik Gold Permanent - 1524mm wide — full 45.7 mtr roll,1,visible,1,,0,680.70,,056SGO,Size / Format,1524mm wide — full 45.7 mtr roll,1,1,,056SGO
variation,056SSI-sz01,Kernowjet Metalik Silver Permanent - part roll - 1524mm x 5m roll,1,visible,1,,0,82.75,,056SSI,1524mm wide,part roll - 1524mm x 5m roll,1,1,,056SSI
variation,056SSI-sz02,Kernowjet Metalik Silver Permanent - full 45.7 mtr roll,1,visible,1,,0,680.70,,056SSI,1524mm wide,full 45.7 mtr roll,1,1,,056SSI
variation,12325-sz01,ASLAN Sparkle Colour 12325 Light Gold - per metre,1,visible,1,,0,38.90,,12325,1370mm wide,per metre,1,1,,12325
variation,12325-sz02,ASLAN Sparkle Colour 12325 Light Gold - per 25m roll,1,visible,1,,0,924.00,,12325,1370mm wide,per 25m roll,1,1,,12325
variation,12332-sz01,ASLAN Sparkle Colour 12332 Hot Pink - per metre,1,visible,1,,0,38.90,,12332,1370mm wide,per metre,1,1,,12332
