Type,SKU,Regular price,Sale price,meta:_price_tiers,meta:_price_poa
simple,4030,6.64,,1-24:6.64;25:5.98,
simple,4010,8.65,,1-24:8.65;25:7.79,
simple,1023,14.08,,1-24:14.08; 25:12.68,
simple,PF2,101.95,,101.95,
simple,PTA,4.26,,1-49:4.26;50:3.84,
simple,PTAAF,9.76,,1-49:9.76;50:8.78,
simple,S62,120.00,,1-2:120;3-5:105.60;6-11:102.00;12:96,
simple,ENVLAMG1370,167.00,,167.00,
simple,4050RLA,177.10,,1-4:177.10;5-9:170.02;10:162.93,
simple,S64,9.52,,1-24:9.52; 25:8.19,
simple,ATP-GP412,236.10,,236.10,
simple,200,11.56,,1-24:11.56;25:10.40,
simple,4000RLA,145.90,,1-4:145.90;5-9:140.06;10:134.23,
simple,13142S,30.20,,1-24:30.20;25:28.38,
simple,730,11.56,,1-24:11.56;25:10.40,
simple,DJ200,153.50,,153.50,
simple,ECO-W,51.10,,51.10,
simple,13143S,33.68,,1-24:33.68;25:31.66,
simple,RP35,32.84,,1-24:32.84; 25:29.56,
simple,PTF,8.00,,1-49:8.00;50:7.20,
simple,4030,9.96,,1-24:9.96;25:8.96,
simple,FF410,218.00,,218.00,
simple,BOO,130.30,,130.30,
simple,PP800,57.40,,57.40,
simple,4761RLA,194.70,,1-4:194.70;5-9:186.91;10:179.12,
simple,FF480,277.70,,277.70,
simple,85K,6.30,,1-49:6.30;50:5.04,
simple,FF410,221.90,,221.90,
simple,TMO,341.40,,1-4:341.40;5:324.34,
simple,13150S,14.24,,1-24:14.24;25:12.82,
simple,EL300,11.70,,1-49:11.70;50:10.30,
simple,S64,19.04,,1-24:19.04;25:16.38,
simple,P20,116.95,,116.95,
simple,PTF,4.00,,1-49:4.00;50:3.60,
simple,PP810,57.40,,57.40,
simple,13142S,33.68,,1-24:33.68;25:31.66,
simple,S66,14.00,,1-24:14.00;25:12.32,
simple,1004,11.44,,1-24:11.44; 25:10.30,
simple,CR63,12.74,,1-24:12.74; 25:11.47,
simple,4760RLA,194.70,,1-4:194.70;5-9:186.91;10:179.12,
simple,907,119.20,,1-4:119.20;5-9:112.05;104.90,
simple,250,11.56,,1-24:11.56;25:10.40,
simple,FF550,503.80,,503.80,
simple,13140S,29.30,,1-49:29.30;50:27.54,
simple,S41,122.25,,122.25,
simple,13152S,14.24,,1-24:14.24;25:12.82,
simple,3017,4.30,,4.30,
simple,4785,13.36,,1-24:13.36;25:12.69,
simple,13143S,30.20,,1-24:30.20;25:28.38,
simple,DFP07,110.25,,110.25,
simple,4625,7.22,,1-24:7.22;25:6.50,
simple,WB995,29.18,,1-24:29.18; 25:26.26,
simple,SRL191370,382.50,,382.50,
simple,SEA2,14.40,,14.40,
simple,900E,120.30,,1-4:120.30;5-9:115.49;10:110.68,
simple,S62,80.00,,1-2:80.00;3-5:70.40;6-11:68.00;12:64.00,
simple,AB1,92.30,,92.30,
simple,S66,7.00,,1-24:7.00;25:6.16,
simple,PP1200,77.20,,77.20,
simple,PP805,57.40,,57.40,
simple,PTAS,8.52,,1-49:8.52;50:7.68,
simple,4010,12.99,,1-24:12.99;25:11.69,
simple,180,11.56,,1-24:11.56;25:10.40,
simple,FF490,60.90,,1-8:60.90;9:54.80,
simple,1023,7.04,,1-24:7.04; 25:6.34,
simple,S68,5.87,,1-24:5.87;25:5.17,
simple,PTA,10.60,,1-49:10.60;50:9.54,
simple,SW2,70.70,,70.70,
simple,DRL191370,432.90,,432.90,
simple,ASLFELT2,4.10,,1-4:4.10;5:3.85,
simple,1004,22.88,,1-24:22.88; 25:20.60,
simple,18017,17.40,,17.40,
simple,DIGI-FAB,76.90,,76.90,
simple,ASLFELT,3.60,,1-4:3.60;5:3.38,
simple,ENVLAMM1370,167.00,,167.00,
simple,PTAS,10.60,,1-49:10.60;50:9.54,
simple,BT300,419.56,,419.56,
simple,PTF,9.96,,1-49:9.96;50:8.96,
simple,EBL300,22.00,,1-24:22.00;25:19.80,
simple,85K,3.15,,1-49:3.15;50:2.52,
simple,PTA,8.52,,1-49:8.52;50:7.68,
simple,PP1230,77.20,,77.20,
simple,4075RLA,132.30,,1-4:132.30;5-9:127.00;10:121.72,
simple,110,11.56,,1-24:11.56;25:10.40,
simple,E210,12.26,,1-49:12.26;50:11.04,
simple,1,11.56,,1-24:11.56;25:10.40,
simple,ENVPRINTG1370,188.60,,188.60,
simple,EL300,14.14,,1-49:14.14;50:12.44,
simple,4625,10.83,,1-24:10.83;25:9.75,
simple,S41,244.50,,244.50,
simple,FJ115,133.50,,133.50,
simple,RP36,57.40,,1-24:57.40; 25:51.66,
simple,210,11.56,,1-24:11.56;25:10.40,
simple,EFX,5.62,,1-44:5.62;45:4.95,
simple,DRP181370,397.70,,397.70,
simple,13155S,37.54,,1-24:37.54;25:33.80,
simple,SW2P,85.80,,85.80,
simple,EL300,5.85,,1-49:5.85;50:5.15,
simple,WB975,31.34,,1-24:31.34; 25:28.21,
simple,S68,11.74,,1-24:11.74;25:10.34,
simple,PTAS,4.26,,1-49:4.26;50:3.84,
simple,310,11.56,,1-24:11.56;25:10.40,
simple,13156S,37.54,,1-24:37.54;25:33.8,
simple,RJ100CLEAR,183.50,,183.50,
simple,13144S,30.20,,1-24:30.20;25:28.38,
simple,100,11.56,,1-24:11.56;25:10.40,
simple,C61,15.42,,1-24:15.42; 25:13.88,
simple,908,120.30,,1-4:120.30;5-9:115.49;10:110.68,
simple,FF540,55.86,,1-8:55.86;9:50.27,
simple,S62,240.00,,1-2:240.00;3-5:211.20;6-11:204;12:192,
simple,ENVPRINTM1370,188.60,,188.60,
