Type,SKU,Regular price,Sale price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_price_tiers,Published,Visibility in catalog,In stock?,Backorders allowed?
variation,054CGO-sz01,86.10,,054CGO,1524mm wide,part roll - 1524mm x 5m roll,1,1,,1,visible,1,0
variation,054CGO-sz02,708.26,,054CGO,1524mm wide,full 45.7 mtr roll,1,1,,1,visible,1,0
variation,054CSI-sz01,86.10,,054CSI,1524mm wide,part roll - 1524mm x 5m roll,1,1,,1,visible,1,0
variation,054CSI-sz02,708.26,,054CSI,1524mm wide,full 45.7 mtr roll,1,1,,1,visible,1,0
variation,056SGO-sz01,77.50,,056SGO,Size / Format,1372mm wide — part roll - 1372mm x 5m roll,1,1,,1,visible,1,0
variation,056SGO-sz02,637.52,,056SGO,Size / Format,1372mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,056SGO-sz03,86.10,,056SGO,Size / Format,1524mm wide — part roll - 1524mm x 5m roll,1,1,,1,visible,1,0
variation,056SGO-sz04,708.26,,056SGO,Size / Format,1524mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,056SSI-sz01,86.10,,056SSI,1524mm wide,part roll - 1524mm x 5m roll,1,1,,1,visible,1,0
variation,056SSI-sz02,708.26,,056SSI,1524mm wide,full 45.7 mtr roll,1,1,,1,visible,1,0
variation,12325-sz01,40.88,,12325,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12325-sz02,971.00,,12325,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12332-sz01,40.88,,12332,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12332-sz02,971.00,,12332,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12345-sz01,40.88,,12345,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12345-sz02,971.00,,12345,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12348-sz01,40.88,,12348,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12348-sz02,971.00,,12348,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12350-sz01,40.88,,12350,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12350-sz02,971.00,,12350,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12351-sz01,40.88,,12351,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12351-sz02,971.00,,12351,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12355-sz01,40.88,,12355,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12355-sz02,971.00,,12355,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12356-sz01,40.88,,12356,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12356-sz02,971.00,,12356,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12358-sz01,40.88,,12358,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12358-sz02,971.00,,12358,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12381-sz01,40.88,,12381,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12381-sz02,971.00,,12381,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12386-sz01,40.88,,12386,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12386-sz02,971.00,,12386,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12388-sz01,40.88,,12388,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12388-sz02,971.00,,12388,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12389-sz01,40.88,,12389,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12389-sz02,971.00,,12389,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12390-sz01,40.88,,12390,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12390-sz02,971.00,,12390,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12407-sz01,28.74,,12407,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12407-sz02,646.75,,12407,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12408-sz01,28.74,,12408,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12408-sz02,646.75,,12408,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12409-sz01,28.74,,12409,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12409-sz02,646.75,,12409,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12413-sz01,28.74,,12413,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12413-sz02,646.75,,12413,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12418-sz01,28.74,,12418,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12418-sz02,646.75,,12418,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12419-sz01,28.74,,12419,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12419-sz02,646.75,,12419,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12420-sz01,28.74,,12420,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12420-sz02,646.75,,12420,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12422-sz01,28.74,,12422,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12422-sz02,646.75,,12422,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12423-sz01,28.74,,12423,1370mm wide,per metre,1,1,,1,visible,1,0
