Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Upsells,Cross-sells,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,meta:_price_tiers,meta:_price_poa,meta:_sage_income_code,meta:_sage_pri,meta:_sage_alt,meta:_sage_primod,meta:_sage_altmod,meta:_sage_class_id,meta:_sage_price_tier,meta:_manufacturer,meta:_kryp_seourl,meta:_kryp_prodnum
simple,1,White Flock Heat Transfer Vinyl,1,0,visible,White Flock Heat Transfer Vinyl 500mm wide. Price per metre:,,taxable,,1,,0,0,,10.90,Garment Decoration Films > Flock,,,,,"Weeding_Hook, EZ_LED_Weeder, FLEXOFF, Weeding_Tweezers, Heat_Tape, Tygaflor_Sheet, Olfa_Cutting_Matt_A3, Yellow_Ruler,",,,,,,,,,,,,,,,,,,,,,,,,,,1-24:10.90;25:9.81,,income-service,,,0,0,1,,Poli-Tape,,1
simple,054CGO,Kernowjet Metalik Gold Removable,1,0,visible,"Kernowjet Metalik Gold Removable is a highly polished, printable, double sided gold mirror finish material with a removable adhesive, perfect for retail decoration, window displays and indoor signage and lettering.","<html>
<head><title>Kernowjet Metalik Gold Removable</title>
</head>
<body>
<img style=""height: 80px; width: 190px;"" alt=""Kernow logo""
src=""media/ecom/onpagegraphics/KernowLogo.jpg"" class=""responsive""><br><br>

<p>Kernowjet Metalik Gold Removable is a highly polished, printable, double sided gold mirror finish material with a removable adhesive, perfect for retail decoration, window displays and indoor signage and lettering.</p>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span>
<ul><li>70<span>&#181;</span>m Polyester</li>
<li>Water-based adhesive - Removable</li>
<li>PET backing liner - 83g/m<sup>2</sup>
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span>
<ul><li>Highly polished metallised surface for eye-catching graphics and displays</li>
<li>Perfect for indoor and short term outdoor signage and lettering</li>
<li>Ideal for retail displays</li>
<li>Excellent for 3D labels and doming applications</li>
<li>Suitable for wet and dry application</li>
<li>Up to 1 year outdoor durability
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span>
<ul><li>Double sided metal effect so has the same colour and finish on the adhesive side making it perfect for use onto glass and acrylic</li>
<li>Removable adhesive for short term applications</li>
<li>These films are compatible with Eco-Solvent, Latex and UV inks, and are also HP Latex certified</li>
<li>Static controlled for less build up of static during printing or application</li>
<li>Cuts perfectly and weeds easily</li>
<li>Water based (solvent free) adhesive</li>
<li>Very smooth finish, close to mirror effect
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span>
<ul>
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""Eco-Sol Ink"" src=""media/ecom/onpagegraphics/Ink-EcoSol.png""> Eco-solvent&nbsp;&nbsp;
	<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""Latex"" src=""media/ecom/onpagegraphics/Ink-Latex.png"">Latex &nbsp;&nbsp;
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""UV Ink"" src=""media/ecom/onpagegraphics/Ink-UV.png""> UV&nbsp;&nbsp; <br>
        <img style=""width: 100px; height: 48px;"" alt=""HP Latex Certified"" src=""https://www.dorotape.co.uk/media/ecom/onpagegraphics/HP-Latex-Certified.jpg"">
</ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span>
<ul>
<a href=""media/ecom/pdfs/datasheets/Metalik_Removable.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""pdf""
src=""media/ecom/onpagegraphics/Datasheet.png""></a>

</ul>


</body>
</html>",taxable,,1,,0,0,,,"Sign & Display Vinyl > Metallised Vinyl & Films > Kernow Metalik Films, Sign & Display Vinyl > PVC Free Sign & Display Materials, Digital Print Media > PVC Free Digital Print Materials",,,,,"Aslan_Red_Devil_Squeegee, Aslan-Gold-Soft-Squeegee, Aslan_Squeegee, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Application_Gloves, Lint-Free-Gloves, Masking_Tape_25mm, Lint-Free-Cloths,",,Adhesive Type,Removable adhesive,1,1,Finish,Polished,1,1,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,463,,Kernow,Kernowjet-Metalik-Gold-Removable,054CGO
simple,054CSI,Kernowjet Metalik Silver Removable,1,0,visible,"Kernowjet Metalik Silver Removable is a highly polished, printable, double sided silver mirror finish material with a removable adhesive, perfect for retail decoration, window displays and indoor signage and lettering.","<html>
<head><title>Kernowjet Metalik Silver Removable</title>
</head>
<body>
<img style=""height: 80px; width: 190px;"" alt=""Kernow logo""
src=""media/ecom/onpagegraphics/KernowLogo.jpg"" class=""responsive""><br><br>

<p>Kernowjet Metalik Silver Removable is a highly polished, printable, double sided silver mirror finish material with a removable adhesive, perfect for retail decoration, window displays and indoor signage and lettering.</p>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span>
<ul><li>70<span>&#181;</span>m Polyester</li>
<li>Water-based adhesive - Removable</li>
<li>PET backing liner - 83g/m<sup>2</sup>
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span>
<ul><li>Highly polished metallised surface for eye-catching graphics and displays</li>
<li>Perfect for indoor and short term outdoor signage and lettering</li>
<li>Ideal for retail displays</li>
<li>Excellent for 3D labels and doming applications</li>
<li>Suitable for wet and dry application</li>
<li>Up to 3 year outdoor durability
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span>
<ul><li>Double sided metal effect so has the same colour and finish on the adhesive side making it perfect for use onto glass and acrylic</li>
<li>Removable adhesive for short term applications</li>
<li>These films are compatible with Eco-Solvent, Latex and UV inks, and are also HP Latex certified</li>
<li>Static controlled for less build up of static during printing or application</li>
<li>Cuts perfectly and weeds easily</li>
<li>Water based (solvent free) adhesive</li>
<li>Very smooth finish, close to mirror effect
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span>
<ul>
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""Eco-Sol Ink"" src=""media/ecom/onpagegraphics/Ink-EcoSol.png""> Eco-solvent&nbsp;&nbsp;
	<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""Latex"" src=""media/ecom/onpagegraphics/Ink-Latex.png"">Latex &nbsp;&nbsp;
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""UV Ink"" src=""media/ecom/onpagegraphics/Ink-UV.png""> UV&nbsp;&nbsp; <br>
        <img style=""width: 100px; height: 48px;"" alt=""HP Latex Certified"" src=""https://www.dorotape.co.uk/media/ecom/onpagegraphics/HP-Latex-Certified.jpg"">
</ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span>
<ul>
<a href=""media/ecom/pdfs/datasheets/Metalik_Removable.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""pdf""
src=""media/ecom/onpagegraphics/Datasheet.png""></a>

</ul>


</body>
</html>",taxable,,1,,0,0,,,"Sign & Display Vinyl > Metallised Vinyl & Films > Kernow Metalik Films, Sign & Display Vinyl > PVC Free Sign & Display Materials, Digital Print Media > PVC Free Digital Print Materials",,,,,"Aslan_Red_Devil_Squeegee, Aslan-Gold-Soft-Squeegee, Aslan_Squeegee, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Application_Gloves, Lint-Free-Gloves, Masking_Tape_25mm, Lint-Free-Cloths,",,Adhesive Type,Removable adhesive,1,1,Finish,Polished,1,1,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,463,,Kernow,Kernowjet-Metalik-Silver-Removable,054CSI
simple,056SGO,Kernowjet Metalik Gold Permanent,1,0,visible,"Kernowjet Metalik Gold Permanent is a highly polished, printable, single sided gold mirror finish material with a high tack permanent adhesive, perfect for retail decoration, window displays and indoor and outdoor signage and lettering.","<html>
<head><title>Kernowjet Metalik Gold Permanent</title>
</head>
<body>
<img style=""height: 80px; width: 190px;"" alt=""Kernow logo""
src=""media/ecom/onpagegraphics/KernowLogo.jpg"" class=""responsive""><br><br>

<p>Kernowjet Metalik Gold Permanent is a highly polished, printable, single sided gold mirror finish material with a high tack permanent adhesive, perfect for retail decoration, window displays and indoor and outdoor signage and lettering.</p>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span>
<ul><li>70<span>&#181;</span>m Polyester</li>
<li>Water-based adhesive - Permanent</li>
<li>PET backing liner - 83g/m<sup>2</sup>
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span>
<ul><li>Highly polished metallised surface for eye-catching graphics and displays</li>
<li>Perfect for indoor and outdoor signage and lettering</li>
<li>Ideal for retail displays</li>
<li>Excellent for 3D labels and doming applications</li>
<li>Suitable for wet and dry application</li>
<li>Up to 1 year outdoor UV stability
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span>
<ul><li>High tack permanent adhesive for long term applications</li>
<li>These films are compatible with Eco-Solvent, Latex and UV inks, and are also HP Latex certified</li>
<li>Cuts perfectly and weeds easily</li>
<li>Water based (solvent free) adhesive</li>
<li>Very smooth finish, close to mirror effect
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span>
<ul>
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""Eco-Sol Ink"" src=""media/ecom/onpagegraphics/Ink-EcoSol.png""> Eco-solvent&nbsp;&nbsp;
	<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""Latex"" src=""media/ecom/onpagegraphics/Ink-Latex.png"">Latex &nbsp;&nbsp;
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""UV Ink"" src=""media/ecom/onpagegraphics/Ink-UV.png""> UV&nbsp;&nbsp; <br>
        <img style=""width: 100px; height: 48px;"" alt=""HP Latex Certified"" src=""https://www.dorotape.co.uk/media/ecom/onpagegraphics/HP-Latex-Certified.jpg"">
</ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span>
<ul>
<a href=""media/ecom/pdfs/datasheets/Metalik_Permanent.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""pdf""
src=""media/ecom/onpagegraphics/Datasheet.png""></a>

</ul>


</body>
</html>",taxable,,1,,0,0,,,"Sign & Display Vinyl > Metallised Vinyl & Films > Kernow Metalik Films, Sign & Display Vinyl > PVC Free Sign & Display Materials, Digital Print Media > PVC Free Digital Print Materials",,,,,"Aslan_Red_Devil_Squeegee, Aslan-Gold-Soft-Squeegee, Aslan_Squeegee, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Application_Gloves, Lint-Free-Gloves, Masking_Tape_25mm, Lint-Free-Cloths,",,Adhesive Type,Permanent adhesive,1,1,Finish,Polished,1,1,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,463,,Kernow,Kernowjet-Metalik-Gold-Permanent,056SGO
simple,056SSI,Kernowjet Metalik Silver Permanent,1,0,visible,"Kernowjet Metalik Silver Permanent is a highly polished, printable, single sided silver mirror finish material with a high tack permanent adhesive, perfect for retail decoration, window displays and indoor and outdoor signage and lettering.","<html>
<head><title>Kernowjet Metalik Silver Permanent</title>
</head>
<body>
<img style=""height: 80px; width: 190px;"" alt=""Kernow logo""
src=""media/ecom/onpagegraphics/KernowLogo.jpg"" class=""responsive""><br><br>

<p>Kernowjet Metalik Silver Permanent is a highly polished, printable, single sided silver mirror finish material with a high tack permanent adhesive, perfect for retail decoration, window displays and indoor and outdoor signage and lettering.</p>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span>
<ul><li>70<span>&#181;</span>m Polyester</li>
<li>Water-based adhesive - Permanent</li>
<li>PET backing liner - 83g/m<sup>2</sup>
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span>
<ul><li>Highly polished metallised surface for eye-catching graphics and displays</li>
<li>Perfect for indoor and outdoor signage and lettering</li>
<li>Ideal for retail displays</li>
<li>Excellent for 3D labels and doming applications</li>
<li>Suitable for wet and dry application</li>
<li>Up to 3 year outdoor UV stability
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span>
<ul><li>High tack permanent adhesive for long term applications</li>
<li>These films are compatible with Eco-Solvent, Latex and UV inks, and are also HP Latex certified</li>
<li>Cuts perfectly and weeds easily</li>
<li>Water based (solvent free) adhesive</li>
<li>Very smooth finish, close to mirror effect
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span>
<ul>
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""Eco-Sol Ink"" src=""media/ecom/onpagegraphics/Ink-EcoSol.png""> Eco-solvent&nbsp;&nbsp;
	<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""Latex"" src=""media/ecom/onpagegraphics/Ink-Latex.png"">Latex &nbsp;&nbsp;
        <img style=""margin: 0 5px 0 0; width: 15px; height: 25px;"" alt=""UV Ink"" src=""media/ecom/onpagegraphics/Ink-UV.png""> UV&nbsp;&nbsp; <br>
        <img style=""width: 100px; height: 48px;"" alt=""HP Latex Certified"" src=""https://www.dorotape.co.uk/media/ecom/onpagegraphics/HP-Latex-Certified.jpg"">
</ul>
<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span>
<ul>
<a href=""media/ecom/pdfs/datasheets/Metalik_Permanent.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""pdf""
src=""media/ecom/onpagegraphics/Datasheet.png""></a>

</ul>


</body>
</html>",taxable,,1,,0,0,,,"Sign & Display Vinyl > Metallised Vinyl & Films > Kernow Metalik Films, Sign & Display Vinyl > PVC Free Sign & Display Materials, Digital Print Media > PVC Free Digital Print Materials",,,,,"Aslan_Red_Devil_Squeegee, Aslan-Gold-Soft-Squeegee, Aslan_Squeegee, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Application_Gloves, Lint-Free-Gloves, Masking_Tape_25mm, Lint-Free-Cloths,",,Adhesive Type,Permanent adhesive,1,1,Finish,Polished,1,1,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,463,,Kernow,Kernowjet-Metalik-Silver-Permanent,056SSI
simple,100,Lemon Flock Heat Transfer Vinyl,1,0,visible,Lemon Flock Heat Transfer Vinyl 500mm wide. Price per metre:,,taxable,,1,,0,0,,10.90,Garment Decoration Films > Flock,,,,,"Weeding_Hook, EZ_LED_Weeder, FLEXOFF, Weeding_Tweezers, Heat_Tape, Tygaflor_Sheet, Olfa_Cutting_Matt_A3, Yellow_Ruler,",,,,,,,,,,,,,,,,,,,,,,,,,,1-24:10.90;25:9.81,,income-service,,,0,0,0,,Poli-Tape,,100
simple,110,Yellow Flock Heat Transfer Vinyl,1,0,visible,Yellow Flock Heat Transfer Vinyl 500mm wide. Price per metre:,,taxable,,1,,0,0,,10.90,Garment Decoration Films > Flock,,,,,"Weeding_Hook, EZ_LED_Weeder, FLEXOFF, Weeding_Tweezers, Heat_Tape, Tygaflor_Sheet, Olfa_Cutting_Matt_A3, Yellow_Ruler,",,,,,,,,,,,,,,,,,,,,,,,,,,1-24:10.90;25:9.81,,income-service,,,0,0,1,,Poli-Tape,,110
simple,12325,ASLAN Sparkle Colour 12325 Light Gold,1,0,visible,ASLAN SC12325 Light Gold Sparkle Colour is a 350 micron polyester film coated with an eye catching surface of glitter particles offering intense sparkling light reflection.,"<html>
<head><title>ASLAN SC12325 Light Gold Sparkle Colour</head></title>
<img style=""height: 50px; width: 236px;"" alt=""Aslan logo""
src=""media/ecom/onpagegraphics/ASLAN_Logo_New.png""><br><br>

<body>

<p>ASLAN SC12325 Light Gold Sparkle Colour is a 350 micron polyester film coated with an eye catching surface of glitter particles offering intense sparkling light reflection.</p>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span><br>
<ul><li>100<span>&#181;</span>m PET protection liner that also acts as an application tape</li>
<li>350<span>&#181;</span>m PET coated with glitter</li>
<li>Water based acrylic adhesive</li>
<li>140g/s<sup>2</sup> silicone paper PE coated on both sides
</li></ul>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>ASLAN Sparkle Colour is ideal for interior decoration, retail displays, POS and furniture renovation</li>
<li>The perfect solution for creating seasonal decorations at Christmas and Valentines Day</li>
<li>This pvc free film is coated with a strong, transparent adhesive that offers good long term use</li>
<li>Unlike its rivals, the ASLAN SC123 is ideal for cad cutting. This is done by cutting and weeding in reverse through the backing liner and using the transparent top protective liner as an application tape</li>
<li>Features a transparent top protective liner which aids application and enables the use of squeegees
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span><br>
<ul><li>Most glitter films come with just a backing liner. Anyone familiar with the application of glitter vinyl will know that this can make them extremely tricky to apply, as using a squeegee to create a smooth and even application can create a horrible glittery mess. The use of an application tape to avoid this is pretty much out of the question. However, as well as a backing liner ASLAN has cleverly given SparkleColour a transparent top protective liner too which does the job of an application tape and allows for a much cleaner application. This also means the film is ideal for cad cutting, by cutting and weeding in reverse through the backing liner</li>
<li>For full surface coverage simply remove the backing liner and apply the Sparkle Colour to the surface easily using a squeegee. Once in position and squeegeed on, just remove the protective top liner</li>
<li>Suggested cap height of minimum 10mm</li>
<li>Residue free removal from smooth flat surfaces</li>
<li>PVC Free</li>
<li>Easy to apply and no need for rollers</li></ul>


<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span><br>
<ul>
<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""UV Ink""
src=""media/ecom/onpagegraphics/Ink-UV.png"">UV</ul>
<br>

<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br>
<ul>
<a href=""media/ecom/pdfs/datasheets/SparkleColour_ASLAN_SC_123_e_1.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""ASLAN SC123 SparkleColour Datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></ul>

<p><a href=""https://www.dorotape.co.uk/Article/ASLAN-Sparkle-Colour"" target=""_blank""><img style=""border: 0px solid ; width: 50px; height: 50px;"" alt=""link to our blog""
src=""media/ecom/onpagegraphics/Blog.png"">
<span style=""color:#d7328a""><b>Learn more about the Sparkle Colour range from ASLAN by reading about it in our Blog</b></a></span></p>

</body>
</html>",taxable,,1,,0,0,,,Sign & Display Vinyl > Glitter Vinyl > ASLAN SC123 Sparkle Colour,,,,,"Heavy-Duty-Application-Roller, Rollepro, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Swann_Morton_3_Handle, Swann_Morton_10A_Blades,",,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,1,,Aslan,ASLAN-Sparkle-Colour-12325-Light-Gold,12325
simple,12332,ASLAN Sparkle Colour 12332 Hot Pink,1,0,visible,ASLAN SC12332 Hot Pink Sparkle Colour is a 350 micron polyester film coated with an eye catching surface of glitter particles offering intense sparkling light reflection.,"<html>
<head><title>ASLAN SC12332 Hot Pink Sparkle Colour</head></title>

<img style=""height: 50px; width: 236px;"" alt=""Aslan logo""
src=""media/ecom/onpagegraphics/ASLAN_Logo_New.png""><br><br>

<body>

<p>ASLAN SC12332 Hot Pink Sparkle Colour is a 350 micron polyester film coated with an eye catching surface of glitter particles offering intense sparkling light reflection.</p>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span><br>
<ul><li>100<span>&#181;</span>m PET protection liner that also acts as an application tape</li>
<li>350<span>&#181;</span>m PET coated with glitter</li>
<li>Water based acrylic adhesive</li>
<li>140g/s<sup>2</sup> silicone paper PE coated on both sides
</li></ul>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>ASLAN Sparkle Colour is ideal for interior decoration, retail displays, POS and furniture renovation</li>
<li>The perfect solution for creating seasonal decorations at Christmas and Valentines Day</li>
<li>This pvc free film is coated with a strong, transparent adhesive that offers good long term use</li>
<li>Unlike its rivals, the ASLAN SC123 is ideal for cad cutting. This is done by cutting and weeding in reverse through the backing liner and using the transparent top protective liner as an application tape</li>
<li>Features a transparent top protective liner which aids application and enables the use of squeegees
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span><br>
<ul><li>Most glitter films come with just a backing liner. Anyone familiar with the application of glitter vinyl will know that this can make them extremely tricky to apply, as using a squeegee to create a smooth and even application can create a horrible glittery mess. The use of an application tape to avoid this is pretty much out of the question. However, as well as a backing liner ASLAN has cleverly given SparkleColour a transparent top protective liner too which does the job of an application tape and allows for a much cleaner application. This also means the film is ideal for cad cutting, by cutting and weeding in reverse through the backing liner</li>
<li>For full surface coverage simply remove the backing liner and apply the Sparkle Colour to the surface easily using a squeegee. Once in position and squeegeed on, just remove the protective top liner</li>
<li>Suggested cap height of minimum 10mm</li>
<li>Residue free removal from smooth flat surfaces</li>
<li>PVC Free</li>
<li>Easy to apply and no need for rollers</li></ul>


<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span><br>
<ul>
<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""UV Ink""
src=""media/ecom/onpagegraphics/Ink-UV.png"">UV</ul>
<br>

<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br>
<ul>
<a href=""media/ecom/pdfs/datasheets/SparkleColour_ASLAN_SC_123_e_1.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""ASLAN SC123 SparkleColour Datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></ul>

<p><a href=""https://www.dorotape.co.uk/Article/ASLAN-Sparkle-Colour"" target=""_blank""><img style=""border: 0px solid ; width: 50px; height: 50px;"" alt=""link to our blog""
src=""media/ecom/onpagegraphics/Blog.png"">
<span style=""color:#d7328a""><b>Learn more about the Sparkle Colour range from ASLAN by reading about it in our Blog</b></span></a></p>

</body>
</html>",taxable,,1,,0,0,,,Sign & Display Vinyl > Glitter Vinyl > ASLAN SC123 Sparkle Colour,,,,,"Heavy-Duty-Application-Roller, Rollepro, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Swann_Morton_3_Handle, Swann_Morton_10A_Blades,",,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,1,,Aslan,ASLAN-Sparkle-Colour-12332-Hot-Pink,12332
simple,12345,ASLAN Sparkle Colour 12345 Sky Blue,1,0,visible,ASLAN SC12345 Sky Blue Sparkle Colour is a 350 micron polyester film coated with an eye catching surface of glitter particles offering intense sparkling light reflection.,"<html>
<head><title>ASLAN SC12345 Sky Blue Sparkle Colour</head></title>
<img style=""height: 50px; width: 236px;"" alt=""Aslan logo""
src=""media/ecom/onpagegraphics/ASLAN_Logo_New.png""><br><br>

<body>

<p>ASLAN SC12345 Sky Blue Sparkle Colour is a 350 micron polyester film coated with an eye catching surface of glitter particles offering intense sparkling light reflection.</p>

<span style=""font-weight: bold; color: #d7328a;"">Structure:</span><br>
<ul><li>100<span>&#181;</span>m PET protection liner that also acts as an application tape</li>
<li>350<span>&#181;</span>m PET coated with glitter</li>
<li>Water based acrylic adhesive</li>
<li>140g/s<sup>2</sup> silicone paper PE coated on both sides
</li></ul>

<a><img style=""border: 0px solid ; width: 75px; height: 75px; float: right;"" alt=""pvc free""
src=""media/ecom/onpagegraphics/PVC_free_logo.png""></a>

<span style=""font-weight: bold; color: #d7328a;"">Suitability:</span><br>
<ul><li>ASLAN Sparkle Colour is ideal for interior decoration, retail displays, POS and furniture renovation</li>
<li>The perfect solution for creating seasonal decorations at Christmas and Valentines Day</li>
<li>This pvc free film is coated with a strong, transparent adhesive that offers good long term use</li>
<li>Unlike its rivals, the ASLAN SC123 is ideal for cad cutting. This is done by cutting and weeding in reverse through the backing liner and using the transparent top protective liner as an application tape</li>
<li>Features a transparent top protective liner which aids application and enables the use of squeegees
</li></ul>

<span style=""font-weight: bold; color: #d7328a;"">Advantages:</span><br>
<ul><li>Most glitter films come with just a backing liner. Anyone familiar with the application of glitter vinyl will know that this can make them extremely tricky to apply, as using a squeegee to create a smooth and even application can create a horrible glittery mess. The use of an application tape to avoid this is pretty much out of the question. However, as well as a backing liner ASLAN has cleverly given SparkleColour a transparent top protective liner too which does the job of an application tape and allows for a much cleaner application. This also means the film is ideal for cad cutting, by cutting and weeding in reverse through the backing liner</li>
<li>For full surface coverage simply remove the backing liner and apply the Sparkle Colour to the surface easily using a squeegee. Once in position and squeegeed on, just remove the protective top liner</li>
<li>Suggested cap height of minimum 10mm</li>
<li>Residue free removal from smooth flat surfaces</li>
<li>PVC Free</li>
<li>Easy to apply and no need for rollers</li></ul>


<span style=""font-weight: bold; color: #d7328a;"">Ink Compatibility:</span><br>
<ul>
<img style=""margin: 0px 5px 0px 0px; width: 15px; height: 25px;"" alt=""UV Ink""
src=""media/ecom/onpagegraphics/Ink-UV.png"">UV</ul>
<br>

<span style=""font-weight: bold; color: #d7328a;"">Technical Information:</span><br>
<ul>
<a href=""media/ecom/pdfs/datasheets/SparkleColour_ASLAN_SC_123_e_1.pdf"" target=""_blank""><img
style=""border: 0px solid ; width: 200px; height: 60px;"" alt=""ASLAN SC123 SparkleColour Datasheet""
src=""media/ecom/onpagegraphics/Datasheet.png""></a></ul>

<p><a href=""https://www.dorotape.co.uk/Article/ASLAN-Sparkle-Colour"" target=""_blank""><img style=""border: 0px solid ; width: 50px; height: 50px;"" alt=""link to our blog""
src=""media/ecom/onpagegraphics/Blog.png"">
<span style=""color:#d7328a""><b>Learn more about the Sparkle Colour range from ASLAN by reading about it in our Blog</b></span></a></p>

</body>
</html>",taxable,,1,,0,0,,,Sign & Display Vinyl > Glitter Vinyl > ASLAN SC123 Sparkle Colour,,,,,"ASLAN-TF200, Heavy-Duty-Application-Roller, Rollepro, Olfa_X_Design_Heavy_Duty_Knife, Olfa_Graphic_Cutter, Swann_Morton_3_Handle, Swann_Morton_10A_Blades,",,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,income-service,,,0,0,1,,Aslan,ASLAN-Sparkle-Colour-12345-Sky-Blue,12345
