Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Upsells,Cross-sells,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,meta:_price_tiers,meta:_price_poa,meta:_sage_income_code,meta:_sage_pri,meta:_sage_alt,meta:_sage_primod,meta:_sage_altmod,meta:_sage_class_id,meta:_sage_price_tier,meta:_manufacturer,meta:_kryp_seourl,meta:_kryp_prodnum
variation,85K-625mmWidth,ASLAN 85K :: 625mm Width,1,,visible,,,,,1,,0,,,3.15,,,,,85K,,,Size / Width,625mm Width,1,1,,,,,,,,,,,,,,,,,,,,,1-49:3.15;50:2.39,,,,,,,,,,,85K
variation,85K-1250mmWidth,ASLAN 85K :: 1250mm Width,1,,visible,,,,,1,,0,,,6.30,,,,,85K,,,Size / Width,1250mm Width,1,1,,,,,,,,,,,,,,,,,,,,,1-49:6.30;50:4.78,,,,,,,,,,,85K
variation,9052-1260mmx10m,Doro 9052 White Matt Magnetic Vinyl :: 1260mm x 10m,1,,visible,,,,,1,,0,,,129.30,,,,,9052,,,Size / Width,1260mm x 10m,1,1,,,,,,,,,,,,,,,,,,,,,129.30,,,,,,,,,,,9052
variation,9052-1000mmWide,Doro 9052 White Gloss Magnetic Vinyl :: 1000mm Wide,1,,visible,,,,,1,,0,,,11.47,,,,,9052,,,Size / Width,1000mm Wide,1,1,,,,,,,,,,,,,,,,,,,,,1-9:11.47; 10:10.09,,,,,,,,,,,9052
variation,9052-1000mmWide,Doro 9052 White Matt Magnetic Vinyl :: 1000mm Wide,1,,visible,,,,,1,,0,,,11.47,,,,,9052,,,Size / Width,1000mm Wide,1,1,,,,,,,,,,,,,,,,,,,,,1-9:11.47; 10:10.09,,,,,,,,,,,9052
variation,S62-1250mmx10m,ASLAN S62 :: 1250mm x 10m,1,,visible,,,,,1,,0,,,230.08,,,,,S62,,,Size / Width,1250mm x 10m,1,1,,,,,,,,,,,,,,,,,,,,,1-2:230.08;3-5:203.10;6-11:196.18;12:184.64,,,,,,,,,,,S62
variation,S62-416mmx10m,ASLAN S62 :: 416mm x 10m,1,,visible,,,,,1,,0,,,76.93,,,,,S62,,,Size / Width,416mm x 10m,1,1,,,,,,,,,,,,,,,,,,,,,1-2:76.93;3-5:67.70;6-11:65.40;12:61.55,,,,,,,,,,,S62
variation,S62-625mmx10m,ASLAN S62 :: 625mm x 10m,1,,visible,,,,,1,,0,,,115.40,,,,,S62,,,Size / Width,625mm x 10m,1,1,,,,,,,,,,,,,,,,,,,,,1-2:115.40;3-5:101.55;6-11:98.09;12:92.32,,,,,,,,,,,S62
variation,S69-625mmWidth,ASLAN S69 :: 625mm Width,1,,visible,,,,,1,,0,,,,,,,,S69,,,Size / Width,625mm Width,1,1,,,,,,,,,,,,,,,,,,,,,0.00,1,,,,,,,,,,S69
variation,S69-1250mmWidth,ASLAN S69 :: 1250mm Width,1,,visible,,,,,1,,0,,,,,,,,S69,,,Size / Width,1250mm Width,1,1,,,,,,,,,,,,,,,,,,,,,0.00,1,,,,,,,,,,S69
